[2026-08-11 10:01:27] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | A pre-triangulated category which is not triangulated
[arXiv] 2026-08-10 | AirFlow: Context Preserving and Multi-Rate State Modeling for Air Quality Forecasting
[arXiv] 2026-08-10 | C$^2$A: Coupling Spatial Evidence with Clinical Priors via Co-occurrence Aware Class Attention for Multi-Label Chest X-Ray Classification
[arXiv] 2026-08-10 | PragMatch: Separating Pragmatic Incongruity from Cross-Modal Mismatch in Large Vision-Language Models
[arXiv] 2026-08-10 | Cultivar: A Contrastive and Locale-Oriented Translation Benchmark for Investigating Contamination and Localisation Robustness
[arXiv] 2026-08-10 | Efficient Real-World Online Reinforcement Learning for Robot Manipulation via Centralized Training and Critic Decomposition
[arXiv] 2026-08-10 | A proof of a conjecture on permutation polynomials
[arXiv] 2026-08-10 | Decoding Transient X-ray Absorption Spectra of Acetylacetone With Multireference Algebraic Diagrammatic Construction Theory
[arXiv] 2026-08-10 | Bayesian Node Edge Modeling of Road Crashes in Central Bogotá
[arXiv] 2026-08-10 | Censored Heteroscedastic Extremes
[arXiv] 2026-08-10 | ColluSkill: Adversarial Cross-Skill Composition for Evading Agent Skill Scanners
[arXiv] 2026-08-10 | TAMS: Task-Aware Multi-View Adaptive Streaming for Wireless Telerobotic Manipulation
[arXiv] 2026-08-10 | Prescribed-order subdigraphs with large minimum out-degree
[arXiv] 2026-08-10 | Magic State Distillation via Codes over Binary Extension Fields
[arXiv] 2026-08-10 | Tor and Ext vanishing results for commutative Artinian rings
[arXiv] 2026-08-10 | Full-Key Recovery and Forgery from One MQOM v2.1 Signature
[arXiv] 2026-08-10 | TOI-7475 spectroscopic follow up - detection of a massive hot Jupiter on an eccentric orbit
[arXiv] 2026-08-10 | Microscopic QED origin of spin entanglement
[arXiv] 2026-08-10 | Elementary first integrals of integral differential systems
[arXiv] 2026-08-10 | Improved Acceptance Criteria for Speculative Successive Cancellation Decoding of Polar Codes
[arXiv] 2026-08-10 | Predictive safety filter enhanced curriculum learning control for efficient vehicle dynamics controller
[arXiv] 2026-08-10 | QSVM-RQNN: Low-Qubit Recurrent Quantum Similarity Learning for Condition Monitoring and Fault Classification
[arXiv] 2026-08-10 | Listwise Cross-Encoder Fine-Tuning vs. Agentic Instruction Tuning for LLM Rerankers: A Systematic Study in Medical Procedure Reranking
[arXiv] 2026-08-10 | A Preliminary Study on Simultaneous Coscheduling for Discrete GPU vs. Fused GPU
[arXiv] 2026-08-10 | Preserved metallicity and tunable magnetism in Zr-based Janus MXenes
