[2025-11-30 09:08:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-29
正在获取论文...
[ACM] 2025-11-29 | Maxwellium VR: Immersive Learning of Electromagnetic Field through Interactive Simulation
[ACM] 2025-11-29 | Internet of Legacy Devices (I-oLD): Harnessing the Potential of Outdated Mobile Devices
[ACM] 2025-11-29 | Human Control of Privacy and Security Aspects in IoT Settings
[IEEE] 2025-11-29 | Design of High-voltage Stator with Ring-type Air-core Armature for Direct Grid-connected HTS Synchronous Condenser
[ACM] 2025-11-29 | FamiliAR Feedback: Investigating Feedback Modality and Familiarity in Classroom Settings Using Spatial Augmented Reality
[ACM] 2025-11-29 | The Proactive Gap: A Scoping Review of Publicly Available LLM-based Browser Extensions and Their Potential to Mitigate Information Disorder
[ACM] 2025-11-29 | Advancing Generative AI Collaboration in Design-to-Code Workflows: Insights from Two Empirical Studies
[ACM] 2025-11-29 | Investigating Gait Imitation in VR: Impact of Visual Feedback and Avatar Design
[ACM] 2025-11-29 | Design Interventions as Methods for Participation in Welfare Services
[ACM] 2025-11-29 | FallacyCheck - A Proactive LLM-based Browser Extension to Motivate Critical Assessment of News Articles by Questioning Logical Fallacies
[ACM] 2025-11-29 | Sustained Effects of Avatars on Skin Temperature and Thermal Sensation in Virtual Reality
[ACM] 2025-11-29 | Co-Designing Intelligent Neighbourhood Technologies with Young People to Support Communality in Nordic Superblocks
[ACM] 2025-11-29 | Detecting Human Presence via Smartphone BLE Beaconing: Preliminary Investigations
[ACM] 2025-11-29 | Locomotion Method Matters: Comparing Arm-Swing and Joystick for Stability and Learning Effects in VR Walking
[ACM] 2025-11-29 | Classifying TikToks Locally: Political Content Detection with Phi-4 on Android
[ACM] 2025-11-29 | Designing eHMIs for Delivery Robots in Public Buses: Open HCI Challenges and Usage Scenarios
[ACM] 2025-11-29 | Roby on a Mission: Promoting Awareness and Adoption of Password Managers Through Public Security User Interfaces
[ACM] 2025-11-29 | RiderID: Investigating Cycling as a Behavioral Biometric through Bicycle-Mounted Sensors
[ACM] 2025-11-29 | On Attitudes, Norms, Control Beliefs and Interfaces: Why Sustainable Transport Adoption is not an HCI Problem
[ACM] 2025-11-29 | Do Virtual Visitors Experience Museums the Same Way as Physical Visitors? A Comparative Study
[IEEE] 2025-11-29 | Three-dimensional Analytical Modeling of Plate-type Superconducting Electrodynamic Suspension for Electromagnetic Launch Application
[ACM] 2025-11-29 | Spatial Referencing for Large Language Models in Automotive Navigation Tasks
[ACM] 2025-11-29 | Exploring The Role of Technology for Accessible Stadium Experiences for People With Limited Mobility
[ACM] 2025-11-29 | HarmonyLink: Exploring Cognitive Health and Advance Care Planning through LLM-Powered Supportive Conversations
[ACM] 2025-11-29 | Self-monitoring and Feedback : Promoting Sustainable Transportation in On-Demand Mobility Services
[ACM] 2025-11-29 | Proceedings of the 24th International Conference on Mobile and Ubiquitous Multimedia
[ACM] 2025-11-29 | Understanding resident experience and possibilities of intelligent technologies in supporting neighbourhood communities – Context: Nordic Superblocks
[ACM] 2025-11-29 | When the Shuttle Explains: A Multimodal Interface Communicating Autonomous Decisions to Passengers
[ACM] 2025-11-29 | Investigating User Perceptions of Visualising Inferred Sensitive Information as Privacy Avatars
[ACM] 2025-11-29 | AirClick: Modularized Interactive Inflatables for On-Demand Room Transformation
[ACM] 2025-11-29 | "What you think is private is no longer" - Investigating the Aftermath of Shoulder Surfing on Smartphones in Everyday Life through the Eyes of the Victims
[ACM] 2025-11-29 | Mind the Switch: Measuring Modality-Switch Cognitive Costs (MSCC) as a Metric for Multimodal Interaction
[ACM] 2025-11-29 | Understanding AI Disclosure Needs for News Production and Journalism
[ACM] 2025-11-29 | Supporting the Traditional Passenger Role: Human-Like In-Car Conversations
[ACM] 2025-11-29 | GestureGlove: Exploring Fine and Gross Gestures for Truly Mobile Interaction while Running
[ACM] 2025-11-29 | Exploring the Dynamics of HMD and Non-HMD Users in Museum Exhibition with Virtual Reality
[ACM] 2025-11-29 | Digitizing Prayer: The Augmentation of Reality and Spirituality
[ACM] 2025-11-29 | Funnelectro: Electrotactile Funneling Illusion and Localization Performance on the Forearm
[ACM] 2025-11-29 | Rethinking Troubleshooting Support
[ACM] 2025-11-29 | Investigating Powered Wheelchair Control via a Pupil-Center Detection Algorithm with a Glass-Mounted Visible-Light Camera
[ACM] 2025-11-29 | Evaluating Thermal Color Palettes for Manual Human Detection in Aerial Search and Rescue Imagery
[ACM] 2025-11-29 | Teaching an Old Mouse New Tricks: User-Centered Development of a Gesture Set for Touch-Enabled Computer Mice
[ACM] 2025-11-29 | A Stroke of Insight: Accessible Screening for Cervical Myelopathy via Tablet and Paper Drawings
[ACM] 2025-11-29 | From ChatGPT to Custom GPTs: Scaffolding Conceptual Learning in Adult Education
[ACM] 2025-11-29 | Human, I Need You: Comparison of Human-Robot Interaction Modalities for Search and Rescue Missions
[IEEE] 2025-11-29 | The Balanced Comparator as a Benchmark Circuit to Validate Josephson Simulators
[ACM] 2025-11-29 | Perceptual Characteristics of EMS-Induced Finger Flexion for Bodily Information Displays
[ACM] 2025-11-29 | Exploring Socio-Cultural Expressions of Interactive Jewellery
[ACM] 2025-11-29 | A Country of Platform Paradoxes - Digital Communication Tools used by Green Citizen-Led Initiatives in Denmark
[ACM] 2025-11-29 | Effects of Cataracts Severities on Eye Movements and Task Performance During a Visual Search Task Through Virtual Reality Simulations
[ACM] 2025-11-29 | Enhancing Adaptive Sports Training through Bespoke Virtual Reality Games: The Case of Adaptive Hockey and Soccer
[ACM] 2025-11-29 | Push-the-Button: Providing Control to Runners over Sonic Breathing Guidance on the Move to Enhance Usability
