[2026-05-07 11:10:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[arXiv] 2026-05-06 | Bayesian parameter estimation for the Core-bounce phase of Rapidly Rotating Core-Collapse Supernovae in real interferometric data
[arXiv] 2026-05-06 | Convergence analysis of Schwarz-like methods for degenerate elliptic-parabolic equations
[arXiv] 2026-05-06 | Hearing the Ocean: Bio-inspired Gammatone-CNN framework for Robust Underwater Acoustic Target Classification
[arXiv] 2026-05-06 | Replay-Based Continual Learning for Physics-Informed Neural Operators
[arXiv] 2026-05-06 | Improving FMQA via Initial Training Data Design Considering Marginal Bit Coverage in One-Hot Encoding
[arXiv] 2026-05-06 | AGILE detection of transient γ-ray emission from the region of the supergiant fast X-ray transient source IGR J17354-3255
[arXiv] 2026-05-06 | Charged current neutrino processes in hot nuclear matter with a recent Skyrme parametrization constrained by microscopic calculations
[arXiv] 2026-05-06 | Role of mass fluctuations in the diffusion of clusters of Brownian particles with activity
[arXiv] 2026-05-06 | Not All Faults Are Equal: Transient-Fault Sensitivity Characterization of an Open-Source RISC-V Vector Cluster
[arXiv] 2026-05-06 | Exact solutions, trajectories and radiation patterns in the classical relativistic Störmer problem
[arXiv] 2026-05-06 | A meta-analysis of the effect of generative AI on productivity and learning in programming
[arXiv] 2026-05-06 | Steady Incremental Viscosity Splitting Method for solving the stationary Navier-Stokes equation
[arXiv] 2026-05-06 | Spin-wave bandgap engineering via mode hybridization in dipolar-coupled YIG film/CoFeB nanodisk magnonic crystals
[arXiv] 2026-05-06 | Gaze4HRI: Zero-shot Benchmarking Gaze Estimation Neural-Networks for Human-Robot Interaction
[arXiv] 2026-05-06 | Cognitive Twins: Investigating Personalized Thinking Model Building and Its Performance Enhancement with Human-in-the-Loop
[arXiv] 2026-05-06 | Hybrid Congestion Classification Framework Using Flow-Guided Attention and Empirical Mode Decomposition
[arXiv] 2026-05-06 | AICoFe: Implementation and Deployment of an AI-Based Collaborative Feedback System for Higher Education
[arXiv] 2026-05-06 | Confirmation of Binary Clustering in Gamma-Ray Bursts through an Integrated $p$-value from Multiple Nonparametric Tests of Hypotheses
[arXiv] 2026-05-06 | OSAQ: Outlier Self-Absorption for Accurate Low-bit LLM Quantization
