[2026-05-16 10:17:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-15
正在获取论文...
[IEEE] 2026-5-15 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[IEEE] 2026-5-15 | Flow-Guided ConvLSTM with Quality-Aware Reconstruction for Learned Video Compression
[IEEE] 2026-5-15 | P-MEE: A Prompt-Guided Multimodal Dynamic Early Exiting Method for Intent Recognition
[IEEE] 2026-5-15 | Trend-Aware Time Series Forecasting via Frequency-Enhanced Inverted Architecture
[IEEE] 2026-5-15 | The Optimal Solution of the Economic Load Dispatch Problem Using an Improved Gradient-Based Optimization Algorithm
[IEEE] 2026-5-15 | Personnel Intelligent Control in Pumped Storage Power Station Construction Based on Digital Twin Technology
[IEEE] 2026-5-15 | Litchi-PestDet: An Efficient Litchi Disease and Pest Detection Algorithm Based on Deep Learning
[IEEE] 2026-5-15 | Synergistic Copper Sequestration by SA/PEI/GO Hydrogels: Chemisorption-Driven Langmuir Kinetics
[IEEE] 2026-5-15 | Design and Implementation of Cloud-Ground-End Collaborative Zero-Trust Security Architecture for Industrial Drones
[IEEE] 2026-5-15 | IoT-Integrated Smart Monitoring of Buck-Boost Converter Performance in Multi-Voltage Battery Systems
[IEEE] 2026-5-15 | Design of a Compact Diamond-Shaped MIMO Antenna with Enhanced Isolation Characteristics Using Hybrid DGS and EBG Techniques
[IEEE] 2026-5-15 | Research on Pipeline Risk Event Recognition Algorithm Based on CNN-Swin Transformer
[IEEE] 2026-5-15 | Indian Currency Recognition with Audio Feedback for Visually Impaired People Using YOLOv5
[IEEE] 2026-5-15 | AI Based Irrigation and Weather Forecasting System Using Lorawan
[IEEE] 2026-5-15 | Fault Diagnosis of TRD Machine Based on TimeGAN-LSTM-LightGBM
[IEEE] 2026-5-15 | An Improved DEIM-Based Algorithm for X-Ray Prohibited Item Detection
[IEEE] 2026-5-15 | Robust Trajectory Tracking Control for Quadrotor UAV Based on Adaptive Dynamic Programming and Finite-Time Observer
[IEEE] 2026-5-15 | CNC-MIND: An Explainable Multi-Task Digital Twin for CNC Machining
