[2026-07-29 11:26:57] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[arXiv] 2026-07-28 | Relaxation of quenched structural glasses: descent in a stiffening caging potential over inflection-point 'speed bumps'
[arXiv] 2026-07-28 | How Likely and How Deep? Sharp Joint Bounds on Risk-Neutral Crash Probability and Conditional Depth from Option Bid-Ask Quotes
[arXiv] 2026-07-28 | Extracting Voice Styles from Frozen TTS Models via Gradient-Based Inverse Optimization
[arXiv] 2026-07-28 | Detecting quantum phase transitions via shallow variational quantum circuits
[arXiv] 2026-07-28 | An Interaction Sensitivity Framework in Perturbation Space for the Converter-Driven Stability of Power Systems
[arXiv] 2026-07-28 | $\mathrm{SL}(2,\mathbb{Z})$ Theta Subgroup Structure of Maxwell theory in the Lattice Villain Hamiltonian Formulation
[arXiv] 2026-07-28 | Belief-Aware Influence and Trust (BAIT): Shaping Human Belief During Repeated Human-Robot Interaction
[arXiv] 2026-07-28 | Passive wearable physiology tracks a state-level material-hardship gradient in resting heart rate
[arXiv] 2026-07-28 | Hybrid Analysis for Secure MCP Tool Use in LLM Agents
[arXiv] 2026-07-28 | Instruction-Tuned Language Models Cannot Sample from Distributions They Can Describe
[arXiv] 2026-07-28 | When Does Deep Representation Learning Help Single-Cell Clustering? A Sensitivity-Aware Diagnostic Benchmark for Biomedical AI Pipelines
[arXiv] 2026-07-28 | Self-Supervised Audio Representation Learning for Pediatric Asthma Detection in Emergency Care Using Digital Stethoscope Recordings
[arXiv] 2026-07-28 | ContractHIL-HLS: Contract-Aligned Multi-Agent Workflow with Hardware-in-the-Loop Feedback for HLS Design
[arXiv] 2026-07-28 | Proper Hat-Guessing on Two-Spine Book Graphs
[arXiv] 2026-07-28 | HeAD-CP: Heterophily-Aware Diffused Conformal Prediction Sets for Graph Neural Networks
[arXiv] 2026-07-28 | Robust Hedging Valuation Adjustment for Deep Hedging Policies under Market Frictions
[arXiv] 2026-07-28 | The User Asks, Platforms Compete: How Agentic Recommendation Markets Take Shape
[arXiv] 2026-07-28 | Proximal Gradient Methods for Unconstrained Set Optimization Problems with Set-Valued Maps of Finite Cardinality
[arXiv] 2026-07-28 | Prediction of experimental excited-state absorption spectra by using vibronic transition calculations: Its practical application to a π-conjugated molecule
[arXiv] 2026-07-28 | Structured High-Angular-Momentum Coulomb Tensors from Real and Complex Solid-Harmonic Integral Engines: A Perspective
[arXiv] 2026-07-28 | From Compressing Complexity to Accommodating Complexity: How AI Transforms Standardization and Individualization
[arXiv] 2026-07-28 | Optimization of the directed spanning trees using the weighted matroid intersection algorithm
[arXiv] 2026-07-28 | Diagonal cycles on Shtukas and the adjoint $L$-function
[arXiv] 2026-07-28 | Beyond Single-Episode Optimization: Sliding-Window Aware Generative Auto-Bidding for Long-Term Advertising Effectiveness
[arXiv] 2026-07-28 | Neurai-VN Benchmark: Standardized Machine Learning Models for Multimodal Digital Phenotyping in Mental Health Classification
[arXiv] 2026-07-28 | Isolating Scheme Dependence of Quasi-PDFs in the RI/MOM Scheme
[arXiv] 2026-07-28 | Interpretable Column Annotation with LLM-Symbolized Decision Process Materialization
[arXiv] 2026-07-28 | Preprints Without Curation Are Increasingly Cited by Journals
[arXiv] 2026-07-28 | Leveraging Semantic Maps for City-Scale Cross-View Localization
[arXiv] 2026-07-28 | Everything is a Spin: The Secret Lives of SU(2)
[arXiv] 2026-07-28 | VaLiDRec: Variable-Length LLM-Aligned Semantic IDs for Generative Recommendation
[arXiv] 2026-07-28 | Monodromy, Hidden Conformal Symmetry and Soft Hair in Kerr-MOG Black Hole
[arXiv] 2026-07-28 | Lloyd's $K$-Means Clustering Algorithm Is Frank-Wolfe in Disguise
[arXiv] 2026-07-28 | Heavy Jet Mass in Hadronic Higgs Decays
[arXiv] 2026-07-28 | TabRank: Chain-of-Thought Distillation for Table Re-Rankers
[arXiv] 2026-07-28 | Bekko Embedding: Parameter-Efficient Multilingual Retrieval with Ultra-Compact Encoders
[arXiv] 2026-07-28 | OrganLens: Organ-Specific Representation Learning for CT Foundation Models
[arXiv] 2026-07-28 | On the Irreducibility of the Differential Operators Associated to Random Walks in the Standard Euclidean Lattice
[arXiv] 2026-07-28 | Statistical structure of canonical kinetic equilibrium with sheared flow
[arXiv] 2026-07-28 | QuickGWecc: Fast Bayesian pipeline for searching eccentric binaries in pulsar timing array data
[arXiv] 2026-07-28 | Recent progress in graph theory using expansion
[arXiv] 2026-07-28 | Photonuclear Neutron Production in OpenMC: Verification Against MCNPX, FLUKA, and a First-Collision Analytical Solution
[arXiv] 2026-07-28 | Iterate Wronskians over $\mathbb{R}^d$ as $N$-ary brackets on $\mathbb{R}[x^1,\ldots,x^d]$: the $N$-bonacci numbers bound the highest total degrees
[arXiv] 2026-07-28 | Collaborative System Failure Prognostics via Federated Longitudinal-Survival Modeling
[arXiv] 2026-07-28 | Path integral approach to the truncated Wigner approximation of driven-dissipative spins
[arXiv] 2026-07-28 | Testing Microbiome Community Differences in High Dimensions: A Bootstrap Approach for Compositional Data
[arXiv] 2026-07-28 | Probing Lepton-Flavor-Violating Four-Lepton Operators at a Muon Collider
[arXiv] 2026-07-28 | UniMem: Complementary Episodic-to-Parametric Memory for Boundary-Agnostic Task Streams
[arXiv] 2026-07-28 | Instruction-Tuned Models Locally Reuse Human Syntax More Than Humans Do
[arXiv] 2026-07-28 | MAC-Gyver: Open, Programmable, Scheduling for AI-RAN 6G Systems
[arXiv] 2026-07-28 | Pictura: Perspective-View Self-Play at Scale for Driving
[arXiv] 2026-07-28 | RepoReasoner: Evaluating Repository-Level Code Reasoning Ability of Long-Context Language Models
[arXiv] 2026-07-28 | Carrier ideals, tail obstructions, and remainder traces for ladder-system spaces
[arXiv] 2026-07-28 | E-MagDiP: Electro-Magnetic based Differential Privacy for EEG based Community Sensing
[arXiv] 2026-07-28 | An Investigation into the Effect of Mobile Ions on the Steady State Performance of Perovskite Solar Cells
[arXiv] 2026-07-28 | Orbital Motion and History of Sungrazing Comet C/2026 A1 (MAPS)
[arXiv] 2026-07-28 | Probing the limits on anomalous quartic gauge couplings via $ZZγ$ production in the $\ell\ellννγ$ channel at FCC-hh
[arXiv] 2026-07-28 | Solution of Erdős problem $\# 443$
[arXiv] 2026-07-28 | Constructing two completely independent spanning trees in the dual-cube
[arXiv] 2026-07-28 | A systematic assessment of the short-term X-ray behaviour of the $γ$ Cas analogues
[arXiv] 2026-07-28 | AnnoBench: A Benchmark for Visualization Annotation Generation
[arXiv] 2026-07-28 | $d$-Translated Unit Sensitive Primes
[arXiv] 2026-07-28 | Blowup of Multi-Peaked Waveforms in the Two-Dimensional Nonlinear Schroedinger Model
[arXiv] 2026-07-28 | Intersection Cohomology of Igusa Stacks
[arXiv] 2026-07-28 | CONQuER: Hardware-Aware Mixed-Precision Quantisation with Online-Calibrated Surrogates
[arXiv] 2026-07-28 | Data Assimilation for Chemical Reaction Networks and Population Models via a Tunable Observer
[arXiv] 2026-07-28 | Observation of the electroweak production of $γγjj$ at $\sqrt{s}=13$ TeV in $140\ \text{fb}^{-1}$ of $pp$ collision data with the ATLAS detector
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[arXiv] 2026-07-28 | The Winding Number at the Critical Hölder Exponent 1/3: Failure of Universal Fourier Summation
[arXiv] 2026-07-28 | Calibration of scintillator-based X-ray detectors for broadband laser-driven X-ray radiation
[arXiv] 2026-07-28 | Mori-Zwanzig formalism: An existence proof for weak solutions of the orthogonal dynamics equation
[arXiv] 2026-07-28 | Rician Distribution as a Physically Interpretable Model for Wind-Speed Statistics
[arXiv] 2026-07-28 | WarmTuner: Program-Specific Warm Starts for Compiler Autotuning via Offline-to-Online Reinforcement Learning
[arXiv] 2026-07-28 | Shear interaction and acceleration of a corotating stream detected by Parker Solar Probe
[arXiv] 2026-07-28 | Hypothesis-Driven Shelf Generation for Personalised Recommendation
[arXiv] 2026-07-28 | Ly$α$ Escape in JWST/NIRCam F430M-Selected H$α$ Emitters at $z\simeq5.5$
[arXiv] 2026-07-28 | HI Depletion Begins Well Beyond the Virial Radius: A FAST Stacking Study of 36 Galaxy Clusters to 5R200
[arXiv] 2026-07-28 | High-Frequency Magnetohydrodynamic Waves with Substantial Energy in the Solar Polar Corona
[arXiv] 2026-07-28 | SpectONet: A Physics-Guided Spectral Deep Operator Network for Euler-Bernoulli Beam Dynamics
[arXiv] 2026-07-28 | Tripody: An Overconstrained 3-SPR-like Parallel Robot for High-Reach Construction Tasks
[arXiv] 2026-07-28 | A Hierarchical Optimisation Framework for Integrated Electric-Hydrogen-Transport Systems
[arXiv] 2026-07-28 | Synergistic Role of Electron and Photon Dose in Stepwise Laser-Induced Complete Deoxygenation of Graphene Oxide Revealed by In-situ TEM
[arXiv] 2026-07-28 | Multi-Dimensional Entropy for Vibration Measurement Data Quality Assessment and Erroneous Signal Identification in Wind Turbines
[arXiv] 2026-07-28 | Perspective Central Triangles Formed from a Triangle and a Transversal
[arXiv] 2026-07-28 | Optimization with Dynamic Constraint Learning (DCL)
[arXiv] 2026-07-28 | Convex sets with vanishing relative width and the reverse Cheeger inequality
[arXiv] 2026-07-28 | Counterfactual Quantum Sensing: What Interaction-Free Measurement Can and Cannot Buy
[arXiv] 2026-07-28 | Tracing Obscured AGN Contribution and Number Fraction Across 0 < z < 6 with JWST
[arXiv] 2026-07-28 | Combinatorial Yamabe flow on infinitely triangulated hyperbolic surfaces
[arXiv] 2026-07-28 | First-Principles Wannier Representation of Proximity Effects
[arXiv] 2026-07-28 | Antichiral hinge states in a higher-order photonic nodal ring semimetal
[arXiv] 2026-07-28 | From Deterministic to Generative Deep Learning for Urban Air Quality Reconstruction from Sparse Observations
[arXiv] 2026-07-28 | Mimicking diffusion processes with differential equations
[arXiv] 2026-07-28 | On t-colorable k-plane drawings
[arXiv] 2026-07-28 | Rashomon Alignment
[arXiv] 2026-07-28 | Open-ended innovation in zero-sum games
[arXiv] 2026-07-28 | Relative hybridization textures as local coordinates for band geometry and topology
[arXiv] 2026-07-28 | Bilinear Koopman-Based Robust Model Predictive Control for Unknown Nonlinear Systems via Contraction Metrics
[arXiv] 2026-07-28 | OrchBench: Evaluating Multi-Agent Orchestration Plans in Isolation via Deterministic Simulation
[arXiv] 2026-07-28 | Instruction-based Image Editing: A Survey on Data, Models, Evaluation, and Applications
[arXiv] 2026-07-28 | OmniPhys: Knowledge-Graph-Driven Benchmarking and Collective Optimization for Physical Commonsense in Text-to-Image Generation
[arXiv] 2026-07-28 | Coherent control of subradiant excitations in atomic rings
[arXiv] 2026-07-28 | A Lusin theorem for nonlocal gradients
[arXiv] 2026-07-28 | Omnibus Goodness-of-Fit Testing for Distributions on Stiefel Manifolds
[arXiv] 2026-07-28 | Stealthy point processes and lattice induction
[arXiv] 2026-07-28 | Multi-Sensor Alignment for Weather Simulations
[arXiv] 2026-07-28 | From Markovian actions to Anosov flows
[arXiv] 2026-07-28 | Projective Ore-Degree Conditions for Intersection Theorems in Vector Spaces
[arXiv] 2026-07-28 | Ferroelectricity and antiferroelectricity in the BaS-PbS system with the rocksalt structure
[arXiv] 2026-07-28 | Evaluation of forced alignment of code-mixed speech: the case of Hindi-English
[arXiv] 2026-07-28 | Establishing a national masters programme in high-energy physics: lessons from a Romanian case study
[arXiv] 2026-07-28 | Growth gaps and exponential genericity in acylindrically hyperbolic groups
