[2026-05-27 12:21:38] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-26
正在获取论文...
[arXiv] 2026-05-26 | Relationship between heat effects and shear modulus relaxation during structural relaxation of a telluride glass
[arXiv] 2026-05-26 | On Phase Transition of ITG Turbulence in the Dimits shift
[arXiv] 2026-05-26 | From streamers to stars: overcoming mass loss in protoplanetary disks
[arXiv] 2026-05-26 | Satellite Navigation: A Transmitting Intelligent Surface (TIS)-aided Indoor System
[arXiv] 2026-05-26 | Localizing Memorized Regions in Diffusion Models via Coordinate-Wise Curvature Differences
[arXiv] 2026-05-26 | A Unified Theory of Ownership Concentration, Overlap, and Dependence
[arXiv] 2026-05-26 | Stabilizing Recurrent Dynamics for Test-Time Scalable Latent Reasoning in Looped Language Models
[arXiv] 2026-05-26 | Visualizing Degradation in Anode-Free High-Utilization Aqueous Batteries Across Cell Lifetime
[arXiv] 2026-05-26 | Revealing the Two-Fold Ambiguity: Tau Momentum Reconstruction and Its Impact on Entanglement Observables
[arXiv] 2026-05-26 | Invariant manifolds in barred galaxy simulations. II. Quantitative evidence of manifold-trapping in spiral arm formation
[arXiv] 2026-05-26 | Stochastic LQ Optimal Control with Random Coefficients and a Terminal Mean-Field Cost
[arXiv] 2026-05-26 | Sum of the $k$ Largest Eigenvalues of Symmetric Matrices: Theory and Applications
[arXiv] 2026-05-26 | Rotation-Invariant Spherical Watermarking via Third-Order SO(3) Representation Coupling
[arXiv] 2026-05-26 | A total-Lagrangian vectorial lattice Boltzmann method for finite-strain hyperelastic dynamics
[arXiv] 2026-05-26 | SLA-Aware Traffic Steering in Hybrid TN-NTN 5G Backhaul: A Potential Game Approach
[arXiv] 2026-05-26 | RT-RkNN: Reverse k Nearest Neighbor Queries as a Graphics Ray Casting Problem
[arXiv] 2026-05-26 | The Labyrinth and the Thread: Rethinking Regularizations in Sequential Knowledge Editing for Large Language Models
[arXiv] 2026-05-26 | Spatiotemporal Structures of Parametrically Driven Nonlinear Lattices
[arXiv] 2026-05-26 | Resolving the Correct Library: A Loader-Level Defense Solution Against Shared Object Hijacking
[arXiv] 2026-05-26 | Completion vs Optimality: Policy Gradient in Long-Horizon Cumulative-Damage Problems
[arXiv] 2026-05-26 | Nonparametric Regression via Tree-Guided Feature Aggregation
[arXiv] 2026-05-26 | JetViT: Efficient High-Resolution Vision Transformer with Post-Training Attention Search
[arXiv] 2026-05-26 | Euclidean Steiner Shallow-Light Trees in Higher Dimensions
[arXiv] 2026-05-26 | Attenuation-Resilient Alternating Optimization for Laparoscopic Liver Landmark Detection
[arXiv] 2026-05-26 | DelowlightSplat: Feed-Forward Gaussian Splatting for Lowlight 3D Scene Reconstruction
[arXiv] 2026-05-26 | Efficient stochastic model-predictive control based on the meta-state-space representation
[arXiv] 2026-05-26 | PIDM-DP: Physics-Informed Diffusion with Dormand-Prince Integration for Chaotic System Identification and State Reconstruction across Multiple Dynamical Regimes
[arXiv] 2026-05-26 | Extreme Energy Concentration of Band-Limited Superoscillatory Vortices for Efficient Optical Micromanipulation
[arXiv] 2026-05-26 | LATTE: Forecasting Peer Anchored Preference Trajectories for Personalized LLM Generation
[arXiv] 2026-05-26 | FTibSuite: A Comprehensive Resource Suite for Tibetan Vision-Language Modeling
[arXiv] 2026-05-26 | Control Physiology: An Agent-Based Model of FAIR-CAM Dynamics
[arXiv] 2026-05-26 | Observation of the Inherent Chiral Smith-Purcell Effect via Symmetry Breaking
[arXiv] 2026-05-26 | Near-Optimal Regret in Adversarial Kernel Bandits
[arXiv] 2026-05-26 | On the Error-Correcting Effects of Stochasticity in Discrete Diffusion
[arXiv] 2026-05-26 | Focal Reward: Balanced Reinforcement Learning under Rubric-Based Rewards
[arXiv] 2026-05-26 | Ultrametricity of Energy Minimum Configurations of RNA Secondary Structures in the Nussinov Model
[arXiv] 2026-05-26 | Cassandra: Enabling Reasoning LLMs at Edge via Self-Speculative Decoding
[arXiv] 2026-05-26 | Motivic Segre classes of Schubert cells and the connective formal group law
[arXiv] 2026-05-26 | Chips in the Flatland : 2D Semiconductors for Future Computing Electronic
[arXiv] 2026-05-26 | Linear and Neural Dueling Bandits with Delayed Feedback
[arXiv] 2026-05-26 | SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?
[arXiv] 2026-05-26 | Super-Arrhenius Dynamic Slowdown Revealed by Slow Variable Modulation in the Fragile Supercooled Liquid
[arXiv] 2026-05-26 | Conditions for domain-free negative capacitance
[arXiv] 2026-05-26 | A Hybrid Vision-Language Architecture for Automated Defect Reasoning and Report Generation in Industrial Inspection
[arXiv] 2026-05-26 | Open-Weight LLM Fine-Tuning Defenses are Susceptible to Simple Attacks
[arXiv] 2026-05-26 | ReCA: Multi-Shot Long Video Extrapolation via Recursive Context Allocation
[arXiv] 2026-05-26 | Backward Uniqueness for Coupled Ultraparabolic Operators and an Application to Jerk-Driven Control Models
[arXiv] 2026-05-26 | On the Robustness of Machine Unlearning for Vision-Language Models
[arXiv] 2026-05-26 | Acoustic radiation force on a liquid particle in a standing surface acoustic wave field
[arXiv] 2026-05-26 | Genuine Hybrid Number-Polarization Entanglement
[arXiv] 2026-05-26 | MerLean-Prover: A Recursive Looping Harness for End-to-End Lean 4 Theorem Proving
[arXiv] 2026-05-26 | DinoComplete: 3D Shape Completion with Distilled Semantic Priors and State Space Models
[arXiv] 2026-05-26 | Integrating Proportionality and Egalitarianism in Claims Problems
[arXiv] 2026-05-26 | Object Pose and Shape Estimation for Grasping: Does it Work?
[arXiv] 2026-05-26 | Neuro-Symbolic Verification of LLM Outputs for Data-Sensitive Domains (extended preprint)
[arXiv] 2026-05-26 | Hybrid Ermakov-Ray-Reid/Painlevé II Symmetry Reduction: Application to a Class of Moving Boundary Problems
[arXiv] 2026-05-26 | DunbaaBERT: From Sacrifice to Semantics
[arXiv] 2026-05-26 | Dual Privacy Guarantees for Distributed Nash Equilibrium Seeking in Aggregative Games
[arXiv] 2026-05-26 | Revisiting Bruck: Phase-Efficient All-to-All Communication in Reconfigurable Networks
[arXiv] 2026-05-26 | Learning to Adapt SFT Data for Better Reasoning Generalization
[arXiv] 2026-05-26 | Experimental and theoretical studies of hyperfine structures in $^{21}$Na
[arXiv] 2026-05-26 | Extremal Marginal States of Maximal Rank in $(d, d+m)$
[arXiv] 2026-05-26 | I2PRef: Image-Driven Point Completion with Iterative Refinement
[arXiv] 2026-05-26 | Nuclear structure within the relativistic mean field approach including chiral symmetry and quark confinement effects
[arXiv] 2026-05-26 | On the Detection of Commutative Factors in Factor Graphs: Necessary and Sufficient Conditions
[arXiv] 2026-05-26 | Polish topologies on endomorphism monoids of linear orders
[arXiv] 2026-05-26 | Dynamics of ring polymer melts: Memory function approach
[arXiv] 2026-05-26 | Load Management of Distribution Systems via Online Dynamic Pricing
[arXiv] 2026-05-26 | GeoFaith: A Spatio-Temporal Dual View of Faithful Chain-of-Thought
[arXiv] 2026-05-26 | Constrained Symplectic Quantization II: The Free Scalar Field
[arXiv] 2026-05-26 | Nonlinear and Heavy-Tailed Predictability in Transition-Energy Financial Markets
[arXiv] 2026-05-26 | Self-Consistent Spectral Quadrature Approach to Many-Body Green Functions
[arXiv] 2026-05-26 | Parsimonious Learning-Augmented Online Metric Matching
[arXiv] 2026-05-26 | Natural Human Motion Recovery by Aligning High-Order Temporal Dynamics from Monocular Videos
[arXiv] 2026-05-26 | Multi-Stakeholder LLM Alignment: Decomposing Estimation from Aggregation
[arXiv] 2026-05-26 | Secure UAV Swarms in Low-Altitude Wireless Networks: Challenges and Solutions
[arXiv] 2026-05-26 | Receipt Replay OOD: A Small Benchmark for Screen Replay Detection Under Domain Shift
[arXiv] 2026-05-26 | Optimising Factual Consistency in Summarisation via Preference Learning from Multiple Imperfect Metrics
[arXiv] 2026-05-26 | Defect engineering of ultrathin gallium nitride via electric fields for advanced electronic, magnetic, and gas sensing applications
[arXiv] 2026-05-26 | Prime Certificates for Exact Vertex-Coprime Ramsey Numbers
[arXiv] 2026-05-26 | CFMDCTCodec: A Low-Bitrate Neural Speech Codec with Noise-Prior-aware Conditional Flow Matching for MDCT-Spectral Enhancement
[arXiv] 2026-05-26 | Large Deviation Principle for the Empirical Measures of Simple Random Walks on $\overline{\mathbb{Z}}$
[arXiv] 2026-05-26 | Saturation and No-Go Theorems for Scalar Poisson Certificates of Gaussian Mass Maximality
[arXiv] 2026-05-26 | Anonymous YARA Rules Are Not Anonymous
[arXiv] 2026-05-26 | Composition Collapse: Stable Factual Knowledge Does Not Imply Compositional Reasoning
[arXiv] 2026-05-26 | Manipulating Tangible Virtual Object Dynamics to Promote Learning of Precision Force Generation
[arXiv] 2026-05-26 | Cesarean Scar Defect Segmentation in Transvaginal Ultrasound Images: a Dataset and Benchmark
[arXiv] 2026-05-26 | Laplace's law for sharp and diffuse interfaces
[arXiv] 2026-05-26 | Unveiling the dark matter nature with reionization relics
[arXiv] 2026-05-26 | State-Robust Nash Predictions In Population Games
[arXiv] 2026-05-26 | An SMA Molecular Inventory of the Edge-on Protoplanetary Disk Gomez's Hamburger
[arXiv] 2026-05-26 | Modulation of charge density waves in a twisted vortex moire superlattice
[arXiv] 2026-05-26 | SIKA-GP: Accelerating Gaussian Process Inference with Sparse Inducing Kernel Approximations for Bayesian Deep Learning
[arXiv] 2026-05-26 | Stability of the Injectivity Radius and the Cut Locus of Submanifolds under Perturbations
[arXiv] 2026-05-26 | Verilog-Evolve: Feedback-Driven and Skill-Evolving Verilog Generation
[arXiv] 2026-05-26 | Dense2MoE: Pushing the Pareto Frontier of On-Device LLMs via Unified Pruning and Upcycling
[arXiv] 2026-05-26 | Beyond Pairwise Preferences: Listwise Reward-Aware Alignment for Diffusion Models
[arXiv] 2026-05-26 | LongCat-Video-Avatar 1.5 Technical Report
[arXiv] 2026-05-26 | Contributions of interference and non-interference components to CP asymmetries in heavy meson decays
[arXiv] 2026-05-26 | FAB-Bench: A Framework for Adaptive RAG Benchmarking in Semiconductor Manufacturing
[arXiv] 2026-05-26 | Generalized Range Filtering Approximate Nearest Neighbor Search: Containment and Overlap [Technical Report]
[arXiv] 2026-05-26 | Orion: Enabling Self-adaptive Memory Management for On-device Online Continual Learning
[arXiv] 2026-05-26 | Heterogeneous AAV Logistics Task Allocation: A Reinforcement Learning Enhanced Overlapping Coalition Formation Game Approach
[arXiv] 2026-05-26 | Quasi-abelian quotients in extriangulated categories
[arXiv] 2026-05-26 | Selective Biexciton Generation Under Energy-Time Entangled Quantum Light in Quantum Dots
[arXiv] 2026-05-26 | Beyond Epsilon: A Principled QIF Framework for Local Differential Privacy
[arXiv] 2026-05-26 | Towards Error-Free EHRs: Reasoning-Intensive Consistency Verification Between Clinical Notes and Structured Tables in Electronic Health Records
[arXiv] 2026-05-26 | MuCon: Clipped Muon Updates for LLM Training
[arXiv] 2026-05-26 | High-resolution mid-infrared single-photon upconversion ranging
[arXiv] 2026-05-26 | Structural Alter-Phononics: Sublattice-Momentum Locking in Spinless Lattice Dynamics
[arXiv] 2026-05-26 | Cross-scale Aligned Supervision for Training GANs
[arXiv] 2026-05-26 | Constitutional Arms Races in the Public Goods Game: Co-Evolving LLM Constitutions Under Cooperation-Defection Pressure
[arXiv] 2026-05-26 | Divergent Minds, Convergent Baselines: A Bounded-Rationality Account of LLM-Human Strategic Behaviour
[arXiv] 2026-05-26 | Direct Dispersion-Curve Engineering of Phononic Crystal Defect Modes for Prescribed Frequencies via Topology Optimization
[arXiv] 2026-05-26 | Aperiodic and Low-Frequency Spectral Bias in Reconstruction based EEG Foundation Models
[arXiv] 2026-05-26 | Slide Deck Q&A Quality Assurance App: A Multi-Stage Pipeline for Pedagogical Question Generation
[arXiv] 2026-05-26 | When Does Deep RL Beat Calibrated Baselines? A Benchmark Study on Adaptive Resource Control
[arXiv] 2026-05-26 | A Differentiable Programming Framework for Accurate and Stable Reduced-Order Modeling of Chaotic Flows
[arXiv] 2026-05-26 | Confounder Detection via Treatment Intent: A New Observational Study Design
[arXiv] 2026-05-26 | Function-Valued Causal Influence in Nonlinear Time Series
[arXiv] 2026-05-26 | mmDiff: A Noise-Robust Differentiable Ray-Tracing Framework for mmWave Scene Calibration and Channel Prediction
[arXiv] 2026-05-26 | Varieties admitting a holomorphic symplectic form: LLV algebras and derived equivalences
[arXiv] 2026-05-26 | Annotator Positionality as Signal: Psychometric Weighting for Anti-Autistic Ableism Detection
