[2026-08-25 21:16:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
[arXiv] 2026-08-24 | Nuclear excitation by radiative electron-ion recombination
[arXiv] 2026-08-24 | Exchange and core-polarization effects on Rydberg-transition electric-dipole matrix elements in Rb and Cs
[arXiv] 2026-08-24 | Performance of a domain-specific large language model in answering patient questions in psychiatry
[arXiv] 2026-08-24 | DiaScriber: A Speech LLM for Joint Diarization and Transcription in Multi-Speaker Scenarios
[arXiv] 2026-08-24 | $C^1$-robust strong pluripotency for blender-horseshoes
[arXiv] 2026-08-24 | Neural Operator based Multi-Field Reconstruction of Inner Solar Boundary State
[arXiv] 2026-08-24 | Real-analytic finitely forcible kernels
[arXiv] 2026-08-24 | A Two-month, Galaxy-targeted NIR Follow-up of the Sub-solar-mass Gravitational Wave Candidate S251112cm: Probing Electromagnetic Counterpart Scenarios
[arXiv] 2026-08-24 | SPOC-SQL: Stage-wise Preference Optimization for Controllable Text-to-SQL
[arXiv] 2026-08-24 | The Retriever Should Remember: Experience-Amortized Reranking for Long-Term Agent Memory
[arXiv] 2026-08-24 | A Novel Decoupling Method for Investigating Distinct Domain Evolution in Ferroelectric Film
[arXiv] 2026-08-24 | Beyond Factual Knowledge: Benchmarking and Learning Step-Level Procedural Rule Reasoning in Large Language Models
[arXiv] 2026-08-24 | Categorical Equivalences of Finite W-Superalgebras and Clifford Twists
[arXiv] 2026-08-24 | Generative Neural Networks for Sinkhorn Distributionally Robust Hypothesis Testing
[arXiv] 2026-08-24 | DiaRelay: Relaying Dialogue Context with a Constant-Size Memory for Emotion Recognition in Conversation
[arXiv] 2026-08-24 | Tidal disruption of stellar binaries as a pathway to exotic transients
[arXiv] 2026-08-24 | Symmetric Taylor--Hood elements for the linear stress gradient problem
[arXiv] 2026-08-24 | SEAM: Shot Entity-Attribute Memory for Consistent Short-Drama Generation at Scale
