[2026-06-16 13:28:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | Worst-case depth hierarchy for shallow quantum circuits
[arXiv] 2026-06-15 | Single-item lot sizing problem under budgeted lead-time uncertainty
[arXiv] 2026-06-15 | A short proof of the modified Kretschmann-Schlingemann-Werner conjecture
[arXiv] 2026-06-15 | Joycent: Diffusion-based Accent TTS without Accented Phone Prediction
[arXiv] 2026-06-15 | Posterior Twins: Distributional Behavioral Simulation for Enterprise Decisions
[arXiv] 2026-06-15 | Instance-Aware Knowledge Distillation for Semi-Supervised Learning of an On-Board Multi-Task Dense Prediction Model for Collision Avoidance System
[arXiv] 2026-06-15 | MUNI: Multimodal Unified Latent Diffusion for Coherent Any-to-Any Generation
[arXiv] 2026-06-15 | RGFVR: Reference-Guided Face Video Restoration with Flow Matching
[arXiv] 2026-06-15 | SP$^3$: Spherical Priors for Plug-and-Play Restoration
[arXiv] 2026-06-15 | Scalable Graph State Generation with O(1) Local Feedforward in Quantum Networks
[arXiv] 2026-06-15 | Tyler: Typed Latent Reasoning for Language Models -- When to Think, What to Compute, and How Much to Allocate
[arXiv] 2026-06-15 | The gas kinematics in 70 μm dark molecular clumps with ammonia
[arXiv] 2026-06-15 | GraphBEV++: Multi-Modal Feature Alignment for Autonomous Driving
[arXiv] 2026-06-15 | Hit-rate capability of a silicon strip detector module for decay positron detection in the J-PARC muon $g-2$/EDM experiment
[arXiv] 2026-06-15 | Optimizing resource bounds in direct fidelity estimation
[arXiv] 2026-06-15 | SMEPilot: Characterizing and Optimizing LLM Inference with Scalable Matrix Extensions
[arXiv] 2026-06-15 | Integrated tunable mid-infrared electro-optic frequency comb generator based on nonlinear conversion
[arXiv] 2026-06-15 | HAFMat: Hybrid Priors Guided Adaptive Fusion for Single-Image Human Material Estimation
[arXiv] 2026-06-15 | Implementation of rotational invariance for first-principles phonons and application to low-dimensional materials
[arXiv] 2026-06-15 | Architectural Wisdom: A Framework for Governing Optimization in AI Systems
[arXiv] 2026-06-15 | RL-Index: Reinforcement Learning for Retrieval Index Reasoning
[arXiv] 2026-06-15 | Endoreversible Carnot machines with long-time reversible limit
[arXiv] 2026-06-15 | State-Grounded Multi-Agent Synthetic Data Generation for Tool-Augmented LLMs
[arXiv] 2026-06-15 | Explainable Flood Segmentation on Sentinel-1 SAR Imagery: A Comparative Study of CNN and Transformer Architectures
[arXiv] 2026-06-15 | GraphWorld: Long-Horizon Planning with World Models for End-to-End Autonomous Driving
[arXiv] 2026-06-15 | Contrastive Learning for Seismic Horizon Tracking with Domain-Specific Priors
[arXiv] 2026-06-15 | Tropical: Enhancing SLO Attainment in Disaggregated LLM Serving via SLO-Aware Multiplexing
[arXiv] 2026-06-15 | Variance Reduction for Non-Log-Concave Sampling with Applications to Inverse Problems
[arXiv] 2026-06-15 | UniDDT: Unifying Multimodal Understanding and Generation with Decoupled Diffusion Transformer
[arXiv] 2026-06-15 | Learned Image Compression for Vision-Language-Action Models
[arXiv] 2026-06-15 | Structural Origin of the Hale Bilinear Form: From the Viewpoint of the Green and Lagrange Identities
[arXiv] 2026-06-15 | Multiband transport hierarchy and large Nernst effect in EuAuBi: Establishing a Nernst scaling for asymmetric multiband systems
[arXiv] 2026-06-15 | Thakur's hypotheses on power sums of $\mathbb{F}_q[t]$
[arXiv] 2026-06-15 | From Tokens to Regions: CUDA-Sensitive Instruction Tuning for GPU Kernel Generation
