[2026-07-15 10:51:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Virtual Chromoendscopy with Tunable Visibility Enhancement
[arXiv] 2026-07-14 | Physically Aware Radiomics Without Interpolation: Disentangling Voxel Geometry and Signal Modification in CT and MRI
[arXiv] 2026-07-14 | Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning
[arXiv] 2026-07-14 | ReDiTT: Retrieval Augmented Conditional Diffusion Transformers for Asynchronous Time Series
[arXiv] 2026-07-14 | Measurement-induced phase transition in space
[arXiv] 2026-07-14 | PM-Bench: Evaluating Prospective Memory in LLM Agents
[arXiv] 2026-07-14 | SeamGen: Artist-Aligned UV Seam Generation via Graph Flow Matching
[arXiv] 2026-07-14 | Coloring $(P_6,C_4)$-free graphs with $Δ- 1$ colors
[arXiv] 2026-07-14 | Lost in Visual Translation: A VLM-Assisted Perceptual-Semantic Coherence Framework for EEG-to-Image Reconstruction
[arXiv] 2026-07-14 | Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements
[arXiv] 2026-07-14 | Cover numbers by graph families bounded by certain graph parameters
[arXiv] 2026-07-14 | Reduction of relative multisymplectic manifolds
[arXiv] 2026-07-14 | Forecasting Inflation with Microdata: An Adaptive Machine Learning Approach
[arXiv] 2026-07-14 | Skills That Don't Exist: A Large-Scale Study of Hallucinated Skill Recommendation in LLM Agents
[arXiv] 2026-07-14 | Gradient Flow Dynamics and Implicit Bias of Diagonal Linear Networks under Infinitesimal Initialization
[arXiv] 2026-07-14 | Peak-Decomposition-Free Inverse Metrology of Hyperspectral Moiré Photoluminescence
[arXiv] 2026-07-14 | DM-KG: A Novel Method for Boosting Spatial Cognition of Vision-Language Models in Street View Imagery
[arXiv] 2026-07-14 | Meromorphic Group Actions and the Support Theorem for Lagrangian Fibrations
[arXiv] 2026-07-14 | Selective avoidance of multiple line-of-sight obstacles at 130~m using locally bending space-time wave packets
[arXiv] 2026-07-14 | Solvent Mixing Effect on Free-Energy Barrier and Stability for Molecular Recognition Driven by the Translational Motion of Solvent Molecules
[arXiv] 2026-07-14 | Adaptive Cross-Modal Fusion with Sparse Attention for Pedestrian Crossing Intention Prediction
[arXiv] 2026-07-14 | Asymptotic forms of the Ursell edge waves on a gently sloping beach
[arXiv] 2026-07-14 | SlimPer: Make Personalization Model Slim and Smart
[arXiv] 2026-07-14 | Auditing Data Leakage in Whole-Slide Image Multimodal Benchmarks
[arXiv] 2026-07-14 | Quantum Port-Hamiltonian Neural Networks: Learning Conservative and Dissipative Dynamics via Measurement-Induced Nonlinearity
[arXiv] 2026-07-14 | DiffRadar: Differentiable Physics-Aware Radar SLAM with Gaussian Fields
[arXiv] 2026-07-14 | Understanding Structured Health Data through Interaction-Aware Mixture-of-Experts
[arXiv] 2026-07-14 | When Directional Accuracy Lies: A Base-Rate-Honest Benchmark for LoRA-Adapted TimesFM on Equity Forecasting
[arXiv] 2026-07-14 | The Center of the Temperley-Lieb Algebra
[arXiv] 2026-07-14 | Gradient-Free Topology Adaptation for Power Flow Surrogates via In-Context Whitening
[arXiv] 2026-07-14 | A new dual-population constrained multi-objective evolutionary optimization algorithm with repair constraint handling for structural optimization
[arXiv] 2026-07-14 | Speculate with Memory: Lossless Acceleration for LLM Agents
[arXiv] 2026-07-14 | The GEST-Engine: From Event Graphs to Synthetic Video. A Full Technical Report
[arXiv] 2026-07-14 | Proceedings of HLPP 2026: 19th International Symposium on High-Level Parallel Programming and Applications
[arXiv] 2026-07-14 | Open-KNEAD: Knowledge-grounded Nutrition Estimation via Agentic Decomposition
[arXiv] 2026-07-14 | Rank-1 Identity Consensus Predicts Gallery Enrollment in 1:N Face Matching More Accurately than Score Thresholding
[arXiv] 2026-07-14 | A 32-channel event-based bio-signal analog front-end with adaptive delta and pulse frequency encoding
[arXiv] 2026-07-14 | Analysis of a multispecies cross-diffusion Keller-Segel system with volume filling
[arXiv] 2026-07-14 | MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations
[arXiv] 2026-07-14 | Searching for Stellar Activity Cycles using Flares II: The TESS CVZ
[arXiv] 2026-07-14 | Inhibited Self-Attention: Sharpening Focus in Vision Transformers
[arXiv] 2026-07-14 | From Manifold Identification to Newton Acceleration on Intersections: Sparse Stiefel Optimization
[arXiv] 2026-07-14 | Superstatistical Analysis of PDFs and autocorrelation functions for air pollution concentrations in the UK
[arXiv] 2026-07-14 | MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox
[arXiv] 2026-07-14 | Graph-space well-posedness for diffusion equations with degenerate instantaneous diffusion
[arXiv] 2026-07-14 | End-to-End Quantum Key Distribution Across Hybrid Fiber and Free-Space Links with All-Optical Encoding Conversion
[arXiv] 2026-07-14 | Southern massive stars at high angular resolution: WR 25 is a massive hierarchical triple system
[arXiv] 2026-07-14 | Contrast-Free ICA and Causal Inference via Wasserstein Distances to the Gaussian
[arXiv] 2026-07-14 | Knowledgeless Language Models: Suppressing Parametric Recall for Evidence-Grounded Language Modeling
