[2026-06-10 12:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | Dynamic inverse problems: Single-loop online algorithms
[arXiv] 2026-06-09 | $ρ$-Frequently Hypercyclic Operators
[arXiv] 2026-06-09 | A Systematic Approach for Selecting Trajectories for Data Augmentation
[arXiv] 2026-06-09 | Early Comparative Evaluation of Transformer Models for Multilingual Software Vulnerability Detection
[arXiv] 2026-06-09 | Robust Current Regulation of MMC-based MTDC Power Systems based on Lyapunov Inequality
[arXiv] 2026-06-09 | Beyond Model Size: Probing the Gaps in Visual in-Context Learning by Training a Tiny Model
[arXiv] 2026-06-09 | Comparative Analysis of Inference-Time Defense Methods for Multimodal Large Language Models
[arXiv] 2026-06-09 | Pose-ICL: 3D-Aware In-Context Learning for Pose-Controllable Subject Customization
[arXiv] 2026-06-09 | MV-Actor: Aligning Multi-View Semantics and Spatial Awareness for Bimanual Manipulation
[arXiv] 2026-06-09 | Optimal Post-Training Quantization Scales and Where to Find Them
[arXiv] 2026-06-09 | Sleep EEG Signal Criticality as a Non-Invasive Predictor of Cognitive Decline in Dementia
[arXiv] 2026-06-09 | Listen, Look, and Learn: Learning Without Forgetting through SAM-Audio
[arXiv] 2026-06-09 | From the microscope to High Performance Computing centers, a national effort toward automated data workflows for microscopy facility users in France
[arXiv] 2026-06-09 | Finite free convolution via reproducing kernels and squarefree algebras
[arXiv] 2026-06-09 | Sensitivity Enhancement near High-Order Exceptional Points via Dissipative Couplings
[arXiv] 2026-06-09 | Thermodynamic Approach to Momentum Transport in Dense Fluids
[arXiv] 2026-06-09 | Embodiment-conditioned Generalist Control for Multirotor Aerial Robots
[arXiv] 2026-06-09 | Janus: A Benchmark for Goal-Conditioned Information Distortion in LLMs
[arXiv] 2026-06-09 | On Calabi-Yau Threefolds For Unified LVS Inflation
[arXiv] 2026-06-09 | Geometrically Averaged Hard Target Updates for Linear Q-Learning
[arXiv] 2026-06-09 | Derivatives of Tensor Products and Applications to Spaces $C(K^n,X)$
[arXiv] 2026-06-09 | Attention-Discounted Adaptive Sampler for Masked Diffusion Language Models
[arXiv] 2026-06-09 | The fidelity of controlled quantum teleportation in a noisy environment
[arXiv] 2026-06-09 | Continuous and discontinuous transitions in the Ising-Heisenberg model on the extended Lieb lattice in a magnetic field
[arXiv] 2026-06-09 | IMPACT: Learning Internal-Model Predictive Control for Forceful Robotic Manipulation
[arXiv] 2026-06-09 | Analysis of the young disk around WRAY 15-1880: does it contain a primitive planetary system?
[arXiv] 2026-06-09 | Evaluating Research-Level Math Proofs via Strict Step-Level Verification
[arXiv] 2026-06-09 | On the refined properties of uniformly quasi-greedy bases
[arXiv] 2026-06-09 | A Multimodal RGB and Events Dataset for Hand Detection in First-Person View
[arXiv] 2026-06-09 | Generating functions for aggregation and fragmentation: review
[arXiv] 2026-06-09 | Recovering the Zipfian Distribution in Unsupervised Term Discovery
[arXiv] 2026-06-09 | From Patches to Patients: A study of the tile-to-slide performance transferability in Digital Pathology
[arXiv] 2026-06-09 | On-sky demonstration of reinforcement learning for adaptive optics control
[arXiv] 2026-06-09 | Viable Supply Chain Network Design: Machine Learning-Derived Chance-Constrained Programming
[arXiv] 2026-06-09 | Dynamical Partition Functions of Stochastic Dynamics via Variational Flows
[arXiv] 2026-06-09 | Spontaneous translation of charged droplets during evaporation on dry surfaces
[arXiv] 2026-06-09 | UnReal-B : Real-Space DFT Solver for Matter in Extreme Magnetic Fields
[arXiv] 2026-06-09 | Weighted least action principle for Maxwell equations
[arXiv] 2026-06-09 | Potential detection of ~ 4.2 keV emission line from GRS 1747-312
[arXiv] 2026-06-09 | Detecting Knowledge Gaps from Conversational AI Interactions Using Curriculum Prerequisite Graphs
[arXiv] 2026-06-09 | Patient-Level Diagnosis of Acute Myeloid Leukemia via Deep Learning Analysis of Bone Marrow Smear
[arXiv] 2026-06-09 | Pre-AF 13: An Interpretable Atrial Fibrillation Risk Score Mined from Discharge Reports
[arXiv] 2026-06-09 | Disjointness of rescalings of smooth area preserving flows on surfaces
[arXiv] 2026-06-09 | The Agentic Web Requires New Normative Infrastructure
[arXiv] 2026-06-09 | Effective Reinforcement Learning for Agentic Search by Recycling Zero-Variance Queries During Training
[arXiv] 2026-06-09 | From Observation to Intervention: A Causal Audit of Expert Importance in Mixture-of-Experts Models
[arXiv] 2026-06-09 | Certification of Network Quantum Sensing
[arXiv] 2026-06-09 | Beyond Patches: Superpixel Token-based Transformers for Attribute-Specific Fashion Retrieval
[arXiv] 2026-06-09 | REAL: A Reasoning-Enhanced Graph Framework for Long-Term Memory Management of LLMs
[arXiv] 2026-06-09 | Self-Supervised Relevance Modelling in Autonomous Driving via Counterfactual Analysis
[arXiv] 2026-06-09 | Long-wave KdV hierarchy approximation of the NLS hierarchy with nonzero boundary conditions
[arXiv] 2026-06-09 | PL-KKT-hPINN: Enforcing Nonlinear Equality Constraints on Neural Networks via Piecewise-Linear Projection
[arXiv] 2026-06-09 | Hawking--Page Universality, Thermodynamic Dipoles and Categorical Defects
[arXiv] 2026-06-09 | Multilingual Word-Level Forced Alignment with Self-Supervised Representations and Learned Dynamic Programming
[arXiv] 2026-06-09 | A Comprehensive Study on the Line Profiles and Stark Widths of Ionic Transitions from Laser Produced Aluminum Plasma
[arXiv] 2026-06-09 | Linear relations of four conjugates of an algebraic number of degree eight
[arXiv] 2026-06-09 | $Λ$(1520) as a probe of resonance-driven deuteron formation at the LHC
[arXiv] 2026-06-09 | Decentralized Multi-Agent Systems with Shared Context
[arXiv] 2026-06-09 | Far-field approximations for multi-timescale microswimmers near a boundary
[arXiv] 2026-06-09 | Accounting for AI Inference in Corporate GHG Inventories: A Four-Tier Methodology for Scope 3 Category 1 Reporting
[arXiv] 2026-06-09 | Speaker Group Encoding in Self-supervised Speech Recognition Models
[arXiv] 2026-06-09 | A sporadic strongly regular graph with parameters $(120,56,28,24)$ from a primitive action of the symmetric group on $7$ elements
[arXiv] 2026-06-09 | Star-formation variability on the star-forming main sequence during the Epoch of Reionization
[arXiv] 2026-06-09 | RF for accelerators: RF power generation, RF power transport, RF power couplers
[arXiv] 2026-06-09 | ChartLens: A Dual-Branch Framework for Chart Data Correction and Factual Summary Refinement
[arXiv] 2026-06-09 | One-Step Self-Organized Multifunctional Micromotors via Evaporative Liquid-Liquid Phase Separation
[arXiv] 2026-06-09 | Geometry of gravitational instantons
[arXiv] 2026-06-09 | Enhancing Multilingual LLM-based ASR with Mixture of Experts and Dynamic Downsampling
[arXiv] 2026-06-09 | Virtual-Array Operational Modal Analysis of Rolling Tires Using a Single Tire Cavity Accelerometer
