[2026-08-12 10:06:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[IEEE] 2026-8-11 | HAPS for Maritime Communications: Performance Comparison of Relaying Techniques
[IEEE] 2026-8-11 | Low-Cost Integrated Sensing and Communication System Design with Ultrasonic Sound Waves
[IEEE] 2026-8-11 | Comparative Analysis of 700 MHz and 2600 MHz Frequency Bands in Mobile Private LTE Networks in Terms of Performance Parameters
[IEEE] 2026-8-11 | Multi-Label Disease Detection in Chest X-Ray Images Using CheXFound: Loss Function Analysis
[IEEE] 2026-8-11 | Sample-Efficient Autonomous Surface Vehicle Navigation with Enhanced Experience Replay
[IEEE] 2026-8-11 | Deep Learning Approaches for Bearing Fault Diagnosis Using Motor Current Signals
[IEEE] 2026-8-11 | Efficient Optic Disc and Cup Segmentation for Glaucoma Assessment
[IEEE] 2026-8-11 | Epileptic Seizure Detection via Dynamic Graph Learning in EEG Signals
[IEEE] 2026-8-11 | Preventive Maintenance Diagnostics of Fabric Filters for Better Emissions Compliance in Cement Manufacturing
[IEEE] 2026-8-11 | Instruction-Tuned Translation Language Model Focused On Turkish
[IEEE] 2026-8-11 | Spatio-Temporal Time Series Forecasting with Graph-Enhanced Embeddings
[IEEE] 2026-8-11 | Learning Discrete Relational Symbols for Compound Object Affordances
[IEEE] 2026-8-11 | H-2-D-Fossilize: A Project Concept for a Total De-Fossilization of Clinker Production Process of a Cement Plant
[IEEE] 2026-8-11 | Author Index
[IEEE] 2026-8-11 | Geometry-Consistent Safety Shaping for PPO-Based Multi-UAV Formation Assembly
[IEEE] 2026-8-11 | Self-Supervised Poisson Denoising in Biomedical Imaging: Edge-AI Verification of Deep Unrolling Architectures
[IEEE] 2026-8-11 | Performance Evaluation of Different FDA-MIMO Radar Systems in terms of Multi-Target Separation Capability
[IEEE] 2026-8-11 | SIU 2026 Author Index
[IEEE] 2026-8-11 | Performance Analysis of Different Channel Coding Techniques Under Turbidity Effects in Underwater Optical Channels
[IEEE] 2026-8-11 | Low Earth Orbit-Supported Non-Terrestrial Networks in 6G: Challenges and Future Research Directions
[IEEE] 2026-8-11 | Feature Interaction-Based Blood Cell Classification: A Comparative Study of Machine Learning and Ensemble Methods
[IEEE] 2026-8-11 | Contrastive Wrong-Label Evaluation of Signal Grounding vs. Template Parroting in LLM-Based Bearing Fault Explainers
[IEEE] 2026-8-11 | An Efficient Technique for Low Rank and Sparse Decomposition of Matrices
[IEEE] 2026-8-11 | GWO-Based Hybrid Precoding Optimization for Indoor THz-RSMA Systems Under Practical Impairments
[ACM] 2026-8-11 | Poster: One-Prompt Censorship Evasion via Generative Diffusion Models
[IEEE] 2026-8-11 | THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications
[IEEE] 2026-8-11 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[IEEE] 2026-8-11 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[IEEE] 2026-8-11 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[IEEE] 2026-8-11 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[IEEE] 2026-8-11 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[IEEE] 2026-8-11 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[IEEE] 2026-8-11 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
[IEEE] 2026-8-11 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[IEEE] 2026-8-11 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[IEEE] 2026-8-11 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[IEEE] 2026-8-11 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[IEEE] 2026-8-11 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[IEEE] 2026-8-11 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[IEEE] 2026-8-11 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[IEEE] 2026-8-11 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[ACM] 2026-8-11 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[ACM] 2026-8-11 | Explainable Network Verification via Localized Subspecification
[IEEE] 2026-8-11 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[IEEE] 2026-8-11 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[IEEE] 2026-8-11 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[ACM] 2026-8-11 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[ACM] 2026-8-11 | End-User Programming Literacy in the Generative AI Age
[IEEE] 2026-8-11 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[IEEE] 2026-8-11 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[IEEE] 2026-8-11 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[IEEE] 2026-8-11 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[IEEE] 2026-8-11 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
