[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[ACM] 2026-5-4 | Measuring and Predicting the Resilience of Smart Eldercare Industry Innovation Ecosystems: An Event-Driven Performance-Space Framework with Machine Learning
[ACM] 2026-5-4 | A Unified Spatiotemporal Graph Prediction–Optimization Framework for Networked Time-Varying Systems
[IEEE] 2026-5-4 | Dynamic Simulation and Performance Evaluation of an Electric Two-Wheeler Powertrain
[IEEE] 2026-5-4 | Shunt Active Power Filter Based on DETOGI for Self-Excited Induction Generator Under Unbalanced Loaded Condition
[IEEE] 2026-5-4 | Urban Traffic Intelligence: Merging Computer Vision and Reinforcement Learning for Proactive Congestion Control
[IEEE] 2026-5-4 | Bandgap Prediction in Mixed $\text{Sn}-\text{Pb}$ Perovskites via Regression Models
[IEEE] 2026-5-4 | Design and Control of High Power Density Power Electronics for Fuel Cell-Based Energy Storage Systems
[IEEE] 2026-5-4 | A Machine Learning Approach for Efficiency-Based Fault Detection in Ev Batteries
[IEEE] 2026-5-4 | Modern Hybrid Cross-Tied BIPV Interconnections for Smart Infrastructures With Improved Global MPP Under Extreme Non-Uniform Shading
[IEEE] 2026-5-4 | Enhanced Ultra Gain Cubic DC-DC Converter for EV and Grid Applications Using Dual Switch Operation
[IEEE] 2026-5-4 | Life Cycle Assessment of Prismatic Lithium Iron Phosphate Batteries for Autonomous Vehicles in India: Tool Benchmarking and Environmental Impact Mitigation Strategies
[IEEE] 2026-5-4 | Optimal Placement of Electric Vehicle Rapid Charging Stations with V2G strategies
[IEEE] 2026-5-4 | Reduction of Harmonic Distortion in Five-Phase VSI Using Modified Pentagonal Space Vector PWM
[IEEE] 2026-5-4 | Frequency Control of Multi-Area Power Systems Using a Novel Hippopotamus Optimization-Based Cascaded Controller Incorporating Renewable Energy Sources and Electric Vehicles
[IEEE] 2026-5-4 | Comparative Analysis of Different Rotor-Shaped IPMSM for Two-Wheeler Electric Vehicles
