[2026-08-24 21:17:51] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-23
正在获取论文...
[ACM] 2026-8-24 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[ACM] 2026-8-24 | Spatial Audio Feedback for Discrete Rotation Technique in Virtual Reality
[IEEE] 2026-8-24 | Few-Shot Fault Diagnosis for Circuit Breakers Using WGAN-GP-Augmented BiGRU
[IEEE] 2026-8-24 | Pre-Correction Optimal Dispatching Method for Generators Considering Frequency Stability Constraints
[IEEE] 2026-8-24 | Adaptive SOC-Band Energy Management Strategy for Fuel Optimization in Parallel Hybrid Electric Vehicles
[IEEE] 2026-8-24 | Comparative Study of Deep Learning Models for Tomato Leaf Disease Classification: CNNs vs Vision Transformers
[IEEE] 2026-8-24 | Adaptive Dead-Time Control for a Four-Switch Buck-Boost Converter
[IEEE] 2026-8-24 | Table of Contents
[IEEE] 2026-8-24 | Evaluation of Early Fault Detection Algorithms for DC Circuits Using Trend Analysis in Embedded Systems
[IEEE] 2026-8-24 | Research on Reliability Assessment method of RB IGCT in Hybrid Commutated Converter
[IEEE] 2026-8-24 | A Meta-Learning Based Adaptive Hybrid Evolutionary Algorithm for Dynamic Resource Configuration in Regional Industrial Cluster
[IEEE] 2026-8-24 | Testing Motion Measurement Devices with Accelerometers
[IEEE] 2026-8-24 | AI-Driven Hotel Resource Optimization Before and During COVID-19
[IEEE] 2026-8-24 | AIoT Edge-Cloud Collaborative Authentication Based on Palmprint and Palm Vein Dual Features
[IEEE] 2026-8-24 | Benchmarking the Robustness of Wearable HAR Pipelines Under Graded Sensor Noise and Missing-Data Corruption
[IEEE] 2026-8-24 | Performance Analysis of Transformer-Based Models for E-Commerce Recommendation Reviews
[IEEE] 2026-8-24 | Transformer Winding Fault Diagnosis Based on AFM Gray Conversion and NIN-CNN Network
[IEEE] 2026-8-24 | A Lightweight Hash-Based Mutual Authentication Protocol for Mobile RFID Systems
[IEEE] 2026-8-24 | Intelligent Hybrid Image Enhancement for Smart Consumer Devices Using Classical and AI-Based Super-Resolution
[IEEE] 2026-8-24 | Toward Fully Interoperable Digital Twins: A Review of Technologies and Frameworks in Industry 4.0
[IEEE] 2026-8-24 | Fractal-Driven Chaotification Model for Lightweight Pseudo-Random Number Generator
[IEEE] 2026-8-24 | Automated Discovery of Finite State Automata for the Control of Discrete Event Systems
[IEEE] 2026-8-24 | Hybrid Multiple Access Scheme Based on Interference-Aware Switching Between MU-MIMO and Band-Splitting NOMA-MRT
[IEEE] 2026-8-24 | Substance identification via photocurrent zero-crossing in dual-band photodetectors
