[2026-07-06 12:48:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | Diagnosing Debugging: The ECDM Framework for Designing Diagnostic Cases in Simulation-Based Teacher Training
[ACM] 2026-7-6 | Assessing Computing Teachers' Self-efficacy to Teach about Neural Networks in Schools in Ghana: A Quantitative Study
[ACM] 2026-7-6 | Exploring the AI Principles-to-Practices Gap with an Interactive AI Alignment Lab
[ACM] 2026-7-6 | Agency for Whom and To What Ends: A Plan for Investigating Impacts of Agentic AI in Computing Education
[ACM] 2026-7-6 | A Systematic Literature Mapping of Gender Bias Towards Instructors in Computer Science Education
[ACM] 2026-7-6 | A Longitudinal Study of Students in a Work-Based Learning Program
[ACM] 2026-7-5 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[ACM] 2026-7-6 | Towards Improving CS Students' Generative AI Literacy
[ACM] 2026-7-6 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[ACM] 2026-7-6 | Exploring Workforce-Informed Competency Pathways in Computing Education
[ACM] 2026-7-6 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-7-6 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[ACM] 2026-7-6 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[ACM] 2026-7-6 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[ACM] 2026-7-6 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[ACM] 2026-7-6 | The Process of Collaboratively Creating a Global Computing Education Terminology Resource with GenAI-in-the-Loop
[ACM] 2026-7-6 | Using the Potential of GenAI Tools for Accessibility
[ACM] 2026-7-6 | Caliber: AI-Assisted Infrastructure for Mastery-Based Computer Science Education at Scale
[ACM] 2026-7-6 | MiLLy: Embedding Pedagogical Agents inside Assignments
[ACM] 2026-7-5 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[ACM] 2026-7-5 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[ACM] 2026-7-6 | Diagram-Based Learning in Computing Education with Multimodal Language Models
[ACM] 2026-7-6 | Re-Engaging Near-Completion Informatics Students
[ACM] 2026-7-6 | A Framework for Integrating Generative AI in CS Courses
[ACM] 2026-7-6 | Oral Examinations in CS - A Systematic Literature Map
[ACM] 2026-7-6 | Why Near-Completion Informatics Students Do not Graduate: A Mixed-Methods Study
[ACM] 2026-7-6 | 3DGS in Web Gaming: The Shadow of the Czar
[ACM] 2026-7-5 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[ACM] 2026-7-5 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[ACM] 2026-7-5 | How Robustly Do LLMs Understand Execution Semantics?
[ACM] 2026-7-6 | AI-Generated Traces for Novice Programmers: Learning Effects and Learner Differences in a Multi-Institutional Study
[ACM] 2026-7-6 | Q-Aware: A Lightweight Crosscutting Track for Preparing Quantum-Aware Software Developers
[ACM] 2026-7-6 | Effects of Mastery-Inspired Checkpoint Quizzes in a Large Introductory CS Course: A Mixed Methods Study
[ACM] 2026-7-6 | Assessing Best Practices Adherence in Software Engineering Education Through Data-Driven Compliance Analytics
[ACM] 2026-7-6 | Investigating Alignment Between Computing Students' Self-Reported and Verbalized Self-Regulated Learning Behaviors
[ACM] 2026-7-6 | LLM-led Socratic Dialogues on Ethics in Computing
[ACM] 2026-7-6 | Smells Like Memory: Reconstructing Virtual Autobiographical Spaces Through Scent in VR
[ACM] 2026-7-5 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[ACM] 2026-7-5 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[ACM] 2026-7-5 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[ACM] 2026-7-6 | Exploring Upper Elementary Students' Debugging Strategies in Scratch
[ACM] 2026-7-6 | Programming is on Fire: Can CS Education Handle the Heat?
[ACM] 2026-7-6 | Replicating the Prerequisite-Outcome Correlation Patterns
[ACM] 2026-7-6 | Preliminary Reflections on a Situated View of Socio-Ethical Competences in Computer Science Education
[ACM] 2026-7-6 | Investigating the Impact of Student Usage of Generative AI Tools in Computing Courses
[ACM] 2026-7-6 | Community-Centered AI Integration with Students as Co-Designers and Co-Builders
[ACM] 2026-7-6 | Visual Instruments for Live Cinema: Turning Process into Performance
[ACM] 2026-7-6 | AI WAR CLOUD DATABASE
[ACM] 2026-7-5 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[ACM] 2026-7-5 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
