[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | Value-of-Information Analysis for External Validation of Risk Prediction Models in Multicenter Studies and Systematic Reviews
[arXiv] 2026-07-02 | NEvo: Neural-Guided Evolutionary Video Synthesis for Dynamic Visual Selectivity
[arXiv] 2026-07-02 | Beyond Beamforming: Phase-and-Gain Channel Shaping via Rotatable Antenna Arrays
[arXiv] 2026-07-02 | A Hippocampus for Linear Attention: An Exact Memory for What the Recurrent State Forgets
[arXiv] 2026-07-02 | Search-based Testing of Vision Language Models for In-Car Scene Understanding
[arXiv] 2026-07-02 | Dual-Selective Network for Domain-Incremental Change Detection
[arXiv] 2026-07-02 | Coding Agents Are Guessing: Measuring Action-Boundary Violations in Underspecified DevOps Instructions
[arXiv] 2026-07-02 | One More Time: Revisiting Neural Quantum States from a Reinforcement Learning Perspective
[arXiv] 2026-07-02 | Generalization in offline RL: The structure is more important than the amount of pessimism
[arXiv] 2026-07-02 | The case of equality in BK
[arXiv] 2026-07-02 | AGVBench: A Reliability-Oriented Benchmark of Data Augmentation for Vein Recognition
[arXiv] 2026-07-02 | HERMES: A Multi-Granularity Labeling Substrate for Pre-training Data Mixtures
[arXiv] 2026-07-02 | Mean-Field Bose--Einstein Condensation and Condensate Ideals in the Resolvent Algebra
[arXiv] 2026-07-02 | A transition-metal qubit in diamond with all-optical control and millisecond quantum memory
[arXiv] 2026-07-02 | Cone domains separate FS-domains from RB-domains
[arXiv] 2026-07-02 | Copewell: A Multi-Agent Swarm Architecture for Equitable Mental Wellness Support
[arXiv] 2026-07-02 | Cyclic Codes and Cyclically Covering Subspaces over Finite Fields
[arXiv] 2026-07-02 | Interfacial Strain and Structural Defects Govern the Performance of Tantalum Superconducting Waveguide Resonators
[arXiv] 2026-07-02 | Black Holes and Random Variables
[arXiv] 2026-07-02 | One-Weight Colorings, the Symmetric Class, and Lower Bounds for Hales--Jewett Numbers
[arXiv] 2026-07-02 | HARMONI at ELT: line spread functions in a diffraction limited spectrometer
[arXiv] 2026-07-02 | CoFL-S: Spatially Queryable Sector Flow Fields for Local Language-Conditioned Navigation
[arXiv] 2026-07-02 | Affinage: genome-scale mechanistic gene annotation from the published literature
[arXiv] 2026-07-02 | Revealing Sharp Spectral Features with Complex Frequency Excitations: Challenges and Opportunities
[arXiv] 2026-07-02 | Counterexamples to two conjectures about matroids
[arXiv] 2026-07-02 | What Types of Human-AI Teams Exist?
[arXiv] 2026-07-02 | Overview of Risk Assessment and Management for Intelligent Systems under the AI Act and Beyond
[arXiv] 2026-07-02 | Bochner-Riesz means on the Heisenberg group
[arXiv] 2026-07-02 | Entropy of Non-Abelian Anyons from Slow Quasiparticle Dynamics in Quantum Hall Interferometers
[arXiv] 2026-07-02 | Coherent two-dimensional electronic spectroscopy integrated with confocal back focal plane microscopy
[arXiv] 2026-07-02 | Generalized Extended Codes with Applications in Entanglement-Assisted Qubit and Qutrit Codes
[arXiv] 2026-07-02 | A note on "The volume of random simplices from elliptical distributions in high dimension"
[arXiv] 2026-07-02 | Influence of Radial Basis Activation Functions on Intelligent Controller for Robotic Manipulators
[arXiv] 2026-07-02 | Recent progress on the geometric Bombieri--Lang conjecture
[arXiv] 2026-07-02 | Resolved HI and Environmental Dynamics
[arXiv] 2026-07-02 | SAMoR: Motion Modelling for Articulated Objects of Any Skeleton and Topology
[arXiv] 2026-07-02 | The universal zero-sum invariant and weighted zero-sum for infinite abelian groups II
[arXiv] 2026-07-02 | AbsoluteDegradation: A Physics-Inspired Synthetic Film-Degradation Pipeline and Archival Film Restoration Benchmark
[arXiv] 2026-07-02 | Speaker head orientation estimation with a single microphone array using phase spectrogram features
[arXiv] 2026-07-02 | Population-Scale Segmentation of Penile Tissue in DIXON MRI using Deep Learning for Quantitative Phenotyping in Male Reproductive Health
[arXiv] 2026-07-02 | Predictive Conformal Slip Monitoring: An Empirical Evaluation of Rolling Split Conformal Prediction for Pre-Incident Traction Loss Detection
[arXiv] 2026-07-02 | Electrical transport in ultra-thin films: from Fuchs-Sondheimer to quantum-confinement
[arXiv] 2026-07-02 | Plaid-Like Spin Splitting and Chirality of Magnon Bands in Antiferromagnetic MnTe$_2$
[arXiv] 2026-07-02 | Faster Cache-Efficient Pattern Matching for Deterministic Wheeler Pangenome Graphs
[arXiv] 2026-07-02 | Light tetraquark states with $J^{PC}=1^{--}$ from QCD sum rules
[arXiv] 2026-07-02 | Torsion in the homology of the Torelli group and the Birman-Craggs-Johnson homomorphism
[arXiv] 2026-07-02 | From Finite Cayley Graphs to Growth of Infinite Groups
[arXiv] 2026-07-02 | Open-boundary integrable quantum circuits with different geometries
[arXiv] 2026-07-02 | Guided Action Flow: Q-Guided Inference for Flow-Matching Vision-Language-Action Policies
[arXiv] 2026-07-02 | Weighted Extensions of Stein's Theorem for Linear and Multilinear Operators
[arXiv] 2026-07-02 | DeepGaze3.5-VL: Modeling Scanpaths via Autoregressive Token Prediction
[arXiv] 2026-07-02 | Evidence-State Rewards for Long-Context Reasoning
[arXiv] 2026-07-02 | On generic finiteness of pluricanonical maps of threefolds of general type
[arXiv] 2026-07-02 | Quantum-optimal coronagraphy with spatial mode sorting for direct exoplanet observations
[arXiv] 2026-07-02 | A Memory Efficient Unified Algorithm for Online Learning of Linear Dynamical Systems
[arXiv] 2026-07-02 | Cross-Platform Control for Autonomous Surface Vehicles via Adaptive Reinforcement Learning
[arXiv] 2026-07-02 | Antenna System for Simultaneous Wireless Power and Information Transfer to Brain Implants
[arXiv] 2026-07-02 | Numerical analysis of the Biot equations coupled to frictional contact mechanics
[arXiv] 2026-07-02 | One-loop proton decay from Peccei-Quinn symmetry
[arXiv] 2026-07-02 | Boson Stars in Teleparallel Gravity with a Nonminimally Coupled Field: The Violation of Energy Conditions and Gravitational Waveforms from EMRIs
[arXiv] 2026-07-02 | Using embeddings to predict spoken word duration and pitch in Mandarin monosyllabic words
[arXiv] 2026-07-02 | Compressive Spectrum Sensing via Spectral Multiplexing in Rydberg Atomic Receiver
[arXiv] 2026-07-02 | Training-free Controllable Human Motion Generation under Heterogeneous Constraints
