[2026-05-14 11:13:39] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-13
正在获取论文...
[arXiv] 2026-05-13 | State-of-art minibatches via novel DPP kernels: discretization, wavelets, and rough objectives
[arXiv] 2026-05-13 | SECOND-Grasp: Semantic Contact-guided Dexterous Grasping
[arXiv] 2026-05-13 | QCIVET: A Quantum--Classical Pipeline Integrity Framework with Contract-Based Subtype Verification and Hash-Chained Audit Traces
[arXiv] 2026-05-13 | Orbits of subgroups of codimension one to four of the Iwahori group in the affine flag variety of $\text{SL}_2$
[arXiv] 2026-05-13 | Apparent Ferroelectric Polarization Hysteresis and a Simple Method to Observe Piezoelectric Strain Loops with a Microphone
[arXiv] 2026-05-13 | TouchAnything: A Dataset and Framework for Bimanual Tactile Estimation from Egocentric Video
[arXiv] 2026-05-13 | Spectral Flattening Is All Muon Needs: How Orthogonalization Controls Learning Rate and Convergence
[arXiv] 2026-05-13 | TruncProof: A Guardrail for LLM-based JSON Generation under Token-Length Constraints
[arXiv] 2026-05-13 | HarmoGS: Robust 3D Gaussian Splatting in the Wild via Conflict-Aware Gradient Harmonization
[arXiv] 2026-05-13 | FiTS: Interpretable Spiking Neurons via Frequency Selectivity and Temporal Shaping
[arXiv] 2026-05-13 | Not All Anquan Is the Same: A Terminological Proposal for Chinese Computer Science and Engineering
[arXiv] 2026-05-13 | Quantized Transport in Floquet Topological Insulators
[arXiv] 2026-05-13 | Non-arithmeticity of length spectra of subgroups of mapping class groups
[arXiv] 2026-05-13 | Rotational energy levels in the ground vibrational state of methane with kHz-level accuracy from comb-referenced double-resonance and Lamb-dip spectroscopies
[arXiv] 2026-05-13 | BrainAnytime: Anatomy-Aware Cross-Modal Pretraining for Brain Image Analysis with Arbitrary Modality Availability
[arXiv] 2026-05-13 | The Cost of Perfect English: Pragmatic Flattening and the Erasure of Authorial Voice in L2 Writing Supported by GenAI
[arXiv] 2026-05-13 | Bridging Domain Gaps with Target-Aligned Generation for Offline Reinforcement Learning
[arXiv] 2026-05-13 | Revealing the Gap in Human and VLM Scene Perception through Counterfactual Semantic Saliency
[arXiv] 2026-05-13 | CoGE: Sim-to-Real Online Geometric Estimation for Monocular Colonoscopy
[arXiv] 2026-05-13 | Local Conformal Calibration of Dynamics Uncertainty from Semantic Images
[arXiv] 2026-05-13 | A General Bézier Tree Encoding Counterfactual Framework for Retinal-Vessel-Mediated Disease Analysis
[arXiv] 2026-05-13 | Quantum dynamics of two $XX$ interacting PT-symmetric non-Hermitian qubits: enhancement of quantum annealing
[arXiv] 2026-05-13 | Geometry-Aware Multi-Armed Bandits for Antenna Beam Selection on Spheres, Tori, $\SO(3)$, and Reconfigurable Intelligent Surfaces
[arXiv] 2026-05-13 | A Persistence-Aware Framework for Age Violation Control in Wireless Status Update Systems
[arXiv] 2026-05-13 | Grouped Annulus-Modulated Transceiver Is Almost Full DoF-Achieving for RIS-Assisted Symbiotic Radios Over Spatial-Correlated Channels
[arXiv] 2026-05-13 | Implicit Behavioral Decoding from Next-Step Spike Forecasts at Population Scale
[arXiv] 2026-05-13 | Protocol-Driven Development: Governing Generated Software Through Invariants and Evidence
[arXiv] 2026-05-13 | Distributionally Robust Safety Under Arbitrary Uncertainties: A Safety Filtering Approach
[arXiv] 2026-05-13 | A Spatially Resolved HI Survey of Seyfert Galaxies: the Role of AGN Feedback in Shaping Atomic Gas Reservoirs
[arXiv] 2026-05-13 | Revisiting Reinforcement Learning with Verifiable Rewards from a Contrastive Perspective
[arXiv] 2026-05-13 | DiM\textsuperscript{3}: Bridging Multilingual and Multimodal Models via Direction- and Magnitude-Aware Merging
[arXiv] 2026-05-13 | Discovery-Oriented Faceting: From Coverage to Blind-Spot Discovery
[arXiv] 2026-05-13 | Terahertz detection within charge density wave state
[arXiv] 2026-05-13 | From Compression to Accountability: Harmless Copyright Protection for Dataset Distillation
[arXiv] 2026-05-13 | DirectTryOn: One-Step Virtual Try-On via Straightened Conditional Transport
[arXiv] 2026-05-13 | CRePE: Curved Ray Expectation Positional Encoding for Unified-Camera-Controlled Video Generation
[arXiv] 2026-05-13 | AuraMask: An Extensible Pipeline for Developing Aesthetic Anti-Facial Recognition Image Filters
[arXiv] 2026-05-13 | Jets from Scratch: A 3D Dynamo Origin of Long Gamma-Ray Burst Jets
[arXiv] 2026-05-13 | The Efficiency Gap in Byte Modeling
[arXiv] 2026-05-13 | ThermalTap: Passive Application Fingerprinting in VR Headsets via Thermal Side Channels
[arXiv] 2026-05-13 | MIRACLE_Multi-Agent Intelligent Regulation to Advance Collaborative Learning Environment
[arXiv] 2026-05-13 | GuardMarkGS: Unified Ownership Tracing and Edit Deterrence for 3D Gaussian Splatting
[arXiv] 2026-05-13 | Revisiting DAgger in the Era of LLM-Agents
[arXiv] 2026-05-13 | A Bayesian Adaptive Latent Mixture Model for Zero-Inflated Weighted Brain Connectome Analysis
[arXiv] 2026-05-13 | Large Language Models for AI-Assisted Radiotherapy Scheduling: A Feasibility Study Under Realistic Operational Constraints
[arXiv] 2026-05-13 | Tensor-Lifted Multivariate Functional Calculus Beyond Commutativity and Boundedness
[arXiv] 2026-05-13 | Competing Effect of Biquadratic and Heisenberg Coupling on Magnetic Tunnel Junction Molecular Spintronics Devices
[arXiv] 2026-05-13 | Mixing and Small-Scale Formation in a Passive Divergence-Free Vector Field
