[2026-06-15 15:16:43] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-14
正在获取论文...
[ACM] 2026-6-14 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
[ACM] 2026-6-15 | Robustness Limits of Claim-Only Fact Verification: A Controlled Comparison of Classical, Neural, and Transformer Models
[ACM] 2026-6-15 | PDC Place: A Collective Envisioning of the Next Chapter of Community-Based Research in Central Kentucky. We Are the Change We Have Been Waiting for in Kentucky
[ACM] 2026-6-15 | Agent-as-an-Asset: A Virtual Marketplace on Blockchain for Distributed Agentic Workflows
[ACM] 2026-6-15 | Beyond Optical Flow: Latent Micro-Motion as Visual Evidence in UAV Video
[ACM] 2026-6-15 | Benchmarking MLLM-based Web Understanding: Reasoning, Robustness and Safety
[ACM] 2026-6-15 | Visiting De Pastorie
[ACM] 2026-6-15 | Digital Transformation Maturity Model for Higher Education Institutions: A Qualitative Analysis of Assessment Frameworks
[ACM] 2026-6-15 | Safe Space beyond Body: A Situated Action of Co-Creative Choreography through Drawing
[ACM] 2026-6-15 | Virtue-Based Thai Folktale Recommendation with Ensemble LLMs
[ACM] 2026-6-15 | A comparison of local LLMs in paragraph decomposition context
[ACM] 2026-6-15 | YOLO Based IoT Tracking for Academic Labs on Raspberry Pi
[ACM] 2026-6-15 | Organizational Support as a Mediator: Understanding Security Behavior Toward Network-Connected Printers in the Workplace
[ACM] 2026-6-15 | Challenging Extractive Participation: Spatiality, Power, and Lessons from PDC Places
[ACM] 2026-6-15 | PURE: Probabilistic Utility for Robust Evidence in Multimodal Recommendation
[ACM] 2026-6-15 | From Physics to Representation: Audio Learning with Synthetic Pre-training via Procedural Generation
[ACM] 2026-6-15 | Contestable Multi-Agent Debate with Arena-based Argumentative Computation for Multimedia Verification
[ACM] 2026-6-15 | Towards Dynamic QR Representation of Large Verifiable Documents via IPFS Driven Decentralized Storage and Blockchain State Commitments
[ACM] 2026-6-15 | A Systematic Review and Empirical Validation of Intelligent Machine Learning–Based Soft Sensor Frameworks for Biochemical Oxygen Demand Estimation
[ACM] 2026-6-15 | Design Happening: Immersive Design Research Lab (IDRL), Downtown Long Beach
[ACM] 2026-6-15 | ICMF-Net: Interactive Cross-Modal Fusion with Attention and Selection Network for Remote Sensing Object Detection
[ACM] 2026-6-15 | Retrieval-Augmented Camera Control for Video Diffusion
[ACM] 2026-6-15 | OOWM: Structuring Embodied Reasoning and Planning via Object-Oriented Programmatic World Modeling
[ACM] 2026-6-14 | Automated In-the-Wild Data Collection for Continual AI Generated Image Detection
[ACM] 2026-6-15 | Calibrate and Aggregate: Cross-Modal Retrieval with Distribution Alignment and Token Reduction
[ACM] 2026-6-15 | Proceedings of the 19th Participatory Design Conference 2026, Vol. 3: Workshops, Situated Actions, and PDC Places
[ACM] 2026-6-15 | A Comparative Study of Deep Reinforcement Learning Agents for Gold Trading with Technical Indicators and LLM-Filtered News Sentiment
[ACM] 2026-6-15 | Geometry-Aware Foundation Makeup Simulation Using Radiative Transfer Models
[ACM] 2026-6-15 | Digital Participatory Toolkit for Conflict-Sensitive Planning in Mining Regions
[ACM] 2026-6-15 | Dispositivos Placeros: Voices of Resistance from Marketplaces in Colombia, Italy and Taiwan
[ACM] 2026-6-14 | Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?
[ACM] 2026-6-14 | Detecting Audio-Text Decontextualization through Entailment and Semantic Analysis
[ACM] 2026-6-15 | Backbone Selection for Packaging Defect Classification: A Controlled Study of Accuracy, Robustness, and Computational Efficiency
[ACM] 2026-6-15 | Towards a data model for mapping the Personal Data Protection Act (PDPA) of Thailand onto the European General Data Protection Regulation (GDPR)
[ACM] 2026-6-15 | Optimization of Long-Running Media Aggregation Queries
[ACM] 2026-6-15 | BL-UDA: Towards Unsupervised Domain-Adaptive Surgical Instrument Segmentation with Source Box Labels
[ACM] 2026-6-15 | DeepVerify: The End-to-end Software for Evidence-Based Multi-Modal Online Information Verification with Explainable Reasoning
[ACM] 2026-6-14 | Hidden in Plain Sight: Occlusion Edge Blur as a Perceptual Blind Spot in Multimodal LLMs
[ACM] 2026-6-15 | Imaginaries for Sharing and Repair Practices
[ACM] 2026-6-15 | Operational Governance Controls for AI Data Operations: A Scenario-Based Review Framework
[ACM] 2026-6-15 | Context-Aware Visual Redaction Pipeline: Leveraging Vision-Language Models for High-Fidelity Content Inpainting
[ACM] 2026-6-15 | POSITIVE4Rec: Incorporating the Recency Effect with Positional Inductive Bias for Sequential Recommendation
[ACM] 2026-6-15 | Art Evening: An Artistic Space for Dialogue and Conviviality
[ACM] 2026-6-15 | Monitoring Irrigated Wheat in Afghanistan: Systematic Literature Review
[ACM] 2026-6-15 | Beyond the Veneer of Competence: How Structured Prompting Fosters Knowledge Transfer in LLM-Augmented Education
[ACM] 2026-6-15 | Visibilize-ing Care Festival
[ACM] 2026-6-15 | The Coexistence Archive: Traces of the Participatory Design Conference
[ACM] 2026-6-15 | Creative Dialogical Spaces for Agonism - Embodied Making and Material Dialogue in Contexts of Conflict and Transformation
[ACM] 2026-6-15 | Feature Selection for HMM Regime Detection: An Empirical Characterisation of Volatility and Trend Features in Equity Markets
[ACM] 2026-6-15 | MOSAIV: Multi-Agent LLM Swarms for Automated Multimedia News Verification
[ACM] 2026-6-15 | Wavelet-Based Multiresolution Analysis of Commodity Market Dependencies: Gold, Silver and WTI Crude Oil
[ACM] 2026-6-15 | The Pasts and Futures of Latin American Participatory Design: Thinking and Making Participation from Where Our Feet Stand
[ACM] 2026-6-15 | Design Fiction for Peace
[ACM] 2026-6-15 | A Decomposed Retrieval-Edit-Rerank Framework for Chord Generation
[ACM] 2026-6-15 | Assessing Color Vision Test in Large Vision-language Models
[ACM] 2026-6-14 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
[ACM] 2026-6-15 | Context-Aware Hybrid Probabilistic Model for Portfolio-Based Recognition of Prior Learning
[ACM] 2026-6-15 | PDC Place Maranhão (BR) - Lisbon (PT) 2026: Participatory Design as a Driver of Community-Centred Approaches
[ACM] 2026-6-15 | Personalized Health Insurance Recommendation with Retrieval-Augmented Generation: A Study of Lexical, Dense, and Hybrid Retrieval
[ACM] 2026-6-15 | SatCLA: A Collaborative LLM-Driven Framework for Annotation of LEO Satellite Imagery
[ACM] 2026-6-15 | Retrieval of LoRA Models based on Layer-Wise Weight Embedding without Metadata
[ACM] 2026-6-15 | Transfer Learning for Constellation Recognition: A Comparative Study of Lightweight CNNs on Small-Scale Astronomical Image Data
[ACM] 2026-6-15 | PDC Place 2026 - Copenhagen
[ACM] 2026-6-15 | A Structured Prompt Design Algorithm for Contextual Health Data Extraction in Elderly Virtual Companion Systems
[ACM] 2026-6-15 | Setting the Killjoy Table
[ACM] 2026-6-15 | Drifting Bodies through Algorithms: Participatory Choreographies for Embodied Experiences of Coexistence
[ACM] 2026-6-15 | Filo: Weaving Connections
[ACM] 2026-6-15 | TrackAnon: Towards Consistent Full-Body Anonymization
[ACM] 2026-6-15 | Hyperbolic and Evidence-Prioritized Experts for Large Vision-Language Models
[ACM] 2026-6-15 | Parameter-Efficient Adaptation with Proxy Anchors for Cross-Domain Few-Shot Learning
[ACM] 2026-6-15 | Placing through Participatory Design Research.
[ACM] 2026-6-15 | Ethics, Values and Culture Symposium
[ACM] 2026-6-15 | Cemetery of Good Intentions
[ACM] 2026-6-15 | Smart Shopping: Design of an Automated Cart System using EM-18 RFID Reader Module
[ACM] 2026-6-15 | Semi-Automatic Correction of 3D Tubular Structure Skeletons via Component-Wise MST and Filtered Delaunay Triangulation
[ACM] 2026-6-15 | Adaptive Spatial-Channel Masked Reconstruction Knowledge Distillation for Dense Prediction
[ACM] 2026-6-15 | Global-Regional Dual Hashing for Unsupervised Visual-Textual Retrieval via Concept Similarity Guidance
[ACM] 2026-6-15 | DTSR: High-Frequency Prior-Based Dynamic Texture Synthesis for Real-World Image Super-Resolution
[ACM] 2026-6-15 | A Persona-based Automated Evaluation Framework for Intelligent AI Teaching Assistants
[ACM] 2026-6-15 | Lilit to Ramakien: A Five-Work Benchmark for LLM Understanding of Classical Thai Literature
[ACM] 2026-6-15 | Design and Implementation of Fynix Trans-Lens: A Wearable Edge-IoT Translation Glasses System for Real-Time Multilingual Communication
[ACM] 2026-6-15 | Proceedings of the 14th International Conference on Advances in Information Technology
[ACM] 2026-6-15 | Managing Hallucination Risk in LLM-Generated Outputs: The Roles of Prompting Literacy, Trust Calibration, and Verification Behavior
[ACM] 2026-6-15 | Beyond SDG's: Pluriversal Interspecies Council for Post-Development Futures
[ACM] 2026-6-15 | Duration-Aware Student-t Hidden Semi-Markov Modeling for Financial Time-Series Decision Support: Rolling-Window Evidence from S&amp;P 500 Open-to-Open Trading
[ACM] 2026-6-15 | Engaging in Peace, Dialogue, and Coexistence
[ACM] 2026-6-15 | "3DFoodColorMatch": A demo for color transformation of plant-based meat substitutes using 3D food printing technology.
[ACM] 2026-6-15 | The Encounter - The Mobile Neighbourhood House on Wheels
[ACM] 2026-6-15 | Forecasting Surgical ICU Bed Availability Using Routine Operational Data and Machine Learning: A Temporal Validation Study
[ACM] 2026-6-15 | Cross-Modal Emotion Discrepancy Detection: Detecting When Voice Reveals Emotions That Text Conceals
[ACM] 2026-6-15 | The Narrated Atlas of the Cantico Trail
[ACM] 2026-6-15 | FMD-AL: Cold-Start Active Learning based on Foundation Model
[ACM] 2026-6-15 | Dynamic Toll Lane Configuration Using Q-Learning in SUMO-Based Bangkok Case Study
[ACM] 2026-6-15 | Analyzing ESG Cluster Characteristics of Thai Equity Market Sectors using Unsupervised Machine Learning
[ACM] 2026-6-15 | SCORE: Soccer Curriculum for Ordinal Affect Recognition with Evidence
[ACM] 2026-6-15 | DINOTrack: Leverage Differential Attention for Noise-Aware Visual Tracking with DINOv3
[ACM] 2026-6-15 | DDL-Net: A Task-Balanced Panoptic Perception Network with Channel-Reorganized Attention in Autonomous Driving
[ACM] 2026-6-15 | Participatory Design Narratives: Embracing Emotions, Politics and Passions Towards Dialogue and Coexistence
[ACM] 2026-6-15 | Empathy Games: Exploring Alternate Practices of Feeling for Others
[ACM] 2026-6-15 | Deterministic Blackboard Pipelines with Specialized LLM Knowledge Sources: A Generalizable Architecture for Intelligent Multi-Stage Reasoning
[ACM] 2026-6-15 | Making Invisible Work Visible: A Rule-Based Digital Coordination Model for Inclusive Back-Office Workplaces
[ACM] 2026-6-15 | Keep Your Memories, Lose the Evidence: Privacy-Aware Lifelogging
[ACM] 2026-6-15 | SAFE AI: Designing a Gender-Responsive and Child-Safe AI Framework
[ACM] 2026-6-15 | A Parameter-Efficient Cascaded Framework for Mosquito Species Identification using MFCC Features
[ACM] 2026-6-15 | Vulnerability Analysis for CBT Exam System
[ACM] 2026-6-15 | SlimNet: High-Quality and Efficient Object Removal by Eliciting Latent Capabilities of Diffusion Models
[ACM] 2026-6-15 | Model-Specific Echo Chamber Formation Patterns in Repeated LLM Agent Networks
[ACM] 2026-6-15 | From Data Governance to Contract-Constrained AI Systems: Architecture and Evaluation for Enterprise NL-to-SQL with AI-Ready Data Models
[ACM] 2026-6-15 | Collective Somatic Counterpoint
[ACM] 2026-6-15 | EC-RAG: Evidence-Centric Retrieval-Augmented Generation for Medical Visual Question Answering
[ACM] 2026-6-15 | Thai Threat News Classification Using Open-Source LLMs: A Comparative Evaluation of Models and Prompt Strategies
[ACM] 2026-6-15 | A Generative AI Tool for Constructing Web Frontend with Integration of Quality Feedback Loop
[ACM] 2026-6-15 | Extending Dialogue Beyond the Prison: The San Vittore Situated Vocabulary
[ACM] 2026-6-15 | An Elephant in the Room: A Participative Visualisation of the Collaborations Between Politecnico di Milano and Companies Fuelling Israel's Violence Against Palestinians
[ACM] 2026-6-15 | Risk-Aware Medical Question Answering as a Reliability-Critical Decision Process
[ACM] 2026-6-15 | Proceedings of the 2026 International Conference on Multimedia Retrieval
[ACM] 2026-6-15 | Entropy-aware Mutual Student Co-training for Source-free Domain Adaptation in Medical Image Segmentation
[ACM] 2026-6-15 | Adapting Vision Transformer Models for Thai Cat Breed Classification via Dataset Augmentation and Class Cardinality Reduction
[ACM] 2026-6-15 | Re-Commoning the Rural
[ACM] 2026-6-15 | AMRF: A Software Architecture for Autonomous Mobile Robot Fleet Management in Warehouse Environments
