[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[IEEE] 2026-8-6 | Ternary Noise Modulation
[IEEE] 2026-8-6 | Spatiotemporal Consistency Constrained Imaging Sonar Odometry for Underwater Robots
[IEEE] 2026-8-6 | Compressed-Sensing-Based Deep JSCC for Resource-Constrained Remote Sensing Transmission
[IEEE] 2026-8-6 | AI-Based Spatiotemporal Analysis Reveals Distinct Neuronal Markers of Morphine Response during Chronic Pain in Mice
[IEEE] 2026-8-6 | IEEE Access
[IEEE] 2026-8-6 | World-Model-Based Deep Reinforcement Learning for Real-Time Microgrid Energy Management
[IEEE] 2026-8-6 | Knowledge Rectification for Camouflaged Object Detection: Unlocking Insights from Low-Resolution Data
[IEEE] 2026-8-6 | A Metaheuristic Controller Design Procedure Considering Linear Time-Variant Behavior to Optimize DC-DC Converter Response to Wide Load Variations
[IEEE] 2026-8-6 | Fast Negative-Sequence Voltage Suppression for Grid-Feeding Inverters With Virtual Voltage Control
[IEEE] 2026-8-6 | Table of Contents
[IEEE] 2026-8-6 | IEEE Xplore
[IEEE] 2026-8-6 | A 1.6-fJ/Spike Subthreshold Analog Spiking Neuron in 28 nm CMOS
[IEEE] 2026-8-6 | Prescribed-Time Adaptive Tracking for Nonlinear Systems via Nonvanishing Disturbance Observer and Command Filtering
[IEEE] 2026-8-6 | HRN: A Hybrid Recall Network for Crop Classification Using Multi-source Time-series Remote Sensing Data
[IEEE] 2026-8-6 | Comparative Analysis between Classical CNNs and Quantum Convolutional Neural Networks for Cacao Pod Disease Classification
[IEEE] 2026-8-6 | Center-Guided Divergence Attention Network for Robust Steganalysis of Dynamic-Length Low-Bit-Rate Speech Streams
[ACM] 2026-8-7 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[ACM] 2026-8-6 | Privacy-Aware Decoding: Mitigating Privacy Leakage of Large Language Models in Retrieval-Augmented Generation
[ACM] 2026-8-6 | UniRank: A Unified Framework for Efficient Multi-Objective LLM Ranking in Industrial Search
[ACM] 2026-8-7 | The Entropic Overhead of Conformal Correction
[ACM] 2026-8-7 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[ACM] 2026-8-6 | MUSTANG: Multi-Variable Spatio-Temporal Meta-Learning for Water Data Imputation
[ACM] 2026-8-6 | LCATS: LLM-Guided Constraint-Aware Tabular Data Synthesis
[ACM] 2026-8-7 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[ACM] 2026-8-6 | ReLU: Refined Chunk Embeddings Learning for Ultra-long SNP Genomic Prediction in Crop Breeding
[ACM] 2026-8-7 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[ACM] 2026-8-6 | Is the Last Check-In All You Need? Next POI Recommendation: Recall and Rerank
[ACM] 2026-8-7 | Bounded-Abstention Pairwise Learning to Rank
