[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | Fractional-N Frequency Synthesis Based on Ring-
                    <i>LC</i>
                    Cascaded PLL With Calibration-Free Noise Cancellation Techniques
[IEEE] 2026-8-26 | GlyphTSR: Text-rich Scene Image Super-Resolution beyond Glyph Priors
[IEEE] 2026-8-26 | Design Flexibility in Infrastructure Projects: Integrating Means-Ends Analysis and Real Options Reasoning
[IEEE] 2026-8-26 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[IEEE] 2026-8-26 | Lightweight AAC-YOLO Algorithm for Railway Foreign Object Intrusion Detection
[IEEE] 2026-8-26 | Graph Neural Network Enabled Resource Optimization for Tethered UAV Networks With Rotatable Directional Antennas
[IEEE] 2026-8-26 | Entangled Photon Source Pooling and Entanglement Distribution for Quantum Networks
[IEEE] 2026-8-26 | Hierarchical access control scheme for educational data based on blockchain and attribute-based encryption
[IEEE] 2026-8-26 | Study on the Influence of Stacked Polyhedral Structure of Microphone Array on UAV Sound Source Direction Finding
[IEEE] 2026-8-26 | Self-Adaptive Governance for Elastic Privacy in Mental Health Digital Phenotyping
[IEEE] 2026-8-26 | A Large Language Model Assisted Fault Diagnosis Framework for Power Equipment in New Power Systems
[IEEE] 2026-8-26 | Message from Congress 2026 Program Chairs
[IEEE] 2026-8-26 | PRO: Deterministic Load Balancing for AI Datacenter Network
[IEEE] 2026-8-26 | SwitchNN: In-Network CNN Inference for Edge-Assisted Smart Roadside Networks
[IEEE] 2026-8-26 | Dual-Layer LEO Mega-Constellation Topology Optimization Based on an Improved Slime Mould Algorithm with Feasible Projection_supp1-3727534.pdf
[IEEE] 2026-8-26 | CyberAI (AICyber) Framework for Digital Health Applications: A Position Paper
[IEEE] 2026-8-26 | Image-Guided Robotic Surgery System to Eliminate Drill Bit Skiving During Pedicle Screw Placement – Concept Validation
[IEEE] 2026-8-26 | Dual Adaptive Noise Cancellation and Enhancement (DANCE) for Real-Time One-Dimensional Signal Denoising
[IEEE] 2026-8-26 | Risk-Stratified CQI in Engineering Education: Six-Cohort Validation of a Registry-Only Early-Warning Rule
[IEEE] 2026-8-26 | Keynote: Emerging Approaches to Resource Management and Scheduling in the Mist—Fog—Cloud Continuum
[IEEE] 2026-8-26 | An Optoelectronic MXene/HfO
                    <sub>2</sub>
                    Memristor for In-Sensor Neuromorphic Visual Computing
[IEEE] 2026-8-26 | PointSR++: Self-Regularized Point Supervision with Spatial-Structural Constraints for Drone-View Object Detection
[IEEE] 2026-8-26 | Technical Communication and the Discipline of Content: Considerations for Research: Rebekka Andersen and Carlos Evia: [Book Review]
[IEEE] 2026-8-26 | Multifocus Image Fusion via LS-DTNP in the NSST Domain
[IEEE] 2026-8-26 | Practical Tracking Control for Amphibious Uncrewed Aerial Vehicles With Prescribed Performance: Theory and Experimentation
[IEEE] 2026-8-26 | A Causal-Driven Hierarchical Decentralised Federated Learning Framework for Resilient Load Forecasting in Distributed Microgrids
[IEEE] 2026-8-26 | AuEx: Automatic Exploration for Fresh Creative Ads via Large-Scale Deep Reinforcement Learning
[IEEE] 2026-8-26 | FusionEar: Toward High-Fidelity and Unconstrained Speech Eavesdropping via Multi-Modal Motion Sensor Fusion
[IEEE] 2026-8-26 | Unsupervised Learning for Weighted Resource Allocation in RIS-Assisted mmWave MIMO Systems
[IEEE] 2026-8-26 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[IEEE] 2026-8-26 | Frequency Doublet Resonance Detection Electronic Circuit for Piezoelectric Flexural Plate Wave MEMS Transducer
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Electrical Engineering Powering Energy Transition: Beyond generation, the future of our grid relies on how we control energy.
[ACM] 2026-8-26 | Play as Interrogation in GenAI Use
[ACM] 2026-8-26 | Complementary Asymmetric Representation Learning for Exemplar-Free Class-Incremental Learning
[IEEE] 2026-8-26 | Resilient Model Predictive Formation Control for Nonholonomic Multivehicles Under Mixed Attacks
[IEEE] 2026-8-26 | A 3D Stackable 1T2C DRAM with Sidewall Storage Capacitors for High-Density Memory
[IEEE] 2026-8-26 | Real-Time PH Monitoring and Alerting System for Wastewater Management
[IEEE] 2026-8-26 | Interference-Aware Instantaneous Frequency and Amplitude Estimator for Multicomponent Signals
[IEEE] 2026-8-26 | Decentralized But Not Immune: Empirical and Formal Security Analysis of Messaging Networks
[IEEE] 2026-8-26 | CANListener: A Lightweight and Adaptive Intrusion Detection System for In-vehicle CAN Bus
[IEEE] 2026-8-26 | WTM-YOLOv11: A Small Target Detection Model for Complex Scenes in UAV Applications
[IEEE] 2026-8-26 | MAGNet: Physics-Informed Multiscale Attention and Gated Recurrent Network for Filter Inverse Design
[IEEE] 2026-8-26 | Extended Reality for Agricultural Supply Chain Education: A Systematic Review of Effectiveness, Implementation Challenges, and Future Directions
[IEEE] 2026-8-26 | VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities
[IEEE] 2026-8-26 | UAVchain: Blockchain Technology Applications for Unmanned Aerial Vehicles
[IEEE] 2026-8-26 | IEEE Transactions on Sustainable Computing
[IEEE] 2026-8-26 | Layer-wise Principal Gradient Compression for Distributed Machine Learning
[IEEE] 2026-8-26 | Advancing Integrated Communications and Stealth Via STAR-RIS for Low-Altitude Wireless Networks
[IEEE] 2026-8-26 | HLIPIA:Efficient LLM On-Device Deployment Optimization with Hybrid Layer-Importance Pruning and Improved Adaptive Low Rank Adaptation
[IEEE] 2026-8-26 | LQG-Based Distributed Resilient Control for DC Microgrids Over Unreliable Communication Channel
[IEEE] 2026-8-26 | Front Cover
[IEEE] 2026-8-26 | Count-Rate Modeling and Compensation for Photomultiplier Tubes Under High-Voltage Ripple Disturbances
[IEEE] 2026-8-26 | Development of Fiber Optic Sensors, Their Principles, and Algorithm Optimization Research for Intraoperative Navigation
[IEEE] 2026-8-26 | PalmShield: A Climate-Smart AI Mobile Platform for Sustainable Date Palm Health Monitoring
[IEEE] 2026-8-26 | A Current-Mode Non-Destructive Circuit Readout Scheme for High-Density 3D Ferroelectric Memory
[IEEE] 2026-8-26 | Cloud-Compatible and Scalable Private Messaging via Authentication Piggybacking
[ACM] 2026-8-26 | When AI Becomes the First Listener: A Conversation with Joanne Cheung on How AI Soothes and Shapes Our Thoughts
[IEEE] 2026-8-26 | RAPIDS: Reliable Adaptive Priority-based Intelligent Delivery Streaming for Enhanced Error Resilience in Real-time Video
[IEEE] 2026-8-26 | Center-Aware Pairwise Learning for Deep Semi-supervised Anomaly Detection
[IEEE] 2026-8-26 | Evaluating DL Test Adequacy Metrics: A Correlation Study with DeepCrime’s Mutation Score
[IEEE] 2026-8-26 | A Lightweight ML Framework for Crop Selection and Yield Estimation on Low-End Devices
[IEEE] 2026-8-26 | Performance of a hybrid ARIMA-LSTM-Transformer model in influenza-like illness forecasting: A comparative study
[IEEE] 2026-8-26 | Perspective on Bias in Biomedical AI: Preventing Downstream Healthcare Disparities
[IEEE] 2026-8-26 | UAV Acoustic Source Direction Finding Based on Generalized Likelihood Ratio Test
[IEEE] 2026-8-26 | MUFFLe: Efficient Model Update Compression via Generalized Deduplication for Federated Learning
[IEEE] 2026-8-26 | Research on Intelligent Electronic Load Control System and Computational Optimization Method for High-Speed OSFP Optical Module Testing
[IEEE] 2026-8-26 | Kendall’s Tau Based Robust Spectrum Sensing Under Colored Gaussian Noise With Impulsive Interference
[IEEE] 2026-8-26 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation
[IEEE] 2026-8-26 | Disjoint Simulatability and Security Reduction of a Class of Lattice-Based Schemes
[IEEE] 2026-8-26 | Physics-Guided Temporal Graph Attention Network for Early Fault Diagnosis of Spacecraft Thermal Control Systems
[IEEE] 2026-8-26 | Flexible and Optically Transparent Wideband Low-RCS Metasurface Based on Spin-Decoupled and Diffusion Scattering
[IEEE] 2026-8-26 | Modeling Short-Term Cognitive State Transitions Using EEG and Lifestyle Features
[IEEE] 2026-8-26 | A Low-RCS Absorber-Radiator Antenna Array With Dual-CP and Multi-Beam Reconfigurability
[IEEE] 2026-8-26 | A Cross-Sector Measurement Study of Internet-Exposed IoT Devices
[IEEE] 2026-8-26 | SyDRA: Dual-Stream Synergistic Learning for Interference-Robust Anomaly Localization on Structure-Dominant Industrial Surfaces
[IEEE] 2026-8-26 | Joint Optimization of Video Recommendation and Cooperative Edge Caching for Maximizing Profit
[IEEE] 2026-8-26 | RCAgentBench: An Agent-Oriented Benchmark for Multimodal Root Cause Analysis in Microservices
[IEEE] 2026-8-26 | Hardware-in-the-Loop System for MANETs with Asynchronous Virtual-Physical Time
[IEEE] 2026-8-26 | NimbleChain: Automatic Timeout Tuning for PBFT-based Blockchain Systems
[IEEE] 2026-8-26 | A Solution for Efficient Cross-Cluster Communication in Multi-Kubernetes Clusters
[IEEE] 2026-8-26 | EpiCRISPR: Improving CRISPR/Cas9 on- and off-target prediction by flanking sequences, epigenetic marks, and high-throughput datasets
[IEEE] 2026-8-26 | Beyond the Headset: Content Analysis on Artificial Intelligence and Multimodal Analytics in Virtual Reality Learning
[IEEE] 2026-8-26 | Supervised Feature Selection via Collective First-Order Neural Dynamics
[IEEE] 2026-8-26 | Beyond Up and Down: Analyzing Temporal Phenomena in IPv6 Probing Responses
[IEEE] 2026-8-26 | SAPIF: A Severity-Aware Framework for Pressure Injury Forecasting
[IEEE] 2026-8-26 | The error estimation problem in machine learning surrogate models for engineering simulation
[IEEE] 2026-8-26 | Title Page iii
[IEEE] 2026-8-26 | HashVer: Low-Latency Consensus on Blockchain Networks with Heterogeneous Nodes
[IEEE] 2026-8-26 | Defending Intrusion Detection Systems from Black-Box Adversarial Threats in OneM2M-Based IoT Networks
[IEEE] 2026-8-26 | IEEE Security &amp; Privacy
[IEEE] 2026-8-26 | Semantic Raft: A Fault-Tolerant Multi-Agent Inference Framework for Reliable LLM Services
[IEEE] 2026-8-26 | Making Software Metrics Useful
[IEEE] 2026-8-26 | Enhanced Nonlinear Active Disturbance Rejection Control for SPMSM Speed Regulation With Measurement Noise
[IEEE] 2026-8-26 | General Stealthy Attack Against Remote State Estimation With Encryption-Decryption Scheme
[IEEE] 2026-8-26 | Reinforcement Learning Strategy for Sojourn-Probability-Based Fuzzy Switched Systems Under DoS Attacks
[IEEE] 2026-8-26 | Beyond Random Probing: Intelligent IPv6 Discovery via Ensemble Learning and Contextual Expansion
[IEEE] 2026-8-26 | Online Unsupervised Anomaly Detection with Model Explainability and Human-in-the-Loop Feedback
[ACM] 2026-8-26 | ACM Distributed Ledger Technologies: Research and Practice Introduction to the Special Issue on Blockchain for 6G Trust, Security, and Privacy
[IEEE] 2026-8-26 | Continuous Digit Sequence Recognition in Air-Writing Using MIMO FMCW Radar
[IEEE] 2026-8-26 | Two-Dimensional DOA Estimation With Dual-L-Shaped Time-Modulated Array
[IEEE] 2026-8-26 | Beyond Wide Area Connectivity: OSAF Multi-Domain Collaboration Optimization for Large-Scale Deterministic Networks
