[2026-06-26 11:45:10] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[arXiv] 2026-06-25 | XMSE-Aware Adaptive Empirical Bayes Estimation
[arXiv] 2026-06-25 | RedVox: Safety and Fairness Gaps in Speech Models Across Languages
[arXiv] 2026-06-25 | Look-Before-Move: Narrative-Grounded World Visual Attention in Dynamic 3D Story Worlds
[arXiv] 2026-06-25 | Thermodynamical analysis of QGP using effective PNJL model with Quasiparticle approach
[arXiv] 2026-06-25 | RobOralScan: Learning Active Intraoral Scanning for Robotic Dental Reconstruction
[arXiv] 2026-06-25 | Hydrodynamic theory of premixed flames under Darcy's law: Interfacial conditions and effects of nonunity Lewis number and heat loss
[arXiv] 2026-06-25 | A geometric multimessenger consistency test of radiative and near-zone gravity with LISA and SKA
[arXiv] 2026-06-25 | Continuous Behavioral Synthesis for Adaptive Health Dashboards: An LLM-Mediated Architecture Integrating Explicit Preference, Spatial Reorganization, and Attention Allocation Signals
[arXiv] 2026-06-25 | Onsager--Machlup functionals for McKean--Vlasov SDEs via Euler-type approximation
[arXiv] 2026-06-25 | Are LLMs Ready for Anti-Pattern Detection in Microservice Architectures?
[arXiv] 2026-06-25 | Diagnosing Task Insensitivity in Language Agents
[arXiv] 2026-06-25 | Painlevé \uppercase\expandafter{\romannumeral34\relax} and collisionless shock in the defocusing NLS equation with step-like initial data in the transition regions
[arXiv] 2026-06-25 | Learning to Recover Task Experts from a Multi-Task Merged Model
[arXiv] 2026-06-25 | SamaVaani: Auditing and Debiasing Multilingual Clinical ASR for Indian Languages
[arXiv] 2026-06-25 | Tractography-Driven Synthetic Data Generation for Fiber Bundle Segmentation in Tracer Histology
[arXiv] 2026-06-25 | Separation, Constraint Qualifications, and Cycling in Outer Approximation
[arXiv] 2026-06-25 | EconSimulacra: A Digital Twin Platform of Socio-Economic Systems Powered by LLM Agents
[arXiv] 2026-06-25 | Heterogeneous Neural Predictivity from Language Models During Naturalistic Comprehension
[arXiv] 2026-06-25 | TAVR-VLM: Risk-Conditioned Causal Grounding for Hallucination-Resistant Report Generation
[arXiv] 2026-06-25 | SpatialFlow-GRPO: Where Spatial Credit Drives Image Editing
[arXiv] 2026-06-25 | The Second Vanishing Theorem in Ramified Mixed Characteristic
[arXiv] 2026-06-25 | PlanRL: A Trajectory Planning Architecture for Reinforcement Learning-based Driving Experts
[arXiv] 2026-06-25 | Rank-Two Drinfeld Module over Elliptic Curves
[arXiv] 2026-06-25 | Liquid Fusion of Heterogeneous Representations Towards General Salient Object Detection
[arXiv] 2026-06-25 | Construction of Lyapunov density for nonautonomous dynamical systems on hypertorus
[arXiv] 2026-06-25 | Taming the single-cylinder scattering through time-modulation -- The role of the modulation phase
[arXiv] 2026-06-25 | pyDOF: a Python library for the design of discrete forward and inverse filters
[arXiv] 2026-06-25 | Probing outflow physics through CH$_3$CN and CH$_3$OH chemistry
[arXiv] 2026-06-25 | wav2tok 2.0: Scalable Audio Tokenization Maintaining Explicit Pairwise Token Alignment for Efficient Audio Retrieval
[arXiv] 2026-06-25 | Inverse scattering in an asymptotically flat multilayer domain
[arXiv] 2026-06-25 | Multi-modality Image Fusion under Adverse Weather: Mask-Guided Feature Restoration and Interaction
