[2026-07-09 12:12:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-08
正在获取论文...
[arXiv] 2026-07-08 | Innovating Risk Modelling for Global Funds
[arXiv] 2026-07-08 | EmbodiedGen V2: An Agentic, Simulation-Ready 3D World Engine for Embodied AI
[arXiv] 2026-07-08 | A Multi-Scale Machine Learning Framework for Coupled Chemical, Spin, and Structural Disorder in Alloys
[arXiv] 2026-07-08 | Collaborate to decorrelate in path space: Hamiltonian replica exchange transition interface sampling (HRETIS)
[arXiv] 2026-07-08 | Chip-scale nanostructured chaotic billiards for broadband speckle spectrometry
[arXiv] 2026-07-08 | Odd covers for complete graphs and complete 3-graphs
[arXiv] 2026-07-08 | Phase-Programmable Free Electron Quantum States in Synthetic Momentum Space
[arXiv] 2026-07-08 | Two-Stage Multi-Modal Fusion with Adaptive Alignment for Action Quality Assessment
[arXiv] 2026-07-08 | Light bending around the Kerr-Bertotti-Robinson black hole using material medium approach
[arXiv] 2026-07-08 | Immersive Social Interaction with VR and LLM-Assisted Humanoids
[arXiv] 2026-07-08 | Single-Entity Spiking Neuron Models: Survey
[arXiv] 2026-07-08 | Reliable mechanistic operator recovery with biologically-informed neural networks: principles for architecture and optimisation design
[arXiv] 2026-07-08 | SETI's blind spot: Technological Acceleration and fleeting technosignatures
[arXiv] 2026-07-08 | The Knop-Luna-Vust theory of spherical embeddings, extended to non-reductive groups
[arXiv] 2026-07-08 | DeLS-Spec: Decoupled Long-Short Contexts for Parallel Speculative Drafting
[arXiv] 2026-07-08 | A Spectral Confirmation of the Erdős Matching Conjecture
[arXiv] 2026-07-08 | Communicative Efficiency of Single vs. Multi-Axis Robot Neck Motion
[arXiv] 2026-07-08 | Quantitative DFT+DMFT description of spectra and transport in the moderately correlated metal SrVO$_3$
[arXiv] 2026-07-08 | On Adversarial Vulnerability of Vision-Language Models through the Lens of Intermediate Spectral Subspaces
[arXiv] 2026-07-08 | Force-Isosurface Simulations Probe the Limits of High-Resolution AFM on Three-Dimensional Molecules
[arXiv] 2026-07-08 | Transmissibility, boundary-guided waves, and representative unit cell choice in finite-sized metamaterials
[arXiv] 2026-07-08 | Competing ferroelectric and smectic order: modulated structures through molecular design
[arXiv] 2026-07-08 | Machine Learning Materials Properties by Encoding Orbital-Projected Density of States
[arXiv] 2026-07-08 | Toward Deployable Satellite Anomaly Detection: A Benchmark Study on Large-Scale ESA-ADB Telemetry
[arXiv] 2026-07-08 | The strong stability of the Perron-Frobenius semigroup and almost global attractivity
[arXiv] 2026-07-08 | Hypergraph Neural Stochastic Diffusion: An SDE Framework for Uncertainty Estimation
[arXiv] 2026-07-08 | SoccerNet 2026 Challenges Results
[arXiv] 2026-07-08 | Mechanistic Interpretability for Neural Networks: Circuits, Sparse Features and Symbolic Reasoning
[arXiv] 2026-07-08 | POO-LPSP: Parallel Osprey Optimized Least Penalty-Squared Prioritization Methods for Priority Derivation in the Analytic Hierarchy Process
[arXiv] 2026-07-08 | Evaluating RAG Metrics in Applied Contexts: An Experiment, Its Findings and Its Limitations
[arXiv] 2026-07-08 | Semiclassical Schrödinger operators with purely imaginary potential
[arXiv] 2026-07-08 | Three-dimensional global stability analysis of turbulent screeching jets
[arXiv] 2026-07-08 | Electrical manipulation and detection of perpendicular altermagnetic order via proximitized Dirac semimetal
[arXiv] 2026-07-08 | Reappraisal of the Constraints on Heavy Axion-like Particles from Gamma-Ray Bursts
[arXiv] 2026-07-08 | CarbonCLIP: Enhance Carbon Prediction from Satellite Imagery via Integrated Street-View Semantics and Temporal Context Training
[arXiv] 2026-07-08 | A Topotactic Phase Transition in the Uranium Oxide System
[arXiv] 2026-07-08 | Multi-time Markov renewal chains and stratified renewal theorems
[arXiv] 2026-07-08 | Improving feature resolution and pore back effect in focused ion beam tomography of porous GaN thin films
