[2026-07-10 11:52:49] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[arXiv] 2026-07-09 | From Bayes' Rule to Bayes Rules: Optimal Information Processing and Axiomatic Foundations Beyond Probability
[arXiv] 2026-07-09 | CRIMP: Compact & Reliable DNN Inference on In-Memory Processing via Crossbar-Aligned Compression and Non-ideality Adaptation
[arXiv] 2026-07-09 | Provably Optimal Learning Algorithms for Assistance Games
[arXiv] 2026-07-09 | From Execution to Education: A Bloom-Aligned Framework for Measuring Educational Control in LLMs
[arXiv] 2026-07-09 | Toward a Unified GPU-Aware OpenSHMEM Specification
[arXiv] 2026-07-09 | A Theoretical Framework for Stochastic Activity Prediction in Tensor Accelerator Wallace-Tree Multipliers
[arXiv] 2026-07-09 | Smoothing Exponents and Decoupling in Semifinite von Neumann Algebras
[arXiv] 2026-07-09 | D-CLIPSE: Distributed Consensus-based Localization with Passive Listening on Shared State Exchange
[arXiv] 2026-07-09 | Progression as Latent Drift: Generative Forecasting of Slow-Evolving Pathologies
[arXiv] 2026-07-09 | PolyUQuest: Verifiable Structure-Aware Web RAG over Heterogeneous Graphs
[arXiv] 2026-07-09 | X-ACTA: eXtended Analytic Center Tension distribution Algorithm for fixed and mobile cable-driven-parallel-robot
[arXiv] 2026-07-09 | Subaru meets JWST: A Direct Measurement of Ly$\boldsymbolα$ Escape Fraction at $\boldsymbol{z\simeq6.2}$ with Dual Narrow-Band Imaging
[arXiv] 2026-07-09 | Optimal Sparsifiers for Abelian Cayley Graphs
[arXiv] 2026-07-09 | A graph theoretic view on small signal stability of inverter-based power grids
[arXiv] 2026-07-09 | THÉMIS: a calibration-free solar telescope
[arXiv] 2026-07-09 | On the Etzion-Silberstein conjecture for block Ferrers diagrams
[arXiv] 2026-07-09 | Structure Learning on Clustered Data
[arXiv] 2026-07-09 | Static regular black holes in Horndeski theories: analytic no-go and nonanalytic obstructions
[arXiv] 2026-07-09 | Trapping-loss transition via a saddle-node bifurcation in thermophoretic particle transport driven by a time-periodic vortex
[arXiv] 2026-07-09 | Spherically symmetric Finsler metrics satisfying the $σ$T-condition
[arXiv] 2026-07-09 | Diarization-Guided Qwen-ASR Adaptation for Multilingual Two-Speaker Conversational Speech
[arXiv] 2026-07-09 | Metrics or Mirage? An Audit of Evaluation Inconsistencies in Colonoscopy Polyp Segmentation Benchmarks
[arXiv] 2026-07-09 | Understanding Layer Patching in Model Size Interpolation
[arXiv] 2026-07-09 | On $(p,q)$-binomial coefficient ratios for complex parameters
[arXiv] 2026-07-09 | ICDAR 2026 HIPE-OCRepair Competition on LLM-Assisted OCR Post-Correction for Historical Documents
[arXiv] 2026-07-09 | Nonlinear Media via Nonlocal Homogenisation
[arXiv] 2026-07-09 | Answer Set Programming Energised! End-to-End Neurosymbolic Reasoning and Learning with ASP and Energy Based Models
[arXiv] 2026-07-09 | Field Theoretic Aspects of Gravity From Direct Action to Quantum Fields
[arXiv] 2026-07-09 | Independence relations induced by ideals
[arXiv] 2026-07-09 | On an inhomogeneous uniform Littlewood type problem
[arXiv] 2026-07-09 | Low-Complexity Gridless Single-Snapshot DoA Estimation via Truncated Hankel Newton-MUSIC
[arXiv] 2026-07-09 | BACH: A Bayesian Admixture of Contrastive Heads for Multi-Interest Two-Tower Retrieval
[arXiv] 2026-07-09 | The Southern-sky MWA Rapid Two-metre (SMART) pulsar survey--IV. Survey update and an atlas of 205 non-recycled southern pulsars
[arXiv] 2026-07-09 | Perpendicular magnetic anisotropy tuning of macrospin-to-vortex transitions in Co-based artificial spin-vortex ice
[arXiv] 2026-07-09 | Center-of-Mass Bounds and Harmonic Extremality
[arXiv] 2026-07-09 | Deep Learning Method for Stationary Distribution of Reflected Brownian Motion
[arXiv] 2026-07-09 | Bias-Corrected Multiplier Bootstrap Inference for Spectral Edges of Large Covariance Matrices
[arXiv] 2026-07-09 | COBART: Controlled, Optimized, Bidirectional and Auto-Regressive Transformer for Ad Headline Generation
[arXiv] 2026-07-09 | Elliptic curves, Fourier ratio, and sampling complexity
[arXiv] 2026-07-09 | A set of points on the sphere with small Riesz energy
[arXiv] 2026-07-09 | Study of exotic hadron states in the $DD^{*}$ system via the complex momentum representation and Green's function method
[arXiv] 2026-07-09 | Robust Quantum Learning through Hamiltonian Reservoir Computing
[arXiv] 2026-07-09 | Rethinking Small VLM Quantization: From Component-Wise Analysis to Hardware-Aware Edge Deployment
[arXiv] 2026-07-09 | Wat3R: Underwater 3D Geometry Learning without Annotations
[arXiv] 2026-07-09 | Plaquette: A hardware-aware design platform for fault-tolerant quantum computers
[arXiv] 2026-07-09 | Irreducible Geometry of Higher-Order Correlator Families
[arXiv] 2026-07-09 | Decoupling Limit of Quiver Theories and the Angular Spectra of Extreme C-metrics
[arXiv] 2026-07-09 | Tilted thin accretion disks in the full Kerr spacetime and their implications
[arXiv] 2026-07-09 | Force convergence in Monte Carlo Lyman-alpha radiative transfer
[arXiv] 2026-07-09 | Deep Learning for Joint Narrowband Interference Cancellation and Soft Demodulation in OFDM Systems
[arXiv] 2026-07-09 | Asymmetric high-harmonic generation from subwavelength bianisotropic resonators
[arXiv] 2026-07-09 | Approaching Carnot Efficiency at Finite Power in an Experimentally Feasible Quantum Heat Engine
[arXiv] 2026-07-09 | Robust One-Sided Device-Independent Quantum Key Distribution via High-Dimensional Steering
[arXiv] 2026-07-09 | Directional AI Advice: Experimental Evidence from Healthcare
[arXiv] 2026-07-09 | MPFlow: Learning Budgeted Max-Flow Optimization on the Lightning Network with Deep Graph Reinforcement Learning
[arXiv] 2026-07-09 | Entanglement Wedge Reconstruction without Holographic Quantum Error Correction
[arXiv] 2026-07-09 | Multi-Resolution Feature Stem for Diabetic Retinopathy lesion segmentation
[arXiv] 2026-07-09 | Drift of interfaces in forced stably-stratified turbulence and the role of vertically-sheared helical structures
[arXiv] 2026-07-09 | Microwave Studies of Single Crystal TeO2 at Cryogenic Temperatures
[arXiv] 2026-07-09 | Best Practices for First-Principles Modeling of Amorphous Oxide Semiconductors: A Statistical Framework and Application to Zn-Sn-O
[arXiv] 2026-07-09 | Resample or Reroute? Budget-Aware Test-Time Model Selection for Large Language Models
[arXiv] 2026-07-09 | WebSwarm: Recursive Multi-Agent Orchestration for Deep-and-Wide Web Search
[arXiv] 2026-07-09 | Cantor measures with odd base do not admit Fourier frames
[arXiv] 2026-07-09 | Temperature Beyond Equilibrium in Isolated Quantum Many-Body Systems and Their Subsystems
[arXiv] 2026-07-09 | Can Distance Duality Violation Save Late-time Solutions to the Hubble Tension?
[arXiv] 2026-07-09 | Extracting conformal data from Loschmidt echoes after critical quenches
[arXiv] 2026-07-09 | Multi-Modal, Multi-Environment Machine Teaching for Robust Reward Learning
[arXiv] 2026-07-09 | DominoTree: Conditional Tree-Structured Drafting with Domino for Speculative Decoding
[arXiv] 2026-07-09 | A Design-Based Approach to Testing and Inference in (Quasi-)Experiments with Spillovers
[arXiv] 2026-07-09 | Perfect Matchings with Prescribed Differences Beyond Hall: The Two-Hole Problem
[arXiv] 2026-07-09 | Lectures on lepton-nucleus quasielastic scattering with relativistic models
[arXiv] 2026-07-09 | Stochastic dynamics of particles in correlated fields
[arXiv] 2026-07-09 | The Three Hundred Project: validating $H_0$ inference from mock X-ray and millimetre analyses of galaxy clusters
[arXiv] 2026-07-09 | Adaptive Wavelet Division Multiplexing for Heterogeneous Mobility Users
[arXiv] 2026-07-09 | An Efficient Method for Gibbs Free Energy Evaluation under Volume Compression
[arXiv] 2026-07-09 | Localized gradient enhancement near anisotropic scatterers
[arXiv] 2026-07-09 | Classification of blazars based on data-driven approaches
[arXiv] 2026-07-09 | Why Do You Say It Like That? A Phoneme-Level Framework for Explainable Speech Deepfake Detection
[arXiv] 2026-07-09 | DP vertex-arboricity of sparse graphs
[arXiv] 2026-07-09 | Spectral Stability of Pseudoinverse-Based Extreme Learning Machine
[arXiv] 2026-07-09 | Unconstrained Scheme for Geometrically Constrained Gradient Flows
[arXiv] 2026-07-09 | Disentangling the dark and stellar mass through precise lens modelling of the JWST observation of lensed quasar WFI2033--4723
[arXiv] 2026-07-09 | Renormalization flows for 1D mixed states and a quantum Goursat lemma
[arXiv] 2026-07-09 | SMetric: Rethink LLM Scheduling for Serving Agents with Balanced Session-centric Scheduling
[arXiv] 2026-07-09 | XShooter DESI Lens Program: Sample characterization
[arXiv] 2026-07-09 | Broadband silicon photonic phase shifters driven by gradient optical forces
