[2025-11-25 09:12:46] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-24
正在获取论文...
[arXiv] 2025-11-24 | Defending Large Language Models Against Jailbreak Exploits with Responsible AI Considerations
[arXiv] 2025-11-24 | Look It Up: Analysing Internal Web Search Capabilities of Modern LLMs
[arXiv] 2025-11-24 | Human-Centric Open-Future Task Discovery: Formulation, Benchmark, and Scalable Tree-Based Search
[arXiv] 2025-11-24 | On the left and right coefficients of the general Cayley-Hamilton identities for an nxn matrix
[arXiv] 2025-11-24 | The local Turnpike Property in Mean Field Control and Games with quadratic Hamiltonian
[arXiv] 2025-11-24 | GPS-Synchronized Monitoring of Supernova Bursts in PandaX-4T: Enabling a Neutrino Trigger for Multi-Messenger Astronomy
[arXiv] 2025-11-24 | Further results on the free energy of the random field Ising chain in the case of centered disorder
[arXiv] 2025-11-24 | BSN-V: The First Detailed Light Curve Modeling of Eight Totally Eclipsing Contact Binary Stars Using Ground-Based and TESS Observations
[arXiv] 2025-11-24 | VADE: Variance-Aware Dynamic Sampling via Online Sample-Level Difficulty Estimation for Multimodal RL
[arXiv] 2025-11-24 | Brane bound states, deformations and OM
[arXiv] 2025-11-24 | MetaDCSeg: Robust Medical Image Segmentation via Meta Dynamic Center Weighting
[arXiv] 2025-11-24 | MagicWorld: Interactive Geometry-driven Video World Exploration
[arXiv] 2025-11-24 | Facade Segmentation for Solar Photovoltaic Suitability
[arXiv] 2025-11-24 | Structure factor's realizability reveals the glass-dynamics onset temperature
[arXiv] 2025-11-24 | Parallel Vision Token Scheduling for Fast and Accurate Multimodal LMMs Inference
[arXiv] 2025-11-24 | KernelBand: Boosting LLM-based Kernel Optimization with a Hierarchical and Hardware-aware Multi-armed Bandit
[arXiv] 2025-11-24 | Generating Reading Comprehension Exercises with Large Language Models for Educational Applications
[arXiv] 2025-11-24 | Large Language Models for the Summarization of Czech Documents: From History to the Present
[arXiv] 2025-11-24 | Optimizing LLM Code Suggestions: Feedback-Driven Timing with Lightweight State Bounds
[arXiv] 2025-11-24 | Federated style aware transformer aggregation of representations
[arXiv] 2025-11-24 | FVAR: Visual Autoregressive Modeling via Next Focus Prediction
[arXiv] 2025-11-24 | PrismAudio: Decomposed Chain-of-Thoughts and Multi-dimensional Rewards for Video-to-Audio Generation
[arXiv] 2025-11-24 | Concept than Document: Context Compression via AMR-based Conceptual Entropy
[arXiv] 2025-11-24 | VideoCompressa: Data-Efficient Video Understanding via Joint Temporal Compression and Spatial Reconstruction
[arXiv] 2025-11-24 | Leveraging Metaheuristic Approaches to Improve Deep Learning Systems for Anxiety Disorder Detection
[arXiv] 2025-11-24 | Uncertainty-Aware Dual-Student Knowledge Distillation for Efficient Image Classification
[arXiv] 2025-11-24 | DetAny4D: Detect Anything 4D Temporally in a Streaming RGB Video
[arXiv] 2025-11-24 | Comparison between formal slopes and p-adic slopes
[arXiv] 2025-11-24 | HyperbolicRAG: Enhancing Retrieval-Augmented Generation with Hyperbolic Representations
[arXiv] 2025-11-24 | Scale What Counts, Mask What Matters: Evaluating Foundation Models for Zero-Shot Cross-Domain Wi-Fi Sensing
[arXiv] 2025-11-24 | Acceleration Techniques for Learning Optimal Classification Trees with Integer Programming
[arXiv] 2025-11-24 | Hypergraph Contrastive Learning for both Homophilic and Heterophilic Hypergraphs
[arXiv] 2025-11-24 | Icy worlds: Moons and Dwarf Planets
[arXiv] 2025-11-24 | HERMES: Towards Efficient and Verifiable Mathematical Reasoning in LLMs
[arXiv] 2025-11-24 | A Smooth Transition from Giant Planets to Brown Dwarfs from the Radial Occurrence Distribution
[arXiv] 2025-11-24 | Splatonic: Architecture Support for 3D Gaussian Splatting SLAM via Sparse Processing
[arXiv] 2025-11-24 | Near-Field Sparse Bayesian Channel Estimation and Tracking for XL-IRS-Aided Wideband mmWave Systems
[arXiv] 2025-11-24 | On Instability of Minimax Optimal Optimism-Based Bandit Algorithms
[arXiv] 2025-11-24 | On the Appropriateness of Linear Stress Recovery in Biomechanical Analysis of Abdominal Aortic Aneurysm
[arXiv] 2025-11-24 | A Problem-Oriented Taxonomy of Evaluation Metrics for Time Series Anomaly Detection
[arXiv] 2025-11-24 | Yo'City: Personalized and Boundless 3D Realistic City Scene Generation via Self-Critic Expansion
[arXiv] 2025-11-24 | Misinformation Dynamics in Social Networks
[arXiv] 2025-11-24 | GuideFlow: Constraint-Guided Flow Matching for Planning in End-to-End Autonomous Driving
[arXiv] 2025-11-24 | Towards Realistic Guarantees: A Probabilistic Certificate for SmoothLLM
[arXiv] 2025-11-24 | Seeing What Matters: Visual Preference Policy Optimization for Visual Generation
[arXiv] 2025-11-24 | GVD-TG: Topological Graph based on Fast Hierarchical GVD Sampling for Robot Exploration
[arXiv] 2025-11-24 | Development of a projectile charge state analyzer and 10 kV bipolar power supply for MeV energy ion - atom/molecule collision experiments
[arXiv] 2025-11-24 | CoD: A Diffusion Foundation Model for Image Compression
[arXiv] 2025-11-24 | Manipulation of photonic topological edge and corner states via trivial claddings
[arXiv] 2025-11-24 | Asynchronous Distributed Multi-Robot Motion Planning Under Imperfect Communication
[arXiv] 2025-11-24 | Quantized Polarization Redefines Polar Interfaces
[arXiv] 2025-11-24 | Exploring Surround-View Fisheye Camera 3D Object Detection
[arXiv] 2025-11-24 | Stable Multi-Drone GNSS Tracking System for Marine Robots
[arXiv] 2025-11-24 | Carbon-Penalised Portfolio Insurance Strategies in a Stochastic Factor Model with Partial Information
[arXiv] 2025-11-24 | A Unified Decentralized Nonconvex Algorithm under Kurdyka-Łojasiewicz Property
[arXiv] 2025-11-24 | LLM-Based Agentic Negotiation for 6G: Addressing Uncertainty Neglect and Tail-Event Risk
[arXiv] 2025-11-24 | Every $Q$-polynomial distance-regular graph is sharp over $\mathbb{R}$
[arXiv] 2025-11-24 | Effect of FABr Over-Stoichiometry on the Morphology and Optoelectronic Properties of Wide-Bandgap FAPbBr_3 Films
[arXiv] 2025-11-24 | A Robust State Filter Against Unmodeled Process And Measurement Noise
[arXiv] 2025-11-24 | From Pixels to Posts: Retrieval-Augmented Fashion Captioning and Hashtag Generation
[arXiv] 2025-11-24 | VIL2C: Value-of-Information Aware Low-Latency Communication for Multi-Agent Reinforcement Learning
[arXiv] 2025-11-24 | Automated RF Phase Adjustment for Beam Stabilization in the Fermilab Linac
[arXiv] 2025-11-24 | On gonality-tight graphs
[arXiv] 2025-11-24 | MambaRefine-YOLO: A Dual-Modality Small Object Detector for UAV Imagery
[arXiv] 2025-11-24 | When Semantics Regulate: Rethinking Patch Shuffle and Internal Bias for Generated Image Detection with CLIP
[arXiv] 2025-11-24 | Uncertainty-Aware Deep Learning Framework for Remaining Useful Life Prediction in Turbofan Engines with Learned Aleatoric Uncertainty
[arXiv] 2025-11-24 | 3M-TI: High-Quality Mobile Thermal Imaging via Calibration-free Multi-Camera Cross-Modal Diffusion
[arXiv] 2025-11-24 | AI Consciousness and Existential Risk
[arXiv] 2025-11-24 | Agent Discovery in Internet of Agents: Challenges and Solutions
[arXiv] 2025-11-24 | DiffSeg30k: A Multi-Turn Diffusion Editing Benchmark for Localized AIGC Detection
[arXiv] 2025-11-24 | Edge-Based Predictive Data Reduction for Smart Agriculture: A Lightweight Approach to Efficient IoT Communication
[arXiv] 2025-11-24 | Many-Eyes and Sentinels in Selfish and Cooperative Groups
[arXiv] 2025-11-24 | Optimization of Deep Learning Models for Dynamic Market Behavior Prediction
[arXiv] 2025-11-24 | PolyOCP.jl -- A Julia Package for Stochastic OCPs and MPC
[arXiv] 2025-11-24 | Simulating neutron diffraction from deformed mosaic crystals in McStas
[arXiv] 2025-11-24 | GraphMind: Theorem Selection and Conclusion Generation Framework with Dynamic GNN for LLM Reasoning
[arXiv] 2025-11-24 | On the Tail Transition of First Arrival Position Channels: From Cauchy to Exponential Decay
[arXiv] 2025-11-24 | Impact Analysis of COVID-19 in Bangladesh Power Sector and Recommendations based on Practical Data and Machine Learning Approach
[arXiv] 2025-11-24 | Understanding, Accelerating, and Improving MeanFlow Training
[arXiv] 2025-11-24 | Expansion of Momentum Space and Full 2$π$ Solid Angle Photoelectron Collection in Laser-Based Angle-Resolved Photoemission Spectroscopy by Applying Sample Bias
[arXiv] 2025-11-24 | LAA3D: A Benchmark of Detecting and Tracking Low-Altitude Aircraft in 3D Space
[arXiv] 2025-11-24 | MedSAM3: Delving into Segment Anything with Medical Concepts
[arXiv] 2025-11-24 | Resolving Node Identifiability in Graph Neural Processes via Laplacian Spectral Encodings
[arXiv] 2025-11-24 | Light-induced photomechanical patterning of ferroelectric polarization
[arXiv] 2025-11-24 | Life-IQA: Boosting Blind Image Quality Assessment through GCN-enhanced Layer Interaction and MoE-based Feature Decoupling
[arXiv] 2025-11-24 | OrdMoE: Preference Alignment via Hierarchical Expert Group Ranking in Multimodal Mixture-of-Experts LLMs
[arXiv] 2025-11-24 | Modular elements of the lattices of varieties of semigroups and epigroups. I
[arXiv] 2025-11-24 | Growth Estimates for Solutions to the Wave Equation on Damek--Ricci Spaces
[arXiv] 2025-11-24 | LLM Chatbots in High School Programming: Exploring Behaviors and Interventions
[arXiv] 2025-11-24 | The Willmore energy and curvature concentration
[arXiv] 2025-11-24 | Bohr inequalities for holomorphic mappings in higher-dimensional complex Banach spaces
[arXiv] 2025-11-24 | Revisiting the Measurement of Polarization
[arXiv] 2025-11-24 | Geometry-Aware Deep Congruence Networks for Manifold Learning in Cross-Subject Motor Imagery
[arXiv] 2025-11-24 | LumiTex: Towards High-Fidelity PBR Texture Generation with Illumination Context
[arXiv] 2025-11-24 | Flow Map Distillation Without Data
[arXiv] 2025-11-24 | Ref-SAM3D: Bridging SAM3D with Text for Reference 3D Reconstruction
[arXiv] 2025-11-24 | An Elementary Proof of a Minimax Theorem
[arXiv] 2025-11-24 | Powers of abelian varieties over $\overline{\mathbb Q(t)}$ not isogenous to a Jacobian
[arXiv] 2025-11-24 | Hierarchical Bayesian spectral analysis of multiple stationary time series
[arXiv] 2025-11-24 | Wigner and Gabor phase-space analysis of propagators for evolution equations
[arXiv] 2025-11-24 | Conformal symmetry of the massless Staruszkiewicz model
[arXiv] 2025-11-24 | Efficiency vs. Fidelity: A Comparative Analysis of Diffusion Probabilistic Models and Flow Matching on Low-Resource Hardware
[arXiv] 2025-11-24 | HeLEx: A Heterogeneous Layout Explorer for Spatial Elastic Coarse-Grained Reconfigurable Arrays
[arXiv] 2025-11-24 | Revisiting Feedback Models for HyDE
[arXiv] 2025-11-24 | Learning to Reason: Training LLMs with GPT-OSS or DeepSeek R1 Reasoning Traces
[arXiv] 2025-11-24 | Targeted Manipulation: Slope-Based Attacks on Financial Time-Series Data
[arXiv] 2025-11-24 | Dynamic Leader-Follower Consensus with Adversaries: A Multi-Hop Relay Approach
[arXiv] 2025-11-24 | MonoMSK: Monocular 3D Musculoskeletal Dynamics Estimation
[arXiv] 2025-11-24 | What Drives Cross-lingual Ranking? Retrieval Approaches with Multilingual Language Models
[arXiv] 2025-11-24 | Combinatorics of Minimal Balanced Collections
[arXiv] 2025-11-24 | Scattering in Time-Varying Drude-Lorentz Models
[arXiv] 2025-11-24 | SyncMV4D: Synchronized Multi-view Joint Diffusion of Appearance and Motion for Hand-Object Interaction Synthesis
[arXiv] 2025-11-24 | Diagnosis of mixed-state topological phases in strongly correlated systems via disorder parameters
[arXiv] 2025-11-24 | E-coherent crystalline interfaces: coherency enhanced by discohesion arrays
[arXiv] 2025-11-24 | Innovative Modular Design and Kinematic Approach based on Screw Theory for Triple Scissors Links Deployable Space Antenna Mechanism
[arXiv] 2025-11-24 | Holographic Krylov complexity in ${\cal N}=4$ SYM
[arXiv] 2025-11-24 | Two-Stream Instability and Bernstein-Greene-Kruskal Mode Formation in Coulomb One Component Plasma
[arXiv] 2025-11-24 | Constraining Yukawa-type interaction and coupling constant of axionlike particles to nucleons from recent measurement of the Casimir-Polder interaction
[arXiv] 2025-11-24 | Solar-GECO: Perovskite Solar Cell Property Prediction with Geometric-Aware Co-Attention
[arXiv] 2025-11-24 | Common neighbours in planar graphs
[arXiv] 2025-11-24 | Spin-Flux Skyrmions: Anomalous Electron Dynamics and Spin-Hall Currents
[arXiv] 2025-11-24 | Entropic Dynamics approach to Quantum Electrodynamics
[arXiv] 2025-11-24 | SENTINEL: A Fully End-to-End Language-Action Model for Humanoid Whole Body Control
[arXiv] 2025-11-24 | Synchronized Aharonov-Bohm Motifs via Engineered Dissipation
[arXiv] 2025-11-24 | ReAlign: Text-to-Motion Generation via Step-Aware Reward-Guided Alignment
[arXiv] 2025-11-24 | Spherical Einstein-Friedberg-Lee-Sirlin boson stars: Self-interacting solutions and their astrophysical appearance
[arXiv] 2025-11-24 | Observing bright pulsating white dwarfs with PLATO: A new window into the late stages of stellar evolution
[arXiv] 2025-11-24 | Online Learning-Enhanced Lie Algebraic MPC for Robust Trajectory Tracking of Autonomous Surface Vehicles
[arXiv] 2025-11-24 | Hierarchical GraphCut Phase Unwrapping based on Invariance of Diffeomorphisms Framework
[arXiv] 2025-11-24 | Inverse Rendering for High-Genus Surface Meshes from Multi-View Images
[arXiv] 2025-11-24 | Neural Geometry Image-Based Representations with Optimal Transport (OT)
[arXiv] 2025-11-24 | A Theory-Inspired Framework for Few-Shot Cross-Modal Sketch Person Re-Identification
[arXiv] 2025-11-24 | Assessing the alignment between infants' visual and linguistic experience using multimodal language models
[arXiv] 2025-11-24 | Quantitative and Optimal Device-Independent Lower Bounds on Detection Efficiency
[arXiv] 2025-11-24 | The Non-universal Pseudo Phase-Space Density Profiles of Symphony Host Halos
[arXiv] 2025-11-24 | Overlap Analysis of the Shortest Path Problem: Local Search, Landscapes, and Franz--Parisi Potential
[arXiv] 2025-11-24 | Tuning Domain-Based Charge Transfer in Organic Dyes: Impact of Heteroatom Doping in the pi-linker of Carbazole-Based Systems
[arXiv] 2025-11-24 | AuViRe: Audio-visual Speech Representation Reconstruction for Deepfake Temporal Localization
[arXiv] 2025-11-24 | What do gravitational-wave observations tell us about Luminous Red Novae?
[arXiv] 2025-11-24 | Deformation to the normal bundle and blow-ups via derived Weil restrictions
[arXiv] 2025-11-24 | Inflation in theories with broken diffeomorphisms
[arXiv] 2025-11-24 | Constant-Size Certificates for Leader Election in Chordal Graphs and Related Classes
[arXiv] 2025-11-24 | Conservation laws and slow dynamics determine the universality class of interfaces in active matter
[arXiv] 2025-11-24 | Cloud4D
[arXiv] 2025-11-24 | Be My Eyes: Extending Large Language Models to New Modalities Through Multi-Agent Collaboration
[arXiv] 2025-11-24 | Entanglement-limited linear response in fermionic systems
[arXiv] 2025-11-24 | Chernoff-Mehler Approximation for Lévy Processes with Drift
[arXiv] 2025-11-24 | Stochastic Adaptive Optimization with Unreliable Inputs: A Unified Framework for High-Probability Complexity Analysis
[arXiv] 2025-11-24 | PTF Testing Lower Bounds for Non-Gaussian Component Analysis
[arXiv] 2025-11-24 | Kondo screening and random-singlet formation in highly disordered systems
[arXiv] 2025-11-24 | A Hybrid Learning-to-Optimize Framework for Mixed-Integer Quadratic Programming
[arXiv] 2025-11-24 | UISearch: Graph-Based Embeddings for Multimodal Enterprise UI Screenshots Retrieval
[arXiv] 2025-11-24 | Construction and Decoding of Error--Correcting Codes from Ideal Lattices of Finite Ternary Gamma Semirings
[arXiv] 2025-11-24 | Connectivity-Aware Task Offloading for Remote Northern Regions: a Hybrid LEO-MEO Architecture
[arXiv] 2025-11-24 | LLM-Driven Stationarity-Aware Expert Demonstrations for Multi-Agent Reinforcement Learning in Mobile Systems
[arXiv] 2025-11-24 | DeCo: Frequency-Decoupled Pixel Diffusion for End-to-End Image Generation
[arXiv] 2025-11-24 | Secure Analog Beamforming for Multi-user MISO Systems with Movable Antennas
[arXiv] 2025-11-24 | Enhancing Conformal Prediction via Class Similarity
[arXiv] 2025-11-24 | Leveraging LLMs for reward function design in reinforcement learning control tasks
[arXiv] 2025-11-24 | Artificial Intelligence Driven Workflow for Accelerating Design of Novel Photosensitizers
[arXiv] 2025-11-24 | Normative active inference: A numerical proof of principle for a computational and economic legal analytic approach to AI governance
[arXiv] 2025-11-24 | On the PB Sudakov: NNLL coefficient, CS kernel and intrinsic-kt
[arXiv] 2025-11-24 | Human-AI Teaming Under Deception: An Implicit BCI Safeguards Drone Team Performance in Virtual Reality
[arXiv] 2025-11-24 | Development of a Transit-Time Ultrasonic Flow Measurement System for Partially Filled Pipes: Incorporating Flow Profile Correction Factor and Real-Time Clogging Detection
[arXiv] 2025-11-24 | Flat flows of periodic Lipschitz subgraphs for generalized nonlocal perimeters
[arXiv] 2025-11-24 | On Altruism and Spite in Bimatrix Games
[arXiv] 2025-11-24 | On Yukawa Potential Centrality for Identification of Influential Spreaders in Complex Networks
[arXiv] 2025-11-24 | Noetherian pointed Hopf algebras are affine
[arXiv] 2025-11-24 | Symmetric sequencings and other combinatorial properties of large groups
[arXiv] 2025-11-24 | The Unified Non-Convex Framework for Robust Causal Inference: Overcoming the Gaussian Barrier and Optimization Fragility
[arXiv] 2025-11-24 | Point Objects and Derived Equivalences of Twisted Derived Categories of Abelian Varieties
[arXiv] 2025-11-24 | What is the signature of a trion in photoemission?
[arXiv] 2025-11-24 | Diffusion Reconstruction-based Data Likelihood Estimation for Core-Set Selection
[arXiv] 2025-11-24 | Tiny-TSM: Efficiently Training a Lightweight SOTA Time Series Foundation Model
[arXiv] 2025-11-24 | Numerical Approximation In Real Domain Of Special Function Of Product Of A Variable And Its Double Exponential
[arXiv] 2025-11-24 | Unboxing the Black Box: Mechanistic Interpretability for Algorithmic Understanding of Neural Networks
[arXiv] 2025-11-24 | A Nutrition Multimodal Photoplethysmography Language Model
[arXiv] 2025-11-24 | The Maki-Thompson Model with Spontaneous Stifling on Symmetric Networks
[arXiv] 2025-11-24 | Adversarial Patch Attacks on Vision-Based Cargo Occupancy Estimation via Differentiable 3D Simulation
[arXiv] 2025-11-24 | MAESTRO: Multi-Agent Environment Shaping through Task and Reward Optimization
[arXiv] 2025-11-24 | Stitched Polar Codes
[arXiv] 2025-11-24 | Three-loop banana integrals with three equal masses
[arXiv] 2025-11-24 | A demonstration that classical gravity does not produce entanglement
[arXiv] 2025-11-24 | Local Entropy Search over Descent Sequences for Bayesian Optimization
[arXiv] 2025-11-24 | Integrating Complex Covariate Transformations in Generalized Additive Models
[arXiv] 2025-11-24 | Data-driven certificates of constraint enforcement and stability for unmodeled, discrete dynamical systems using tree data structures
[arXiv] 2025-11-24 | FPGA-Based Spill Regulation System for the Muon Delivery Ring at Fermilab
[arXiv] 2025-11-24 | Centennial solar EUV irradiance from ionospheric currents: Varying sunspot-EUV irradiance relation and modified spot-facula ratio
[arXiv] 2025-11-24 | Percept-WAM: Perception-Enhanced World-Awareness-Action Model for Robust End-to-End Autonomous Driving
[arXiv] 2025-11-24 | Adversarial Attack-Defense Co-Evolution for LLM Safety Alignment via Tree-Group Dual-Aware Search and Optimization
[arXiv] 2025-11-24 | Compact stationary fluxons in the Josephson junction ladder
[arXiv] 2025-11-24 | Projected Density Matrix Sampling for Lattice Hamiltonians
[arXiv] 2025-11-24 | Another billiard problem
[arXiv] 2025-11-24 | Insights into neutron transport in a new multipurpose nuclear reactor
[arXiv] 2025-11-24 | Towards testing gravity with LSST using $E_G$
[arXiv] 2025-11-24 | AvatarBrush: Monocular Reconstruction of Gaussian Avatars with Intuitive Local Editing
[arXiv] 2025-11-24 | Enumeration of Autocatalytic Subsystems in Large Chemical Reaction Networks
[arXiv] 2025-11-24 | Accelerating Reinforcement Learning via Error-Related Human Brain Signals
[arXiv] 2025-11-24 | Fairness Meets Privacy: Integrating Differential Privacy and Demographic Parity in Multi-class Classification
[arXiv] 2025-11-24 | Multidimensional Music Aesthetic Evaluation via Semantically Consistent C-Mixup Augmentation
[arXiv] 2025-11-24 | DualGazeNet: A Biologically Inspired Dual-Gaze Query Network for Salient Object Detection
[arXiv] 2025-11-24 | Strong Energy Dependent Transition Radiation in a Photonic Crystal
[arXiv] 2025-11-24 | Observation of Dicke cooperativity between strongly coupled phonons and crystal-field excitations in a rare-earth orthoferrite
[arXiv] 2025-11-24 | Robust and Generalizable GNN Fine-Tuning via Uncertainty-aware Adapter Learning
[arXiv] 2025-11-24 | AutoOdom: Learning Auto-regressive Proprioceptive Odometry for Legged Locomotion
[arXiv] 2025-11-24 | Deep Hybrid Model for Region of Interest Detection in Omnidirectional Videos
[arXiv] 2025-11-24 | Theoretical study on excited states of ICl+ molecular ion considering spin-orbit coupling
[arXiv] 2025-11-24 | Enhancing Multi-Label Thoracic Disease Diagnosis with Deep Ensemble-Based Uncertainty Quantification
[arXiv] 2025-11-24 | \emph{Ab initio} derivation of the crystal field parameters for lanthanide ions: The f$^1$ case
[arXiv] 2025-11-24 | Auto-ML Graph Neural Network Hypermodels for Outcome Prediction in Event-Sequence Data
[arXiv] 2025-11-24 | FlowSteer: Guiding Few-Step Image Synthesis with Authentic Trajectories
[arXiv] 2025-11-24 | Leveraging Duration Pseudo-Embeddings in Multilevel LSTM and GCN Hypermodels for Outcome-Oriented PPM
[arXiv] 2025-11-24 | Towards Characterizing Knowledge Distillation of PPG Heart Rate Estimation Models
[arXiv] 2025-11-24 | DiP: Taming Diffusion Models in Pixel Space
[arXiv] 2025-11-24 | Local-in-time existence of strong solutions to a class of compressible Power-Law flows
[arXiv] 2025-11-24 | QCD sum rule predictions on gluonic tetraquark states with $J^{PC}=0^{+-},0^{--}$ and $1^{\pm \pm}$
[arXiv] 2025-11-24 | STORE: Semantic Tokenization, Orthogonal Rotation and Efficient Attention for Scaling Up Ranking Models
[arXiv] 2025-11-24 | Detecting Linear Dichroism with Atomic Resolution
[arXiv] 2025-11-24 | NEZHA: A Zero-sacrifice and Hyperspeed Decoding Architecture for Generative Recommendations
[arXiv] 2025-11-24 | Hilton-Milner Theorem for the $r$-independent sets in a union of cliques
[arXiv] 2025-11-24 | Summary-Mediated Repair: Can LLMs use code summarisation as a tool for program repair?
[arXiv] 2025-11-24 | ConceptGuard: Proactive Safety in Text-and-Image-to-Video Generation through Multimodal Risk Detection
[arXiv] 2025-11-24 | WSe2 p-MOSFETs with Nb-Doped WS2 Contacts Deposited using Atomic Layer Deposition
[arXiv] 2025-11-24 | SAOT: An Enhanced Locality-Aware Spectral Transformer for Solving PDEs
[arXiv] 2025-11-24 | Re-Key-Free, Risky-Free: Adaptable Model Usage Control
[arXiv] 2025-11-24 | BPS Solutions of 4d Euclidean N=2 Supergravity with Higher Derivative Interactions
[arXiv] 2025-11-24 | The Dynamical Interaction between Low-mass Planets and Dust Coagulation
[arXiv] 2025-11-24 | Realization and classification of Hamiltonian-circle multisigns
[arXiv] 2025-11-24 | Large Language Models Require Curated Context for Reliable Political Fact-Checking -- Even with Reasoning and Web Search
