[2026-08-06 11:23:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-05
正在获取论文...
[arXiv] 2026-08-05 | Coupled quintessence from an axion dark sector
[arXiv] 2026-08-05 | From Score Matrices to Football-Aware Match-State Simulation: An Auditable LLM Harness for Exact-Score Reranking
[arXiv] 2026-08-05 | Language Models Generalize to Human-like Word Order Preferences
[arXiv] 2026-08-05 | Exact simulation of diffusions and improved algorithms for log-concave sampling
[arXiv] 2026-08-05 | Towards Physics of Multimodal Pretraining: Knowledge Flow, Modality Synergy, Early Unification, and Recipes
[arXiv] 2026-08-05 | ORACLE: A Multi-Objective Reinforcement Learning-Based Analog Circuit Design Optimizer with Large Language Models-Guided Exploration
[arXiv] 2026-08-05 | Gabor Frames of Totally Positive Functions: A Complete Characterization
[arXiv] 2026-08-05 | RAC: Reference-Aware Activation Compression for Communication-Efficient Split LLM Inference
[arXiv] 2026-08-05 | Thermal Alignment as a Pathway to Axion Dark Matter
[arXiv] 2026-08-05 | Magnetic catalysis and Hall conductivity of excitonic insulators in a planar four-Fermi model
[arXiv] 2026-08-05 | A Pairwise Differencing Distribution Regression Approach for Network Models
[arXiv] 2026-08-05 | Weyl Subconvexity for $\mathrm{GL}_2$ with Simple Supercuspidal Ramification
[arXiv] 2026-08-05 | Protoreasoning in Tiny Transformers
[arXiv] 2026-08-05 | Delocalized Coupled-Cluster Theory for Polaron Structure and Dynamics
[arXiv] 2026-08-05 | The Role of Risk Sharing in Attenuating Business Cycles Within Currency Unions
[arXiv] 2026-08-05 | Nondegeneracy and Morse Index of Ginzburg--Landau Vortices
[arXiv] 2026-08-05 | SciCode-Verified: How Benchmark Defects Underestimated the Scientific-Coding Ability of Language Models
[arXiv] 2026-08-05 | AsymSpec: Efficient Cloud-Edge Speculative Decoding over Asymmetric Networks
[arXiv] 2026-08-05 | EvolveNet: Collaborative Harness Evolution for Agent Self-Improvement
[arXiv] 2026-08-05 | Zariski density of discrete subgroups via critical exponents and unitary representations
[arXiv] 2026-08-05 | WorldCycle: Self-Verifiable Reinforcement Learning for Long-Horizon Video World Models
[arXiv] 2026-08-05 | Towards Valid B-Rep Generation: Training-Free Wireframe Anomaly Detection and Repair
[arXiv] 2026-08-05 | Einstein Metrics and Equivariant Harmonic Maps: The Einstein Detection Principle
[arXiv] 2026-08-05 | A High-Order Perturbation of Envelopes (HOPE) Method for Electromagnetic Scattering by Periodic Inhomogeneous Chiral Media
[arXiv] 2026-08-05 | From Promise to Practice: Closing the Application Gap in Quantum Computing
[arXiv] 2026-08-05 | State2State: Environment-Derived Mid-Training for LLM Agents
[arXiv] 2026-08-05 | Mimir: A Neuro-Symbolic Memory System with Dynamic Grounding for Embodied Agents in Interactive Environments
[arXiv] 2026-08-05 | Chebotarev geodesic theorem: non-split case
[arXiv] 2026-08-05 | Newtonian Potential in Weyl Gravitoelectromagnetism
[arXiv] 2026-08-05 | A Few Accelerated Algorithms for Convex Optimization under $(H_0,H_1)$-Smoothness
[arXiv] 2026-08-05 | HoRFFI: High-Openness RF Fingerprint Identification with a Similarity-Enhanced Variational Information Bottleneck
[arXiv] 2026-08-05 | Step Recursion: A Three-Parameter Refinement of the Grzegorczyk Hierarchy
[arXiv] 2026-08-05 | Preverbal Uninflected and Underived Roots in Mapudungun. Wuno and Its Implications
[arXiv] 2026-08-05 | The Neural Echo: A Signal Processing Perspective for Understanding Neural Networks
[arXiv] 2026-08-05 | Nonparametric Goodness-of-fit Testing under Covariate Shift
[arXiv] 2026-08-05 | Hidden Ciphers and Where to Find Them: Static Discovery and Assessment of Cryptographic Assets in Software
[arXiv] 2026-08-05 | High-speed time-series prediction using compact memristor circuits with adjustable dynamics
[arXiv] 2026-08-05 | On a theorem of Dickson
[arXiv] 2026-08-05 | RORA: Realistic Object Reconstruction with Articulation
[arXiv] 2026-08-05 | Structural Chirality from Short-Range Order in Heteroanionic Materials
[arXiv] 2026-08-05 | Exact Inference in Fixed-Effect Regressions with Concentrated Identifying Variation
[arXiv] 2026-08-05 | ContextWeave: A Real-World Workflow Benchmark
[arXiv] 2026-08-05 | Multi-frequency far-field data enrichment for electromagnetic source reconstruction
[arXiv] 2026-08-05 | Skill-Use: Can LLMs Actually Use Skills in Agentic Harnesses?
[arXiv] 2026-08-05 | Group-regularized matrix factorization for fast and reliable module discovery in pan-omics pan-cancer studies
[arXiv] 2026-08-05 | Characterization of the MUSE NFM PSF as a function of atmospheric conditions: TipTop calibration
[arXiv] 2026-08-05 | A Knowledge-Centric Communication For Autonomous Cislunar Networks
[arXiv] 2026-08-05 | DEGR: Dual Exploration-Driven Generative Re-Ranking for Adaptive Cross-Request Context Bridging
