[2026-04-21 10:19:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[arXiv] 2026-04-20 | Toward Zero-Egress Psychiatric AI: On-Device LLM Deployment for Privacy-Preserving Mental Health Decision Support
[arXiv] 2026-04-20 | Compositional security definitions for higher-order where declassification
[arXiv] 2026-04-20 | Exploring Concreteness Through a Figurative Lens
[arXiv] 2026-04-20 | An Existence Proof for Neural Language Models That Can Explain Garden-Path Effects via Surprisal
[arXiv] 2026-04-20 | EQE-QAOA: An Equivalence-Preserving Qubit Efficient Framework for Combinatorial Optimization
[arXiv] 2026-04-20 | Two Potential Exoplanets around A-type Stars Selected from 18 Planetary Candidates
[arXiv] 2026-04-20 | Dissipative Latent Residual Physics-Informed Neural Networks for Modeling and Identification of Electromechanical Systems
[arXiv] 2026-04-20 | LiquidTAD: An Efficient Method for Temporal Action Detection via Liquid Neural Dynamics
[arXiv] 2026-04-20 | Gamma-Based Expansion for the First-Passage Time Distribution of Stochastic Logistic Models with Harvesting
[arXiv] 2026-04-20 | Impact of Cold Jupiter Scattering on the Mean-Motion Resonance of Inner Small Planets
[arXiv] 2026-04-20 | Beyond Pattern Matching: Seven Cross-Domain Techniques for Prompt Injection Detection
[arXiv] 2026-04-20 | Holographic dark energy as a source for slowly rotating wormholes: Implications for null geodesics and shadows
[arXiv] 2026-04-20 | On the market-consistent valuation of health insurance liabilities
[arXiv] 2026-04-20 | Horospherical Depth and Busemann Median on Hadamard Manifolds
[arXiv] 2026-04-20 | A Rademacher exact type formula for pod$_2(n)$
[arXiv] 2026-04-20 | Evaluating Multi-Hop Reasoning in RAG Systems: A Comparison of LLM-Based Retriever Evaluation Strategies
[arXiv] 2026-04-20 | Towards an Agentic LLM-based Approach to Requirement Formalization from Unstructured Specifications
[arXiv] 2026-04-20 | Instruction-as-State: Environment-Guided and State-Conditioned Semantic Understanding for Embodied Navigation
[arXiv] 2026-04-20 | A Counterexample to EFX; $n \ge 3$ Agents, $m \ge n + 5$ Items, Monotone Valuations; via SAT-Solving
[arXiv] 2026-04-20 | Galaxy Populations in the IllustrisTNG Caustic Skeleton
[arXiv] 2026-04-20 | A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting
[arXiv] 2026-04-20 | Multi-LLM Token Filtering and Routing for Sequential Recommendation
[arXiv] 2026-04-20 | Leading UV divergences of quantum corrections to Kähler superpotential in general $\mathcal{N}=1$ chiral model
[arXiv] 2026-04-20 | Continuous Focus Groups: A Longitudinal Method for Clinical HRI in Autism Care
