[2026-05-19 10:20:36] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-18
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605180000+TO+202605182359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[ACM] 2026-5-18 | Are Learned DBMS Components Robust to Workload Drift?: [Experiments &amp; Analysis]
[IEEE] 2026-5-18 | A Neuroadaptive Digital Twin System for Emotion Recognition and Socio-Emotional Training in Autistic Children
[IEEE] 2026-5-18 | ChangeFine: Fine-Grained Change Detection from Remote Sensing Imagery based on Contrastive Prompt Learning with SAM-CLIP
[IEEE] 2026-5-18 | FOPTD Based Reduced Order Modeling Assisted Real Time Robust Frequency Control of Islanded Microgrid with Inverter-Based Resources
[IEEE] 2026-5-18 | Flying-Stack Modular Multilevel Converter for Wide Range High-AC/Low-DC Medium Voltage Applications
[IEEE] 2026-5-18 | Anti-Swing Trajectory Tracking of Slung-Payload UAVs: An Attention-Infused Neural Observer Approach With Output Constraints
[IEEE] 2026-5-18 | Context-Conditioned Spatio-Temporal Predictive Learning for Reliable V2V Channel Prediction
[IEEE] 2026-5-18 | Analysis of Tripartite Evolutionary Game in Rumor Spreading Decisions Under Reward-Punishment Mechanism
[IEEE] 2026-5-18 | HoloMamba: Physics-Aligned State-Space Network for High-Fidelity Single-Shot Holographic Reconstruction
[IEEE] 2026-5-18 | Representation-Aligned Atmospheric Light Decoupling for Stable Single-Image Dehazing
[IEEE] 2026-5-18 | Pedestrian Activity Classification with Hybrid Deep Learning Models Using Elevated LiDAR 3D Point Clouds
[IEEE] 2026-5-18 | Approximate Distributed Coded Computing: Polynomial Codes and Randomized Sketching
[IEEE] 2026-5-18 | Decision letter for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[IEEE] 2026-5-18 | A Multi-Stage Cascade Framework for Face Anti-Spoofing using Lightweight CNNs, Depth-Aware ResNet18, and Implicit 3D Facial Geometry
[IEEE] 2026-5-18 | Secure Embedded Hardware Architecture for Embodied Generative Intelligence in Robotic Perception–Action Systems
[IEEE] 2026-5-18 | Large Language Models for Software Vulnerability Detection: A Survey of Methods, Evaluation, and Future Trends
[IEEE] 2026-5-18 | RF Embedded System for Detecting Hidden Wireless Cameras using Signal Persistence and Active Probing
[IEEE] 2026-5-18 | Radar-Communication Physical Layer Security via Fast and Accurate Array Response Control
[IEEE] 2026-5-18 | High-Performing Quantum-Safe Password-Authenticated Key Exchange for Mobile Devices
[IEEE] 2026-5-18 | Robust Image Denoising: A Method Based on Multi-Scale Local Adaptive Hybrid Iterative Bilateral Filtering
[IEEE] 2026-5-18 | Class-Aware Feature Selection with Core and Auxiliary Subsets for Multi-Class Intrusion Detection
[IEEE] 2026-5-18 | Enforcing Zero Trust at the Endpoint: A Deterministic, Measurable, and Reversible Hardening Model for Microsoft Defender
[IEEE] 2026-5-18 | Dynamic Wireless Power Transfer for Battery-Less Automated Guided Vehicles using Segmented Magneto-Inductive Transmitter Coils
[IEEE] 2026-5-18 | Hierarchical Uncertainty-Driven Adaptive Ensemble for Cost-Sensitive Stream Fraud Detection
[IEEE] 2026-5-18 | Zero-Knowledge Access Control for Digital Twin Operations: A Privacy-Preserving Framework
[IEEE] 2026-5-18 | Generative Deep Learning-Based Object Detection for Secure Image Processing Applications
[IEEE] 2026-5-18 | Toward Aquaculture Automation: Image Enhancement and Containment Net Removal for Robust Fish Detection for Behavior Recognition
[IEEE] 2026-5-18 | Spectral Based Fatigue Analysis of Roro Ship Structure: Case Study in the Madura Strait
[IEEE] 2026-5-18 | Topology-Aware Hierarchical Multi-Agent Deep Reinforcement Learning for Virtual Power Plants
[IEEE] 2026-5-18 | Autonomous Multimodal Grievance Redressal System using Generative AI
[IEEE] 2026-5-18 | Handwritten Answer Script Evaluation using Multi-OCR Model
[ACM] 2026-5-19 | Dual-Path Holographic Laser-Excited Volumetric Display
[IEEE] 2026-5-18 | Universal Approach to Measuring Focused Beam Size for Pulsed-Laser SEE Testing
[IEEE] 2026-5-18 | A Parallel Meshless Voronoi Method for Generalized SurfaceNets
[IEEE] 2026-5-18 | Passive Electrostatic Elimination of Loading Powder Using Needle Electrode-integrated Pipe-endcap
[IEEE] 2026-5-18 | Intensity Discrimination of Electrocutaneous Haptic Feedback Is Enhanced at Low Frequencies and with Repeated Exposure
[IEEE] 2026-5-18 | MR2-ByteTrack: CNN and Transformer-based Video Object Detection for AI-augmented Embedded Vision Sensor Nodes
[IEEE] 2026-5-18 | Explicit Spatial-Angular Pattern Embedding for Heterogeneous Imaging-Oriented Light Field Spatial Super-Resolution
[IEEE] 2026-5-18 | MIST: A Multilingual Dataset and Benchmark for Fine-Grained Audio Inpainting Tampering Localization
[IEEE] 2026-5-18 | BurnDC: A Progressive Propagation Framework for Low Coverage Depth Completion_supp2-3693984.mp4
[IEEE] 2026-5-18 | Magnetoelectric Sensor with Sensitive Unit Based on Composite Structure of Magneto-sensitive Elastomer and Polyvinylidene Fluoride for Rotational Speed Detection
[IEEE] 2026-5-18 | Bidirectional Prototype-Reward co-Evolution for Test-Time Adaptation of Vision-Language Models
[IEEE] 2026-5-18 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[IEEE] 2026-5-18 | Dual-Path Reactance Cell Theory and Its Application to a 6-bit K-Band True-Time-Delay Circuit
[IEEE] 2026-5-18 | IEEE Standard for Low-Rate Wireless Networks--Amendment 1: Ascon Cryptographic Algorithms
[IEEE] 2026-5-18 | Practical and Efficient Non-Interactive Multi-Client Searchable Encryption for e-Healthcare Systems
[IEEE] 2026-5-18 | LSE-FRGCN: A Logical Schema-Enhanced Fuzzy Relational Graph Convolutional Network for Stance Detection
[IEEE] 2026-5-18 | Rethinking Load Balancing for Inter-Datacenter Networks
[IEEE] 2026-5-18 | Adaptive Image Batching and Slicing in Edge Networks for Delay-Critical Small Object Detection
[ACM] 2026-5-18 | O
                    <scp>cto</scp>
                    S
                    <scp>elector</scp>
                    : Efficient and Effective Batch-Aware Model Selection for Large Language Models
[ACM] 2026-5-18 | Kangaroo: Efficient Lossless Floating-Point Compression via Dynamic Reference Selection
[IEEE] 2026-5-18 | A Robust and Explainable Machine Learning Framework for Early Lung Cancer Risk Prediction using Synthetic Data Augmentation and Cross-Dataset Validation
[IEEE] 2026-5-18 | Thermal Management of EV Battery Pack by Detection of Thermal Runaway using Deep Neural Network
[IEEE] 2026-5-18 | MOH-Transformer: track association with hierarchical attention
[IEEE] 2026-5-18 | Construction of Detailed Equivalent Circuits for Turbogenerators Based on Standstill Frequency Response Analysis
[IEEE] 2026-5-18 | A Deep Learning–based Predictive GPS Safety Monitoring System With Minimal Network Dependence
[IEEE] 2026-5-18 | VGG16-based Transfer Learning for Multi-Class Kidney CT Image Classification
[IEEE] 2026-5-18 | IoT based Groundnut Storage &amp; Drying Automation System with Rotating Tray
[IEEE] 2026-5-18 | Thermodynamically Constrained Variational Quantum Graph Learning for Near-Term Noisy Quantum Processors
[IEEE] 2026-5-18 | An Area and Power-Optimised Multiplier-Less MAC Unit for Artix-7 FPGA-based Signal Processing
[IEEE] 2026-5-18 | Tunicate Swarm Optimization for High-Dimensional Parameter Tuning of an 8-DOF Electric Vehicle Model
[IEEE] 2026-5-18 | Token-Anchored Semantic Drift: Untargeted Transferable Attacks Against Commercial MLLMs
[IEEE] 2026-5-18 | AI-Driven Predictive Healthcare Analytics for Early Disease Detection and Clinical Decision Support
[IEEE] 2026-5-18 | Adaptive Prompt Generation Agent: A Dynamic Prompt Engineering Framework for Chinese Text Generation
[IEEE] 2026-5-18 | An Ensemble Machine Learning Approach for Heart Diseases Prediction
[IEEE] 2026-5-18 | An Efficient Encrypted Graph Query Scheme Based on Bloom Filters
[IEEE] 2026-5-18 | A Lightweight Artificial Intelligence Method for Official Document Process Automation
[IEEE] 2026-5-18 | Deep Reinforcement Learning-Driven Energy-Efficient Routing Protocol with Dynamic Power Control and Load-Aware Multipath Optimization for MANET
[IEEE] 2026-5-18 | A Multimodal Emotion Recommendation System using Text and Facial Expression Analysis
[IEEE] 2026-5-18 | 1:2 Efficient Demultiplexer Design using QCA Technology
[IEEE] 2026-5-18 | An Efficient and Secure Encrypted Multi-Keyword Search Scheme
[IEEE] 2026-5-18 | Stochastic Dynamics of Human-Bot Interactions on Social Platforms: A Three-Population SDE Model
[ACM] 2026-5-19 | Bita: A Conversational Assistant for Fairness Testing
[IEEE] 2026-5-18 | Beamforming Reflective Metasurfaces Supporting Polarization Control
[IEEE] 2026-5-18 | Sensitivity Analysis for Antenna Devices through Interval Arithmetic - A Generalized Approach
[IEEE] 2026-5-18 | Graph Neural Network-Based Regional Analysis of EEG During Imagined Swallowing: Identifying Cortical Contributions
[IEEE] 2026-5-18 | Measuring Linear Array Mutual Coupling Terms and Element Positions from Embedded Element Patterns
[IEEE] 2026-5-18 | Manufacturing and testing of electrospun nanofiber-enhanced mask textiles
[IEEE] 2026-5-18 | RUBCA: Detecting Anxiety Levels in Arabic Tweets Using a Rule Based Classification Approach
[IEEE] 2026-5-18 | DriveAware: Multimodal Wearable Sensing–Based Machine Learning Approaches to Detect Driver Distraction
[IEEE] 2026-5-18 | Enhancing Multimodal Recommender System Performance Using Large Language Models
[ACM] 2026-5-18 | Concurrent Path-Copying Update to Tree Structures
[ACM] 2026-5-18 | Adaptive Outlier Detection over Data Stream
[IEEE] 2026-5-18 | Simulation-Based Evaluation of Underwater Sensor Network Performance Using DBR and Broadcast MAC in Shallow and Deep Sea Scenarios
[IEEE] 2026-5-18 | Detecting Data Poisoning Attack in Federated Learning Healthcare System
[IEEE] 2026-5-18 | Towards Zero Backflow: A Low-Power Device for Automated IV Infusion Monitoring and Auto-Stop Mechanism
[IEEE] 2026-5-18 | Hybrid CNN-LSTM Edge Computing Framework for Intelligent Aquarium Health Management
[IEEE] 2026-5-18 | Adaptive Frequency-Guided Fusion Mamba with Dynamic Cross-Modal Attention for Robust Infrared-Visible Object Detection
[IEEE] 2026-5-18 | Mapping Forest Fire Risks Using Deep Learning: A Case Study in An Giang Province, Vietnam
[IEEE] 2026-5-18 | Dynamic Energy-Aware Power Allocation for Life-time Maximization in UAV Networks
[IEEE] 2026-5-18 | A Cost-Effective Portable Ventilator with AMBU Bag Mechanism and Real-Time Leakage Detection using LCD Display
[IEEE] 2026-5-18 | Deep Learning-Based Signal Disentanglement for Surface Acoustic Wave Passive Wireless Sensing Under Strong Interference
[IEEE] 2026-5-18 | Enhancing Fetal Health Prediction Through Feature Reduction and Ensemble Learning
[IEEE] 2026-5-18 | Performance Optimization of Intel Multi-Core CPUs using Memory-Aware Data Parallelism
[IEEE] 2026-5-18 | Activity-Aware Power Management Architecture For FPGA-Based Edge System using On-Die Thermal Feedback
[IEEE] 2026-5-18 | Enhanced AI-based Biometric Authentication using Recurrent Neural Network
[IEEE] 2026-5-18 | Edge-Enabled Autonomous Drone Navigation for IoT Data Gathering: A Hybrid Deep RL-GNN Framework with Energy-Aware Path Planning
[ACM] 2026-5-19 | Deep Learning Based Side-Channel Attack on Polynomial Multiplication in Post-Quantum Cryptography
[ACM] 2026-5-18 | FastGNAS: Accelerating and Scaling Graph Neural Architecture Search on Multi-GPUs via Ring-Based Model Migration
[ACM] 2026-5-18 | Differentially Oblivious Multi-way Join
[ACM] 2026-5-18 | Beyond Maximum Common Subgraph: A Framework Maximizing Shared Computation for Multi-Query Subgraph Matching
[ACM] 2026-5-18 | O3-LSM: Maximizing Disaggregated LSM Write Performance via Three-Layer Offloading
[IEEE] 2026-5-18 | Benchmarking Open-Loop Central Pattern Generator Controllers for Lower-Limb Exoskeleton Walking Trajectories
[IEEE] 2026-5-18 | Probabilistic Modeling of Human Driver’s Natural Behavior Distribution: An Ensemble Learning and GMM Framework for Car-Following Model
[IEEE] 2026-5-18 | Attenuation Correction for Flexible MR Hardware in PET/MR Using MLAA-Guided Template Registration
[IEEE] 2026-5-18 | TES Bolometer Design and Testing for the Tomographic Ionized-carbon Mapping Experiment Millimeter Array
[IEEE] 2026-5-18 | Hybrid Adversarial Retraining Approach For A Proactive Network Intrusion Detection System
[IEEE] 2026-5-18 | End-To-End Imitation Learning for Socially Aware Navigation using Memory-based Trajectory and Action Planning
[ACM] 2026-5-18 | SPALM: A Sparsity-Pattern-Adaptive Library for Matrices
[IEEE] 2026-5-18 | TechRxiv: Share Your Preprint Research With the World!
[IEEE] 2026-5-18 | Energy-Entropy Based Intelligence Factor for Artificial Neural Networks
[IEEE] 2026-5-18 | Volume Encoding Gaussians: Transfer Function-Agnostic 3D Gaussians for Volume Rendering
[IEEE] 2026-5-18 | High-density, Identified Cell Recordings from Motor Cortex of Awake Behaving Macaques using Multiple 1024-channel CMOS Probes
[IEEE] 2026-5-18 | FORM-IDS: A Lightweight yet High-Fidelity Intrusion Detection Framework via Formal Verification and Knowledge Distillation
[IEEE] 2026-5-19 | Automated Transformation of Temporal Conceptual Models into Cassandra Schemas
[IEEE] 2026-5-18 | Automated Binary Code Analysis Technology Enhanced by Variable Knowledge Graph
[IEEE] 2026-5-18 | A Unified Semantic Space-Based Backend Frame-work for Speech Spoofing Detection
[IEEE] 2026-5-18 | Random Forest Driven Dietary Habit Analysis and Preventive Health Prediction for Intelligent Nutrition Management
[IEEE] 2026-5-18 | Cyclic Interference Alignment with Equal-Length Messages for Two-User X Channels with Non-Integer Propagation Delays
[IEEE] 2026-5-18 | Plant Disease and Pest Detection: A Lightweight Deep Learning Framework for Agricultural Diagnostics
[IEEE] 2026-5-18 | Semi Circular Crown Shaped UWB Antenna
[IEEE] 2026-5-18 | ENAS-CoAtNet: Neural Architecture Search for sEMG-Based Fatigue Detection with Convolution Attention Networks
[IEEE] 2026-5-18 | PVAdoptAgent: Simulating Residential Photovoltaic Adoption via an LLM Framework with Dynamic Decision Intervals
[IEEE] 2026-5-18 | Integrating Large Models with RAG Technology: An Applied Research on Enterprise Intelligent Q&amp;A Assistants
[IEEE] 2026-5-18 | Dynamic Grounding Coordination for Sim-to-Real Transfer in Multi-Agent Traffic Control
[IEEE] 2026-5-18 | Lightweight Encryption and Cross-Domain Collaborative Security Management Technologies for Low-Altitude Intelligent Networks
[IEEE] 2026-5-18 | A Resilient Machine Learning Framework for Adversarially Robust Intrusion Detection in IoT Environments
[IEEE] 2026-5-18 | Agent Evolution: Capability-Mechanism Co-evolution
[IEEE] 2026-5-18 | Imitation-Pretrained Q-Guided Diffusion Policy for Sample-Efficient Autonomous Driving
[ACM] 2026-5-18 | Proceedings of the 2026 IEEE/ACM 2nd International Workshop on Neuro-Symbolic Software Engineering
