[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[ACM] 2025-11-21 | PolarVisor: Clutter-free, Electronics-free Fiducial Markers for mmWave Radars Printed on Paper
[ACM] 2025-11-21 | Medusa: Scalable Multi-View Biometric Sensing in the Wild with Distributed MIMO Radars
[ACM] 2025-11-21 | From Voice to Ads: Auditing Commercial Smart Speakers for Targeted Advertising based on Voice Characteristics
[ACM] 2025-11-21 | Poster: Beyond IP: Amateur Radio PSKReporter as a Crisis Measurement Tool
[ACM] 2025-11-21 | LACeS: An Open, Fast, Responsible and Efficient Longitudinal Anycast Census System
[ACM] 2025-11-21 | Myo-Trainer: A Vision-based Muscle-Aware Motion Feedback System for In-Home Resistance Training
[ACM] 2025-11-21 | Ghost Points Matter: Far-Range Vehicle Detection with a Single mmWave Radar in Tunnel
[ACM] 2025-11-21 | Experience Paper: Adopting Activity Recognition in On-demand Food Delivery Business
[ACM] 2025-11-21 | AD-AVSR: Asymmetric Dual-stream Enhancement for Robust Audio-Visual Speech Recognition
[ACM] 2025-11-21 | Poster: Towards Privacy-Preserving and Personalized Smart Homes via Tailored Small Language Models
[IEEE] 2025-11-21 | VCRIS 2025 Copyright Page
[IEEE] 2025-11-21 | Maximum Torque per Ampere Control for IPMSM based on Sliding Mode Extremum Seeking Control without Steady-state Oscillation
[IEEE] 2025-11-21 | On the Response Time constant of Interface Defects in Accumulation
[IEEE] 2025-11-21 | Enhancing PROSAIL Inversion: Key Considerations and Practical Insights_supp1-3635001.png
[IEEE] 2025-11-21 | Location Privacy Protection Method Based on Local Differential Privacy in Crowdsensing With Approximately Accurate Task Allocation
[IEEE] 2025-11-21 | SAM-Guided State Space Model Feature Enhance Network for Remote Sensing Segmentation
[IEEE] 2025-11-21 | Enhancing PROSAIL Inversion: Key Considerations and Practical Insights_supp3-3635001.png
[IEEE] 2025-11-21 | A Unified Behavioral Model for 1.2 kV SiC MOSFETs and JBSFETs Covering Forward and Reverse Operations
[IEEE] 2025-11-21 | Denoising for Magnetic Anomaly Data Using a Progressive U-Net Framework
[IEEE] 2025-11-21 | Redundant Strategy of T-Type DC/DC MMC Based on Harmonic Injection and Reactive Power Injection for Submodule Failure
[IEEE] 2025-11-21 | Beyond Problem Solving: Framing and Problem–Solution Co-Evolution in Data Visualization Design
[IEEE] 2025-11-21 | Rethinking Rotation-Invariant Recognition of Fine-grained Shapes from the Perspective of Contour Points
[IEEE] 2025-11-21 | CoCFL: A Lightweight Blockchain-Based Federated Learning Framework for Large-Scale IoT Cluster
[IEEE] 2025-11-21 | Modeling and Tracking Control of Nondifferentiable Sandwiched Dynamic Systems: Case Study on Gear Transmission Servo Systems
[IEEE] 2025-11-21 | Progress in the Realization of Solid-State ICRH Transmitters for DTT
[IEEE] 2025-11-21 | Performance Limits and Probabilistic Shaping in PPM Optical Links with Multi-Pixel SPDs
[IEEE] 2025-11-21 | An Autoethnography on Visualization Literacy: A Wicked Measurement Problem_supp1-3634792.pdf
