[2026-07-11 10:16:08] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[ACM] 2026-7-10 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
[ACM] 2026-7-10 | Systematic Comparison and Improvement of Pre-silicon Leakage Analysis Tools
[ACM] 2026-7-10 | Compiling Linear Algebra Workloads from C to Quantum Circuits via Multi Level Intermediate Representation
[ACM] 2026-7-10 | Proceedings of the Genetic and Evolutionary Computation Conference
[ACM] 2026-7-10 | Reasoning for IR &amp; IR for Reasoning
[ACM] 2026-7-10 | TM-Bench: Benchmarking Large Language Models on Low-Resource Traditional Mongolian
[ACM] 2026-7-10 | RegionSLM: Region-aware Question Answering on Document Screenshots
[ACM] 2026-7-10 | Retrieval-Augmented Contrastive Learning for Dynamic Graph Anomaly Detection
[ACM] 2026-7-10 | Same Frequency Begets Shared Interests: Popular-Niche Wavelet Graph Learning for Multimodal Recommendation
[ACM] 2026-7-10 | EasyRAG: A Beginner-Friendly and Interactive Framework for Retrieval-Augmented Generation
[ACM] 2026-7-10 | ProEchoMem: Enhancing Long Video Understanding via Multi-Trace Probe-Echo Memory
[ACM] 2026-7-10 | Multimodal Large Language Models with Adaptive Preference Optimization for Sequential Recommendation
[ACM] 2026-7-10 | SciCheck: Reasoning Distillation for Biomedical Claim Verification
[ACM] 2026-7-10 | Generation-Augmented Video Corpus Moment Retrieval
[ACM] 2026-7-10 | Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation
[ACM] 2026-7-10 | Surface-Form Neural Sparse Retrieval: Robust Fuzzy Matching for Industrial Music Search
[ACM] 2026-7-10 | Agentic Search in the Wild: Intents and Trajectory Dynamics from 14M+ Real Search Requests
[ACM] 2026-7-10 | When and How to Ask: Dynamic Preference Elicitation Strategies for Conversational Recommendation
[ACM] 2026-7-10 | Too Many Questions: Deriving Concise and Effective Nugget Banks
[ACM] 2026-7-10 | Search for Coverage: Learning Coverage-Aware Retrieval with Augmented Sub-Question Answerability
[ACM] 2026-7-10 | mKG-RAG: Leveraging Multimodal Knowledge Graphs in Retrieval-Augmented Generation for Knowledge-intensive VQA
[ACM] 2026-7-10 | UGenLah: A Human-in-the-loop Agentic Paradigm for Game Development
[ACM] 2026-7-10 | Human Digital Twins for Sharing and Accessing Tacit Knowledge in University Research Labs
[ACM] 2026-7-10 | Adjunct Proceedings of the 5th Annual Symposium on Human-Computer Interaction for Work
[IEEE] 2026-7-10 | 2026 IEEE European Test Symposium (ETS)
[IEEE] 2026-7-10 | Network Reliability Assessment for Manufacturing Systems with Binning
[IEEE] 2026-7-10 | How Testing must change in the age of AI processors, Silent Data Corruption Failures and 100s of Chiplets
[IEEE] 2026-7-10 | Modified End Bonding of Cross-Bonded Cables Terminated at Non-Uniform Minor Sections
[IEEE] 2026-7-10 | TFBF: Temporal-Frequency Bidirectional Fusion for Action Quality Assessment
[IEEE] 2026-7-10 | Multi-source Data Fusion-Driven High-Frequency Electric Vehicles Trajectory Reconstruction with Segment-Level Traffic Conditions
[IEEE] 2026-7-10 | Using English-based NLP Tools for Domain-specific Text in Foreign Languages
[IEEE] 2026-7-10 | Design and Experimental Evaluation of a Bidirectional Magnetic Soft Diaphragm Pump_supp3-3703007.mp4
[IEEE] 2026-7-10 | Golden-Style Graph Alignment for Cross-Dataset EEG Emotion Recognition
[IEEE] 2026-7-10 | Phase-Modulated Dual-Frequency Fiber Lasers: A Power Scalable and Temporally Stable Architecture for High-Power Systems With Enhanced Nonlinearity Suppression
[IEEE] 2026-7-10 | Enhancing Power Distribution System Resilience through Insurance Mechanisms: An Insurer Optimization Approach with V2G Aggregator Participation
