[2026-08-23 21:10:20] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | Constructive characterisations of the
                    <scp>must</scp>
                    -preorder for asynchrony
[ACM] 2026-8-22 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[ACM] 2026-8-22 | A SERF-OPM Magnetocardiography Feature-Based Model for Early Post-PCI Recovery Assessment in Unstable Angina -- From high-dimensional MCG features to an interpretable continuous recovery score
[ACM] 2026-8-22 | Toll-like Receptor and Gut Microbiome Interactions: A CiteSpace and VOSviewer-based Bibliometric Analysis (2005-2024)
[ACM] 2026-8-22 | CAM-Guided Radiology Report Generation
[ACM] 2026-8-22 | Research on Adaptive Motion Control of Snake-Inspired Soft Actuation in Upper Limb Rehabilitation Exoskeletons
[ACM] 2026-8-22 | Decentralised and Dynamic Reputation Management Model For Smart Mobility Using A Smart Contract
[ACM] 2026-8-22 | Medical Large Language Model Based on Dynamic Retrieval-Augmented Generation Strategy
[ACM] 2026-8-22 | PDDock: High-Accuracy Blind Protein-Ligand Docking via Dynamic Pocket Prediction and Adaptive Coordinate Refinement
[ACM] 2026-8-22 | Design of Smart Infusion Assistance System Based on STM32
[ACM] 2026-8-22 | Prediction of protein structure based on CNN-BiLstm
[ACM] 2026-8-22 | Evaluation System of Home Pulmonary Rehabilitation Effectiveness for Patients with COPD Based on Wearable Inertial Sensors and Remote Monitoring Platform
[ACM] 2026-8-22 | MFDA-Net: A Multi-scale Frequency-aware Denoising Attention Network for EEG Signal Denoising
[ACM] 2026-8-22 | Interpretable Multi-horizon Risk Stratification for Alzheimer' s Disease: A Clinical Feature-Based Approach Without Neuroimaging
[ACM] 2026-8-22 | ICER: A Universal Clinical Dual-Loop Agent for Adaptive Evidence Refinement in Long-Context EHRs
[ACM] 2026-8-22 | Two-Sample Mendelian Randomization Study on Anxiety Disorders and Angina Pectoris Based on Computational Biology Methods
[ACM] 2026-8-22 | Chinese Painting Semantic Resource for Resolution-Aware Digitisation and Structured Heritage Access
[ACM] 2026-8-22 | Simulation modeling and Experimental Validation of Cranial Electric Fields Based on Temporal Interference Stimulation
[ACM] 2026-8-22 | Turning Parser Errors into Suggestions for REPL-Driven DSLs (Functional Pearl)
[ACM] 2026-8-22 | MsOrgDet: A Multi-scale Progressive Fusion Network for Organoid Object Detection
[ACM] 2026-8-22 | Spatiotemporal Feature Learning via Transformer and LSTM for Affective Computing Using fNIRS
[ACM] 2026-8-22 | Comparative Genomic Analysis of Human- and Swine-Origin Staphylococcus aureus ST398: Revealing Host Adaptation Characteristics and Cross-Species Transmission Patterns
[ACM] 2026-8-22 | Digital Twin-Driven OCT Probe Guidance via Group-Relative Soft Actor-Critic
[ACM] 2026-8-22 | LHMM-Net: A Lightweight Hybrid Multi-scale Mamba Network with 2.5D Representation for Early Alzheimer' s Disease Diagnosis
[ACM] 2026-8-22 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-8-22 | How Does Motion-to-Photon Latency Influence the Perception-Action Loop
