[2026-09-23 23:16:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-22
正在获取论文...
[arXiv] 2026-09-22 | SurgGraph: Quantitative Laparoscopic Video Understanding via Geometry-Grounded Scene Graphs
[arXiv] 2026-09-22 | Möbius Maps, Reflections and Lipschitz Constants
[arXiv] 2026-09-22 | Contact-Stable Deformable Tissue Simulation Using Implicit Integration and Live-Pose Grasp Constraints for Laparoscopic Surgery Robot Policy Evaluation
[arXiv] 2026-09-22 | What Drives Hierarchy-Aware Image Retrieval? Taxonomy Alignment, Objective Choice, and Geometry
[arXiv] 2026-09-22 | Shallow to Deep: Aligning Token Pruning with Stage-wise Roles in LVLMs
[arXiv] 2026-09-22 | Fitting Moving Objects in Up-The-Ramp Data with Applications to the Roman Space Telescope and JWST
[arXiv] 2026-09-22 | Orbital Optical Chirality as the Origin of Vortex Dichroism
[arXiv] 2026-09-22 | MachEmbodied-U0: Unified Understanding and Generation Model for Embodied Intelligence
[arXiv] 2026-09-22 | Behaviors near infinity for mutually enhancing continuous-state population dynamics
[arXiv] 2026-09-22 | Semi-Universality of $O(N)$ model on $S^1\times S^2$
[arXiv] 2026-09-22 | The Quest for Superheavy Nuclei: A Theoretical Perspective
[arXiv] 2026-09-22 | Relative Contact Velocity-Controlled Hand-Object Mechanism for Dexterous Tool Manipulation
[arXiv] 2026-09-22 | SRF-SVB: Style-Consistent Singing Voice Beautifying via Rectified Flow
[arXiv] 2026-09-22 | ArticleMiner: Ontology-Guided Knowledge Graph Construction from Scientific Publications
[arXiv] 2026-09-22 | Efficient Ion-Photon Quantum Interface with Long-Working-Distance Exceeding 26 mm
[arXiv] 2026-09-22 | Resonant multi-harmonic acousto-optics for programmable frequency control of visible light in a CMOS platform
[arXiv] 2026-09-22 | Contracting under Misspecification
[arXiv] 2026-09-22 | Model Fractional Quantum Hall States on Lattices: Exact Parent Hamiltonians and Routes to Realization
[arXiv] 2026-09-22 | EMGBlend: Heterogeneity-Aware Self-Supervised Pretraining for Gesture and Force Decoding
[arXiv] 2026-09-22 | Gaze responses to false-positive computer-aided detection prompts during colonoscopy: a paired-video and real-time eye-tracking study
[arXiv] 2026-09-22 | Leader-follower Attitude Synchronization of Rigid-body Systems on SO(3)
[arXiv] 2026-09-22 | Rethinking Backdoor Repair Evaluation: Distinguishing Aggregate Clean Utility from Benign Performance Preservation
[arXiv] 2026-09-22 | SambaGraph: Action-Reaction Spatio-Temporal Graphs for Soccer Tactical Response Modeling
[arXiv] 2026-09-22 | AkasicMEM: Governed Enterprise Memory for Agents
[arXiv] 2026-09-22 | Order automorphisms of partial isometries in $M_n(\mathbb C)$
[arXiv] 2026-09-22 | Pointwise provable equality and the failure of composition
[arXiv] 2026-09-22 | Scalable Terbium-149 Production from Highly Enriched Gadolinium-150 Targets
[arXiv] 2026-09-22 | 5DSTEM of Liquid-Phase Nanocrystal Growth Bridges Ensemble Kinetics and Nanoscale Dynamics
[arXiv] 2026-09-22 | Centroid Angle Estimation of Multiple Scatterers Using Monopulse Radar with Frequency Diversity
[arXiv] 2026-09-22 | DefaultGNN: A Dual-Perspective GNN Framework for Predicting Corporate Default from Buyer-Seller Transaction Networks
[arXiv] 2026-09-22 | An Empirical Analysis of Cross-OS Portability Issues in Python Projects
[arXiv] 2026-09-22 | Evidence for the emergence of stellar magnetic fields during rapid mass transfer
[arXiv] 2026-09-22 | Quadratic Gravitational-Wave Scattering by Kerr Black Holes
[arXiv] 2026-09-22 | Large-scale chaos in restricted hierarchical triples driven by short-range forces
[arXiv] 2026-09-22 | Spacetimes of maximal proper acceleration and muon mean lifetime
[arXiv] 2026-09-22 | Harmonic Map Heat Flow Coupled to a Green-Potential
[arXiv] 2026-09-22 | The Impact of Deep Care Isa on Reducing Musculoskeletal Disorders and Enhancing Productivity Among Office Employees: A Comprehensive Study
[arXiv] 2026-09-22 | COBRA: A Content-Agnostic Framework for Zero-Day Detection of Suspicious Domains
[arXiv] 2026-09-22 | Delving into Asymmetric Information Dynamics for High-Fidelity Virtual Try-On
[arXiv] 2026-09-22 | Compact Vaisman and l.c.K. manifolds with nonnegative bisectional curvature
[arXiv] 2026-09-22 | The large sieve through Parseval, Large sifted sets are regular
[arXiv] 2026-09-22 | Feasibility Study of $e^+e^-\to η_cJ/ψ$ Production and Fully-Charmed Tetraquark Searches at STCF
[arXiv] 2026-09-22 | Isolated Sign Language Recognition for Icelandic Sign Language: Experiments in a Low-resource Setting
[arXiv] 2026-09-22 | MatchFusion: Explicit-Implicit Instance Matching for Spatio-Temporal Multimodal Autonomous Driving
[arXiv] 2026-09-22 | BELXTR: Biomedical Entity Linking via Contextualized Token Retrieval
[arXiv] 2026-09-22 | A Multirate Transient Simulation Technique for Circuits described by Integro-Differential Equations
[arXiv] 2026-09-22 | Less Is More in the Long Tail: Stage-Adaptive Sample Selection for Annotation-Efficient Dense Prediction
[arXiv] 2026-09-22 | Metric-Bench: Exploring In-context Spatial Metric Reasoning in VLMs for Indoor Scenes
[arXiv] 2026-09-22 | Double integral representation in the invariant masses of a composite system and nonperturbative calculation of the asymptotics of light-meson electromagnetic form factors
[arXiv] 2026-09-22 | PartLLM: A Unified Multimodal Foundation for 3D Part Segmentation
[arXiv] 2026-09-22 | Anisotropic Kernel-based Multilevel Interpolation of High-Dimensional Functions on Sparse Grids
[arXiv] 2026-09-22 | Beyond Reconstruction Error: Analytical and Data-Driven Action Tokenization for Autoregressive Vision-Language-Action Models
[arXiv] 2026-09-22 | MorphoSHAP: Rethinking the Unit of Attribution in Explanation for Deep Visual Models
[arXiv] 2026-09-22 | Secure ISAC with Sensing Privacy under Eavesdropper Uncertainty
[arXiv] 2026-09-22 | Grouped Semi-Supervised Estimation of Two-Sample Functionals via Single-Index Conditional Imputation
[arXiv] 2026-09-22 | Finite and Dynamic Stability Horizons for Nearest-Neighbor Future Structures
[arXiv] 2026-09-22 | Cross-Medium Technology Transfer for RF Integrated Sensing and Communications
[arXiv] 2026-09-22 | Towards Omni-dimensional GUI Agent Navigation with Masked Trajectory Prediction
[arXiv] 2026-09-22 | Neurosymbolic Action Model Learning under Partial Observability
[arXiv] 2026-09-22 | Improved Algorithms for the Remote Point Problem
[arXiv] 2026-09-22 | Gabriel Spectrum of Persistence Categories
[arXiv] 2026-09-22 | Photon-Statistics Control of Strong-Field Rydberg-State Excitation
[arXiv] 2026-09-22 | Zero-Run Spectra of the $(3,2)$ Raney numbers Modulo Primes
[arXiv] 2026-09-22 | Fysiverse-3D-Vision Technical Report: Generating Executable 3D Worlds from Images through Unified Spatial Reasoning
[arXiv] 2026-09-22 | Scalable Extended-Target Handover in Distributed Integrated Sensing and Communication
[arXiv] 2026-09-22 | Realization of quantum spin Hall insulator superlattice with emergent multigap-like helical edge states
[arXiv] 2026-09-22 | Toward Service-Balanced ISAC: From Coupled RAN to De-Coupled RAN
[arXiv] 2026-09-22 | The Failure of Simultaneous Quantum Typicality
[arXiv] 2026-09-22 | A common interleaver for two antichain polynomials on $[k]$$\times$ $P_{n,s}$
[arXiv] 2026-09-22 | LingLan: An Advancing Traditional Chinese Medicine Diagnosis LLM with Multimodal Data
[arXiv] 2026-09-22 | Asymptotic Stability of Steady Prandtl Equations with Suction
[arXiv] 2026-09-22 | Fully Byzantine-Resilient Multi-Agent Reinforcement Learning
[arXiv] 2026-09-22 | Open Quadratic Optimization Programs
[arXiv] 2026-09-22 | Graph Domain Adaptation Does Not End with Representation Learning
[arXiv] 2026-09-22 | MotionForge: A Data Generation Pipeline and Large-Scale Benchmark for Long-Horizon Manipulation of Dynamic Objects with Domain Shifts
[arXiv] 2026-09-22 | SG-CPG: Severity-Gated Central Pattern Generators for Adaptive Quadruped Locomotion under Continuous Actuator Degradation
[arXiv] 2026-09-22 | C-to-Rust Fallacy: Automatic Refactoring != Memory Security
[arXiv] 2026-09-22 | Toolcompass: Guiding Tool Trialing, Not Suppressing It
[arXiv] 2026-09-22 | Teaching Reinforcement Learning and Humanoid Robotics to High-School Students: An Expert-Validated Curriculum Design on a Low-Cost Open Platform
[arXiv] 2026-09-22 | Post-selected enhancement of phase sensitivity in a two-path interferometer
[arXiv] 2026-09-22 | Global dynamics and asymptotic stability for a nonlocal LANS-$α$-type system
[arXiv] 2026-09-22 | History-Conditioned Flow Matching for Probabilistic Dynamics of Tendon-Driven Continuum Robots
[arXiv] 2026-09-22 | Extremal spectral radius of nonregular graphs with a fixed odd maximum degree
[arXiv] 2026-09-22 | A sharp density bound for 5-connected graphs with no $\Ke$ minor
[arXiv] 2026-09-22 | Semileptonic Decays of Heavy Vector Mesons in Hard-Wall AdS/QCD with $N_{f}=5$
[arXiv] 2026-09-22 | Are there really some eccentric eclipsing binaries having orbital periods below 1 d?
[arXiv] 2026-09-22 | Small-energy regularity for stationary weak solutions of the Liouville equation
[arXiv] 2026-09-22 | MICRO: Multi-Fidelity Active Search for Severe Error Discovery
[arXiv] 2026-09-22 | Sample-Based Prophet Inequalities for Random Walks
[arXiv] 2026-09-22 | Structural Complexity of Matching-Match: Dense and Sparse Graphs
[arXiv] 2026-09-22 | Manipulation with Stability Guarantees: Linear Deformable Objects with Non-negligible Physical Response Grasped at Multiple Location
[arXiv] 2026-09-22 | C 1s core-level fingerprints of reconstructed titanium vacancies in titanium carbide
[arXiv] 2026-09-22 | Einstein Probe discovery of the magnetar EP J223759.5+531421
[arXiv] 2026-09-22 | Intrinsic dynamical shadowing of point vortices and finite time singularities
[arXiv] 2026-09-22 | Receiver-Side Physics-Informed Residual Digital Twin for Predictive Fine Tracking in Inter-Satellite Optical Links
[arXiv] 2026-09-22 | Integrated Optical Receiver for Communication and Fine Tracking in Inter-Satellite Links
[arXiv] 2026-09-22 | IXPE observation of the new magnetar source EP J223759.5+531421
[arXiv] 2026-09-22 | Flux: Optimal Scheduling of Optical Circuit Switches for LLM Training
[arXiv] 2026-09-22 | Challenges of Multi-Speaker Extraction for Real Conversational Speech Enhancement
[arXiv] 2026-09-22 | ClusterFewshot: Improving Few-shot Optimization for LLMs workflow
[arXiv] 2026-09-22 | Conditional Tensor Diffusion: Distributional Counterfactual Learning and Inference
[arXiv] 2026-09-22 | Hydrozoan: Latency-Adaptive DAG Consensus under Mixed Byzantine and Crash Faults
[arXiv] 2026-09-22 | Combining Hierarchical Cognitive Process with Process Supervision for Interpretable Scene Safety Understanding
[arXiv] 2026-09-22 | Finite bases and joins for semirings defined by the divisibility order
[arXiv] 2026-09-22 | An enhanced track reconstruction for the CMS experiment at the HL-LHC
[arXiv] 2026-09-22 | DHSched: Stateless Control for Stateful Real-Time Avatar Serving
[arXiv] 2026-09-22 | HYDRA: Proactive Android Malware Drift Adaptation via Hierarchical Graph Contrastive Learning
[arXiv] 2026-09-22 | Uniform Stability of degenerate Oleinik shock and rarefaction waves under large perturbations
[arXiv] 2026-09-22 | A relook at a low reheating temperature: Freeze-in versus Freeze-out
[arXiv] 2026-09-22 | Rainbow spanning configurations in uniformly coloured pseudorandom graphs
[arXiv] 2026-09-22 | Geometric Detection and Finiteness of Crystalline Local Systems
[arXiv] 2026-09-22 | TriWorldBench: A Tri-View Consistency Perspective on Embodied World Models
[arXiv] 2026-09-22 | Rethinking Pairwise Token Interaction in Spiking Transformers
[arXiv] 2026-09-22 | Linear Temporal Structure and Short-Term Persistence of Conflict Activity in Middle Eastern Countries
[arXiv] 2026-09-22 | Manipulation of Deformable Linear Objects Using Model Predictive Path Integral Control with Bidirectional Long Short-Term Memory Learning
[arXiv] 2026-09-22 | HARMONY: Hierarchical Agentic Reasoning for MONocular Image-to-Scene Synthesis
[arXiv] 2026-09-22 | Fully Discrete Multi-Entropy Stability of High-Order Schemes for Compressible MHD: A Weak-to-Strong Framework
[arXiv] 2026-09-22 | Error Suppression in Distributed Quantum Computing with Heterogeneous-Distance Lattice Surgery
[arXiv] 2026-09-22 | StableVQ: Practical Guidelines for Stable Vector-Quantized Tokenizer Training
