[2026-07-31 11:29:59] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-30
正在获取论文...
[arXiv] 2026-07-30 | Diversifying Personalized Research Ideation against AI-Induced Homogenization
[arXiv] 2026-07-30 | Layered Architecture for Mobile Intelligence
[arXiv] 2026-07-30 | Beamforming and Phase Shift Design for STAR-RIS Assisted Secure Sensing and Communication in ISAC Systems
[arXiv] 2026-07-30 | Chem World: A Large-Scale Benchmark and Physics-Informed Framework for Trustworthy Chemical Property Prediction
[arXiv] 2026-07-30 | BladeYOLO: Wind Turbine Blade Defect Detection with Limited Annotations and Weak-Saliency Awareness
[arXiv] 2026-07-30 | Slow-light-enhanced Atomic Frequency Comb Quantum Memory in Stoichiometric EuCl$_3 \cdot$ 6D$_2$O
[arXiv] 2026-07-30 | A data-driven stage-structured host-parasitoid model for optimizing Trichogramma interventions against soybean pod borer (Leguminivora glycinivorella) outbreaks
[arXiv] 2026-07-30 | Inferring Coupling Strengths in Synchronized Oscillators
[arXiv] 2026-07-30 | Learning features from Newton's algorithm: a way to accelerate nonlinear parametrized PDE solvers
[arXiv] 2026-07-30 | Scaling theory of decoherence in Dicke superradiance
[arXiv] 2026-07-30 | Split and Drive: Dual-Axis Disentanglement for Real-Time Gaussian Head Avatars
[arXiv] 2026-07-30 | Intersections of Dragon Curves of the 18th Iteration
[arXiv] 2026-07-30 | Mapping the influence of symmetry breaking in structure-property relationships of ABO$_3$ perovskites
[arXiv] 2026-07-30 | Unification of Quantum Graph Properties
[arXiv] 2026-07-30 | Building a User Foundation Model for the Open Web
[arXiv] 2026-07-30 | Semi-Dirac semi-metals quantum dots
[arXiv] 2026-07-30 | RepBench: Compiling Benchmarks into Capability Representations for Large Language Models
[arXiv] 2026-07-30 | Beyond Classification: Pathology Foundation Models as Detection Encoders for Mitotic Figures
[arXiv] 2026-07-30 | MMLDSum-LLM: Multimodal Long-Document Summarization with Visual-Alignment and Keyword-Aware
