[2026-09-22 23:20:24] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[arXiv] 2026-09-21 | Transporting summary measures of relative effects from randomised trials to the treated patient population: an application to breast cancer endocrine therapy
[arXiv] 2026-09-21 | A Chaining Approach to Canonical Processes with Log-Concave Tails
[arXiv] 2026-09-21 | A Nonlinear Physics-based Reduced Order Model with Convolutional-based Operator Compression
[arXiv] 2026-09-21 | Toward GPU-Resident Climate Models: A Feasibility Study on Lossy Compression for the Spherical Harmonic Transform's Communication Bottleneck
[arXiv] 2026-09-21 | TTSE: A Two-Track Online Self-Evolution Framework
[arXiv] 2026-09-21 | Circuit-Architecture-Training Co-Design with Regenerative-SA Similarity Sensing for Aggressive SAR Skipping in Analog Compute-in-Memory
[arXiv] 2026-09-21 | Quantum many-body framework for passive-scalar turbulence
[arXiv] 2026-09-21 | Electronic-Entropy-Driven Phase Transitions in Compressed Iron Oxides
[arXiv] 2026-09-21 | Temporal Generalization and Explanation Stability of Control Flow Graph Neural Networks for Malware Detection
[arXiv] 2026-09-21 | vla.simd: Efficient CPU Inference for Language-Conditioned Manipulation
[arXiv] 2026-09-21 | Unsupervised Brain Anomaly Detection as a Bayesian Inverse Problem with Diffusion Prior
[arXiv] 2026-09-21 | Canonical Procedural Actions: An Auditable Annotation Protocol for Tool-Use Agent Traces
[arXiv] 2026-09-21 | Equivalent Modeling of Load-Side Systems With Distributed Renewable Generation Considering Fault Responses and Nodal Voltage Coherence
[arXiv] 2026-09-21 | Adversarially Robust PAC Learning with Optimal VC Rates
[arXiv] 2026-09-21 | A Discretely Entropy Conserving/Stable Flux Reconstruction Scheme via Hybridized Split Form Differential Operator and Generalized Entropy Projection
[arXiv] 2026-09-21 | Memory vs. Context? Influential Factors of Factual Recall in Language Models
[arXiv] 2026-09-21 | IMPLICIT-Bench: Measuring Implicit Bias in Text-to-Image Models under Neutral Prompts
[arXiv] 2026-09-21 | Critical Kasner scaling from Cauchy-horizon collapse near holographic phase transitions
[arXiv] 2026-09-21 | Displacement Geometry Captures Platonic Shared Reality Across Models and Modalities
[arXiv] 2026-09-21 | CoaG: Cylinders on a Grid: Coarse 3D Layout Control for Video Generation
[arXiv] 2026-09-21 | Regular Solutions of the Stationary Navier-Stokes Equations in Arbitrarily High Dimensions
[arXiv] 2026-09-21 | Lightweight Pedestrian Head-Orientation Recognition Network for Safe Pedestrian-Vehicle Interaction
[arXiv] 2026-09-21 | LIMIT: Less Is More for Instruction Tuning in Text-to-SQL
[arXiv] 2026-09-21 | General Leader-Follower Linear-Quadratic Stochastic Graphon Games with Indefinite Control Weights
[arXiv] 2026-09-21 | Multiscale Kinetic Methods for Nonequilibrium Flow and Transport
[arXiv] 2026-09-21 | An Unexpected Robot Policy: Early Evaluations of GPT-6 Astra on RoboDojo and Beyond
[arXiv] 2026-09-21 | APEXA: Execution-Integrity Enforcement for Multi-Agent LLM Automation of Synchrotron Data Reduction
[arXiv] 2026-09-21 | Listen, Critique, and Refine: RL-Based Self-Refinement for Instruction-Following Speech Synthesis
[arXiv] 2026-09-21 | Soliton solution of a gravitating chiral-quark soliton model: dynamical fermion and Dirac-sea in general relativity
[arXiv] 2026-09-21 | TAC-Time: Texts as Channels For Multimodal Time Series Forecasting
[arXiv] 2026-09-21 | Sharp zero estimates for trajectories of polynomial vector fields
[arXiv] 2026-09-21 | Luck Is Not Skill: When Do Paired Rollouts Help Group-Relative RL of LLM Agents?
[arXiv] 2026-09-21 | BayesianGS-SLAM: Uncertainty-Aware Neural Rendering SLAM via Probabilistic Formulation
[arXiv] 2026-09-21 | OSCAR: Order-aware Scoring and Calibration for AI Rankings
[arXiv] 2026-09-21 | ActiveArena: Benchmarking and Understanding Active Perception in Robotic Manipulation
[arXiv] 2026-09-21 | CARE: Experience-Guided Atomic Corrective Execution for Vision-Language-Action Policies
[arXiv] 2026-09-21 | Causal Bayesian Optimization: Foundations, Methods, and Applications
[arXiv] 2026-09-21 | ProbeScout: Visual Analytics for Attribute-Guided Image Search
[arXiv] 2026-09-21 | Reinforcement Learning under State and Outcome Uncertainty: A Foundational Distributional Perspective
[arXiv] 2026-09-21 | When More Evidence Hurts: Publication-Bias Drift and Principled Stopping for Biomedical Causal Search
[arXiv] 2026-09-21 | Bounded chromatic number of graphs with small clique number and large minimum degree
[arXiv] 2026-09-21 | HDND: Hierarchical Dynamic Neural Decoding for Multilingual Word/Character Retrieval from Non-Invasive Brain Recordings
[arXiv] 2026-09-21 | WidgetVA: A Widget-Centric Framework and Benchmark for Agentic Visual Analytics
[arXiv] 2026-09-21 | Trace-distance-based complementarity relations in a multipath interferometer
[arXiv] 2026-09-21 | MECT: Mixture of Experts with CNN-Transformer Network for Speaker verification
[arXiv] 2026-09-21 | A Sample of 459 Galaxy Groups Identified from the FAST All Sky HI Survey DR2
[arXiv] 2026-09-21 | All-in-One Multilingual Scene Text Recognition with Script-aware Mixture-of-Experts
[arXiv] 2026-09-21 | Statistical Fluctuations as Primordial Correlators in the CMB: Finite Chemical Potential Thermodynamics
[arXiv] 2026-09-21 | Interpreting the LZ 248 keV Event using Dark QCD
[arXiv] 2026-09-21 | LoRA-generating hypernetworks for efficient on-device LLM generative personalization
[arXiv] 2026-09-21 | Bayesian Optimization of The Relativistic Heavy Ion Collider Luminosity via $s^*$ Control
[arXiv] 2026-09-21 | RRSI: Regularized Recursive Self-Improvement of Agent Harnesses
[arXiv] 2026-09-21 | Boundedness of geometrically integral $ε$-klt del Pezzo surfaces
[arXiv] 2026-09-21 | Tight entropy contraction beyond detailed balance
[arXiv] 2026-09-21 | Selective Inference for CART with Binary Outcomes
[arXiv] 2026-09-21 | Structured Screen-and-Select for Ultra-High-Dimensional Variable Selection
[arXiv] 2026-09-21 | Efficient Heralding of Loss-Tolerant Photonic GHZ States for Device-Independent Conference Key Agreement over Long Distances
[arXiv] 2026-09-21 | Chiral Carroll string near Schwarzschild black hole
[arXiv] 2026-09-21 | Trajectory-Aware Benchmark Subset Selection for Cost-Efficient Software Engineering Agent Regression Testing
[arXiv] 2026-09-21 | Observational Features of Nonsingular Rotating Black Holes in the Dark-Energy Dominated Universe
[arXiv] 2026-09-21 | Luminosity Signatures of Dark Sector Particles from Black Hole Evaporation in Neutron Stars
[arXiv] 2026-09-21 | Boson Star Factory: Past, Present, and Future
[arXiv] 2026-09-21 | Gauss--Bonnet running and the de Sitter saddle of quadratic gravity inflation
[arXiv] 2026-09-21 | Toward Multi-kW Power Delivery Methodologies for Advanced 3D Heterogeneous Integration
[arXiv] 2026-09-21 | Finite Spectra of Syllogistic Logic with Cardinality Comparisons
[arXiv] 2026-09-21 | Feeding the Circumplanetary Disk: 3D Simulations of Dust Filtration and Accretion in PDS 70 c
[arXiv] 2026-09-21 | Pinocchio: Fast Uncertainty Estimates for Black-Box Language Models
[arXiv] 2026-09-21 | Generating Chest X-Ray Counterfactuals by Specialising Foundation Image Models
[arXiv] 2026-09-21 | SE(3) Neural Potential Fields for 6-DoF Trajectory Planning Directly from Images Without Explicit 3D Reconstruction
[arXiv] 2026-09-21 | Anisotropic Surface State Band Splitting and Low Energy Flat Bands in 3d Correlated Topological Kondo Insulator Candidate FeSb$_2$
[arXiv] 2026-09-21 | Quantitative finite-population approximation of heterogeneous linear--quadratic mean-field control with common noise
[arXiv] 2026-09-21 | Parameter-Free Triangle Counting
[arXiv] 2026-09-21 | When is a closed-form RGB->S/P ratio adequate? A hyperspectral characterization on natural scenes for mesopic display
[arXiv] 2026-09-21 | Uranus: Building the Next-Generation Simulation Infrastructure for Embodied AI
[arXiv] 2026-09-21 | INTCORT: Training-Free Spatial Reasoning Enhancement for Vision-Language Models via Input Transformations and Confidence Routing
[arXiv] 2026-09-21 | Non-Hermitian mode locking in an L-band monolithic InP dual-ring laser
[arXiv] 2026-09-21 | III-V antiphase boundaries are not generated by Si or Ge substrate step edges
[arXiv] 2026-09-21 | H2RBench: A Real-to-Sim Benchmark for Evaluating Human-to-Robot Transfer
[arXiv] 2026-09-21 | Brain Metastases Segmentation for BraTS 2026 Task 1: A Multi-Architecture Comparison
[arXiv] 2026-09-21 | Divergence-free concentrations come from vanishing sequences
[arXiv] 2026-09-21 | Disparity Estimation of Planar Reflective Surfaces Using Specular Reflections From a Single Light Source
[arXiv] 2026-09-21 | Adaptive Cortically Constrained EEG-Vision Alignment for Zero-Shot Brain-to-Image Retrieval
[arXiv] 2026-09-21 | Anatomy-Decomposed Chest Computed Tomography (CT) Projections as Scalable Supervision for Bone Suppression in Chest Radiographs
[arXiv] 2026-09-21 | The exceptional set of a prime and a square
[arXiv] 2026-09-21 | Graph-to-Grid (G2G): Continuous-Coordinate Feature Painting for Soccer Pass Surfaces
[arXiv] 2026-09-21 | Random groups in the square model have property (T) at densities over $\frac{5}{12}$
[arXiv] 2026-09-21 | From 3-crossed modules to Gray-type 4-categories
[arXiv] 2026-09-21 | InterHier: Learning Interconnected Hierarchical Semantics for Open-Vocabulary Object Detection
[arXiv] 2026-09-21 | Scalable Multiple Electron Transport Architectures for Feedback Traceable Current Sources
[arXiv] 2026-09-21 | Monopolist nonlinear pricing in a seller's market
[arXiv] 2026-09-21 | The Common Envelope Evolution Outcome. III. the Improvement of Stellar Binding Energy with the Envelope Residual
[arXiv] 2026-09-21 | Solving non-oscillatory solutions of the Hill equation via the Tumura--Clunie method
[arXiv] 2026-09-21 | Retracing the Process of Translation: Proteome-wide mapping of stable transcriptomic predictors of protein abundance in cancer cell lines
[arXiv] 2026-09-21 | From Ideal Motion to Flight-Executable Communications: LLM-Evolved Multi-UAV Deployment for Cell-Free Massive MIMO
[arXiv] 2026-09-21 | Evaluating the Generalization of Neuroimaging Foundation Models on African Brain MRI
[arXiv] 2026-09-21 | Sufficient and Necessary Smooth Barrier-like Conditions for Continuous-Time Stochastic Reach-Avoid Verification
[arXiv] 2026-09-21 | The $L_p$ Minkowski problem for $C$-close sets: existence and continuity
[arXiv] 2026-09-21 | Divergent strategies and convergent outcomes in autonomous materials discovery
[arXiv] 2026-09-21 | MUSE: Dependency-Aware Adaptation of a Frozen Vision Backbone for Multivariate Time Series Forecasting
[arXiv] 2026-09-21 | On the Topological Transitivity of Interval Extensions of Anosov Diffeomorphisms
[arXiv] 2026-09-21 | The Outer Pressure Problem for the Compressible Navier--Stokes System with Temperature-Dependent Transport Coefficients
[arXiv] 2026-09-21 | Dynamical Schwinger Production of Dipole--Antidipole Pairs in a Fractonic Lattice
[arXiv] 2026-09-21 | End-to-end Jordanian dialect speech-to-text self-supervised learning framework
[arXiv] 2026-09-21 | Second Jacobi eigenvalues and spectral rigidity for surfaces in Berger spheres
[arXiv] 2026-09-21 | Revealing tilt-driven structural heterogeneity in hybrid improper ferroelectrics by spatially-resolved crystallography
[arXiv] 2026-09-21 | Versatile Quantum Machine Learning with an Ultra-low Power Photonic Quantum Reservoir Computer
[arXiv] 2026-09-21 | Information-Time Proximal Policy Optimization
[arXiv] 2026-09-21 | VLM-in-Sandbox: Visual Workspaces for Agentic Visual Reasoning
[arXiv] 2026-09-21 | More Versions of Real Link Floer Homology
[arXiv] 2026-09-21 | LIBERO-VPro: Benchmarking Closed-Loop Visual Robustness of Robotic Foundation Models
[arXiv] 2026-09-21 | The lower bound of shifted primes with large prime factors
[arXiv] 2026-09-21 | LADDER: Graph-Guided Diffusion Language Models for Efficient Multi-Hop Reasoning
[arXiv] 2026-09-21 | Saddle-Order Universality in Ensemble-Averaged Black Hole Thermodynamics
[arXiv] 2026-09-21 | Bubble detachment from circular cavities and flat surfaces
[arXiv] 2026-09-21 | Evaluating the effectiveness of class-level LLM-generated test suites in Python
[arXiv] 2026-09-21 | Pharmacokinetic State Space Models for Unbiased Prediction of Haemodynamic Collapse
[arXiv] 2026-09-21 | LiAuto-MindViT: A Hybrid Vision Backbone with Adaptive Bidirectional Mamba
[arXiv] 2026-09-21 | Multitask Jet Analysis with Vision-Language Models: A Physics-Informed Four-Panel Representation
[arXiv] 2026-09-21 | Brain-Token Learning: Microstate-Based Tokenization and Multi-Scale Interaction for Long-Horizon EEG Sequence Modeling
[arXiv] 2026-09-21 | The Undetected Damage of Quantization on Retrieval and How to Fix It
[arXiv] 2026-09-21 | Performance-Preserving Online Adaptation in Social Navigation via Diffusion Steering
[arXiv] 2026-09-21 | Slave-Rotor and Auxiliary Chain Analysis of the Mott Transition in a Modified Periodic Anderson Model
[arXiv] 2026-09-21 | NeuIDO: Neural Intrinsic Dynamics Operator for Physics-Informed 4D World Models
[arXiv] 2026-09-21 | Uniqueness sets in weighted $\ell^2$-spaces via simultaneous approximation
[arXiv] 2026-09-21 | State-Aware Fuzzing of JavaScript Engines with LLM-Guided Instrumentation
[arXiv] 2026-09-21 | Interior estimates for Hessian quotient equations
[arXiv] 2026-09-21 | Density Collapse and Gradient Catastrophe in a One-Dimensional Euler--Poisson--Cattaneo System
[arXiv] 2026-09-21 | The local Dold congruence for Fibonacci and Lucas sequences
[arXiv] 2026-09-21 | Estimation and Control of Tensegrity Manipulator Kinematics based on Strut Inclination Angles
[arXiv] 2026-09-21 | ME-VLM:A Unified VLM for Embodied Cognition and Agent Coordination
[arXiv] 2026-09-21 | Bridge3D: Enabling Vision-Language-Action Models to See and Act in 3D
[arXiv] 2026-09-21 | Gauge invariants raised from commutators of unimodular Hopf algebras
[arXiv] 2026-09-21 | Not All Task Vectors Need Equal Rank: Energy-Proportional Allocation for Model Merging
[arXiv] 2026-09-21 | A Continuum in the Lattice of Semiring Varieties: The Interval $[\mathsf{V}(S), \mathsf{V}(S^0)]$
[arXiv] 2026-09-21 | InsertAnything: Generalizable Contact-Rich Precision Insertion from Simulation to Reality
[arXiv] 2026-09-21 | 0.5\%>100\%: Bidirectional Reciprocal Learning for Referring Image Segmentation
[arXiv] 2026-09-21 | TACIT: Tactile Contact Supervision for Spatial Attention in Dexterous Manipulation
[arXiv] 2026-09-21 | On Emergent Capabilities and Model Merging
[arXiv] 2026-09-21 | Tensor Completion using Subspace Information
[arXiv] 2026-09-21 | Oblique kink waves in solar coronal streamers
[arXiv] 2026-09-21 | On the existence of divisible non-injective modules over Leavitt path algebras
[arXiv] 2026-09-21 | VPRune: Efficient Training-free Pre-LLM Visual Token Pruning
[arXiv] 2026-09-21 | Charge-free well-posedness and charge-driven norm inflation for the Euler-Maxwell system
[arXiv] 2026-09-21 | Beyond Screen Time: Demonstrating the Value of App Activity Logs to Understand User Behavior Further
[arXiv] 2026-09-21 | MIGA:Shared-Geometry Gaussian Representation with Implicit Amplitude Modeling for Accelerated 3D Multi-Echo MRI
[arXiv] 2026-09-21 | Witness Set in Weak Visibility Polygons is Polynomial-Time Solvable
[arXiv] 2026-09-21 | Dimension-free Riesz transform estimates on biased hypercubes via non-tracial baby Fock models
[arXiv] 2026-09-21 | Density of almost squares of horospherical orbits in non-uniform quotients of $\operatorname{SL}_2(\mathbb{R})\times\operatorname{SL}_2(\mathbb{R})$
[arXiv] 2026-09-21 | D-JEPA: A Decision-Aligned Latent World Model
[arXiv] 2026-09-21 | Three-Layer Intersecting Temperate Families
[arXiv] 2026-09-21 | LLM-based Conversational AI Knowledge Assistant for MyBuddy Humanoid Robot
[arXiv] 2026-09-21 | Particle Acceleration in Stratified 2D MRI Turbulence: From Reconnection to First- and Second-Order Fermi and Shear Acceleration
[arXiv] 2026-09-21 | Observation of Kondo Effect in Rhombohedral Graphene Superlattices
[arXiv] 2026-09-21 | The $\mathbb{Z}$-Divisor Graph on $\mathbb{Q} \cap [1,7]$ is Planar and 3-Colorable
[arXiv] 2026-09-21 | The Role of Non-local Thermal Transport in Flare-Driven Chromospheric Evaporation
[arXiv] 2026-09-21 | "MeBo Leaves a Piece of You Behind": Designing a Relational Voice-Based Memory Companion for Older Adults
[arXiv] 2026-09-21 | Higher Barbell Diffeomorphisms and Watanabe's Clasper Surgery
[arXiv] 2026-09-21 | Sectorial normalisation of one resonant biholomorphisms near a fixed point
[arXiv] 2026-09-21 | Clique-dependent strongly sublinear treewidth and strongly sublinear tree-independence number
[arXiv] 2026-09-21 | Think Like a World Model, Act Like a VLA: Distilling World-Model Representations into Compact Robot Policies
[arXiv] 2026-09-21 | Beyond Endpoint Performance: Process-Level Evaluation of Self-Evolving Agents
[arXiv] 2026-09-21 | DUMA-Bench: A Dual-Control Multi-Agent Benchmark for Evaluating LLM Agent Security
[arXiv] 2026-09-21 | Touch2Robot: Robot Touch in the Human Demonstration Loop
[arXiv] 2026-09-21 | Skew braces of size $p^2q^2$. The cyclic Sylow $q$-subgroup case
[arXiv] 2026-09-21 | Strong NP-Completeness of Unrestricted Balanced Mobiles
[arXiv] 2026-09-21 | Corrective Forcing: Unified Post-Training for Diffusions and Flows in Generative Speech Enhancement
[arXiv] 2026-09-21 | The Value of Duplicate Measurements When Decoding Second-Order Reed-Muller Codes
[arXiv] 2026-09-21 | Multi-wavelength Behaviour and Lepto-hadronic Modeling of PKS 0215+015 Around the Epoch of IceCube-220225A
[arXiv] 2026-09-21 | Custom Named Entity Recognition and Topic Classification for Global Health Publications
[arXiv] 2026-09-21 | Learning tactile perception from high-bandwidth single-point sensing
[arXiv] 2026-09-21 | Structure-Aware Rendering: How Code Reveal Shapes Programmers' Visual Attention
[arXiv] 2026-09-21 | An Exact Operator Formulation of Statistical Quasiparticle Theory for Nonlinear System-Bath Coupling
[arXiv] 2026-09-21 | The Boltzmann-BGK model with nontrivial collision frequency near vacuum
[arXiv] 2026-09-21 | Polyhedral Methods for Cooperative Games: Small Lifts and Hard Faces
[arXiv] 2026-09-21 | Overlay\_dx - Automating forecasting evaluation
[arXiv] 2026-09-21 | Corbino-Enhanced Supersonic Acoustic-Emission Threshold in a GaAs Two-Dimensional Electron System
[arXiv] 2026-09-21 | The Superconducting Talbot Effect in Phased-Array Josephson Junctions
[arXiv] 2026-09-21 | Pushing high angular resolution and high contrast observations on the VLTI from Y to L band with the Asgard instrumental suite: integration status and plans
[arXiv] 2026-09-21 | Mapping class groups of negatively curved four-manifolds
[arXiv] 2026-09-21 | A Reconfigurable Multilayer Quantum Key Distribution Network over Existing Metropolitan Fibre
[arXiv] 2026-09-21 | When Does Touch Matter? Charting the Vision-Interaction Gap in Cluttered Dexterous Grasping
[arXiv] 2026-09-21 | Don't mind the gap: Absolutely Continuous Edge Spectrum in a Mobility Gap
[arXiv] 2026-09-21 | Statistical mechanics of multipartite entanglement in hypergraph states
[arXiv] 2026-09-21 | Lipschitz-free spaces are strongly unique preduals
[arXiv] 2026-09-21 | On random diameters of convex bodies
[arXiv] 2026-09-21 | Rapidly prototyping kagome flat band physics with acoustic metamaterials
[arXiv] 2026-09-21 | EDGEGEN: Improving Tool-Calling Agents Beyond Happy Paths with Synthetic Edge Case Generation
[arXiv] 2026-09-21 | A Proof of the Most Informative Boolean Function Conjecture
[arXiv] 2026-09-21 | 5G-Shark: A Network Security Auditor for 5G Subscriber Privacy and Unauthenticated Signalling Resilience
[arXiv] 2026-09-21 | Fast and accurate astronomical source deblending with Density-Peak Clustering
[arXiv] 2026-09-21 | The Generalized Lax Conjecture for Strictly Hyperbolic Polynomials
