[2026-07-17 10:48:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[arXiv] 2026-07-16 | How Alkali Metal Cations Affect the Structure and Reactivity of the Hydrated Dielectron
[arXiv] 2026-07-16 | Can Tokens Compete? Token Representations against Supervised CNN Backbones for BirdCLEF+ 2026
[arXiv] 2026-07-16 | Boosting Perovskite Light-Emitting Diodes Performance by Introducing High Work-function Metal Transition Layer
[arXiv] 2026-07-16 | Mixed-Agent Museum Tour Guide Design Improves Gendered Learning Outcomes and Visitor Preferences
[arXiv] 2026-07-16 | Memory-Driven Self-Propulsion and Flocking of Chemically Active Droplets
[arXiv] 2026-07-16 | Do Generative AI Assistants Respect robots.txt? Tracing Web Access Beyond Visible Answers
[arXiv] 2026-07-16 | Disclosure Divergence: Measuring Privacy Policy and Data Safety Misalignment at Scale
[arXiv] 2026-07-16 | Improving Dynamical Decoupling for Trapped-Ion QCCD Quantum Computers
[arXiv] 2026-07-16 | Cayley Graphs Of Order $pqrs$ Are Hamiltonian
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[arXiv] 2026-07-16 | Interaction of degenerate higher order modes in periodic SRF accelerating structures
[arXiv] 2026-07-16 | Mask-Aware Policy Gradients for Diffusion Language Models
[arXiv] 2026-07-16 | Type I/II Vortex Dynamics With Excited Normal Modes
[arXiv] 2026-07-16 | T^2MLR: Transformer with Temporal Middle-Layer Recurrence
[arXiv] 2026-07-16 | Benchmarking Multimodal Large Language Models for Scientific Visualization Literacy
[arXiv] 2026-07-16 | Linear representations of grammaticality in neural language models
[arXiv] 2026-07-16 | Landscape analysis for shallow neural networks: Complete classification of critical points for cubic activation and affine target functions
[arXiv] 2026-07-16 | Nonlinear Gravitational Wave Interactions in an Expanding Universe
[arXiv] 2026-07-16 | Spectral study of the outburst decay of the accreting millisecond X-ray pulsar SRGA J144459.2-604207
[arXiv] 2026-07-16 | Assessing Physical Frailty and Fall-Risk Indicators with Social Robots: An in situ Evaluation with Older Adults
[arXiv] 2026-07-16 | The Effect of Heat Loss During the Early Stages of Flame Propagation and Tulip Flame Formation
[arXiv] 2026-07-16 | On the Grothendieck Ring of Finite-Dimensional Non-Degenerate Evolution Algebras
[arXiv] 2026-07-16 | Ultradifferentiable regularity properties of a class of hypoelliptic operators
[arXiv] 2026-07-16 | Absence of blow-up in the 3D Navier-Stokes equations with transport noise
[arXiv] 2026-07-16 | Swift gives a new BAT-GLIMPSE: Gamma-ray Localization using Imaging and Mosaic techniques for Pointing and Slew Epochs
[arXiv] 2026-07-16 | NIFA: Nonlinear IMC enhanced FPGA for efficient ML inference
[arXiv] 2026-07-16 | Growth-controlled suppression of electrically active defects in CrSBr
[arXiv] 2026-07-16 | Thermodynamic theory of voting and EU elections
[arXiv] 2026-07-16 | The order of long rainbow arithmetic progressions
[arXiv] 2026-07-16 | CoSimRec: Measuring Coordinated-Content Penetration in Recommender Feedback Loops
[arXiv] 2026-07-16 | A model with exposure in the epidemiological sense. Part 1 -- Base model
[arXiv] 2026-07-16 | AlphaWiSE: Adaptive Weight Interpolation for Continual Multimodal Representation Learning
[arXiv] 2026-07-16 | A magnetic monopole in a superfluid bubble
[arXiv] 2026-07-16 | Rubrics on Trial: Evolving Rubrics from a Single Query via Synthetic Pairwise Evidence
[arXiv] 2026-07-16 | On a character-twisted analogue of Schäffer's equation
[arXiv] 2026-07-16 | Residual-Based Time Discretization on Nonlinear Approximation Manifolds: Analysis and Gaussian Applications
[arXiv] 2026-07-16 | Investigation of hadronic effects on resonance productions in small collision systems using the EPOS4 model
[arXiv] 2026-07-16 | ANet Patu-1: The Value of Connection in the Agent Network
[arXiv] 2026-07-16 | NFSA: Non-Forward Secure Aggregation with One Server via Two Layer Secret Sharing
[arXiv] 2026-07-16 | Parameter-efficient Prompt Tuning of Vision Foundation Model With Adaptive Focal Loss for Interpretable MCI Screening
[arXiv] 2026-07-16 | Analysis of the Topology of a Plasmonic Target-Skyrmion Texture
[arXiv] 2026-07-16 | Weakly-Supervised RGB-D Salient Object Detection via SAM-driven Pseudo Annotation and State Space Interaction-based Diffusion
[arXiv] 2026-07-16 | Shifted S-templates and improved lower bounds for Schur numbers
[arXiv] 2026-07-16 | URVC: A Unified Real-Time Neural Video Coding Model with Temporal, Spatial, and Perceptual Adaptivity
[arXiv] 2026-07-16 | An asymptotic-preserving five-moment two-species plasma model coupled to an external magnetohydrodynamic solver
[arXiv] 2026-07-16 | cGAP: Generalized Association Plots with HOMALS-Guided Heatmaps for Visualization of High-Dimensional Categorical Data
[arXiv] 2026-07-16 | Quasi-Pfaffian Solutions to Integrable Systems via Sylvester-Moutard Transformations
[arXiv] 2026-07-16 | Flood risk estimation via geometric extremal graphical models
[arXiv] 2026-07-16 | Moral Attitudes of Sentient ASI towards Humanity and Implications for AGI Development
[arXiv] 2026-07-16 | Multimodal Semantic-Aware Contrastive Learning For False Negative Mitigation in 3D Medical Imaging
[arXiv] 2026-07-16 | OmniaBench: Benchmarking General AI Agents Across Diverse Scenarios
[arXiv] 2026-07-16 | 3-VASS Reachability is in EXPSPACE
[arXiv] 2026-07-16 | Scalable Fabrication of Diamond-on-Silica Heterostructures via High-Selectivity Deep ICP-RIE and Room-Temperature Bonding
[arXiv] 2026-07-16 | Parallel analog quantum simulation in homogeneous quantum gases
[arXiv] 2026-07-16 | Graph alignment in sparse inhomogeneous models via self-overlap
[arXiv] 2026-07-16 | DINE: Distance Is Not Enough -- Learning Global Deformation Priors for Robust Soft-Tissue Point Cloud Registration
[arXiv] 2026-07-16 | Frequency-Structured Field Learning for Light-Field Disparity Estimation
[arXiv] 2026-07-16 | Strong $O$-valued contextuality: ruling out discrete nondeterministic alternatives to quantum theory
[arXiv] 2026-07-16 | Spot Profile Analysis Low Energy Electron Diffraction of Plasma-Enhanced Chemical Vapor Deposition Grown Epitaxial Few-Layer Graphene on Sapphire
[arXiv] 2026-07-16 | Classical Symmetries and Painleve Analysis for the (1+3) Kudryashov-Sinelshchikov Equation
[arXiv] 2026-07-16 | Intrinsic Spatial Position Resolution of P-type Point-Contact Germanium Detector
[arXiv] 2026-07-16 | Finite-Sample Conformal Coverage Recovery via Fusion under Degraded Local Guarantees in Occupancy Map Estimation
[arXiv] 2026-07-16 | Global quadratic estimates for degenerate elliptic operators on cylinders
[arXiv] 2026-07-16 | FlashDecoder: Real-Time Latent-to-Pixel Streaming Decoder with Transformers
[arXiv] 2026-07-16 | Leveraging Instruction Tuning and Merging for Reasoning Model Adaptation
[arXiv] 2026-07-16 | Does generative AI supersede supervised XMLC? A Benchmark Study on Automated Subject Indexing with German Scientific Literature
[arXiv] 2026-07-16 | Second-order rigidity of coned polytope frameworks and the stress-flex conjecture from a vector-valued Schläfli formula
[arXiv] 2026-07-16 | Kernel method for Möbius transformations and hyperbolic representations of groups
[arXiv] 2026-07-16 | Asymmetric Peak-Aware Loss for Peak-Critical Time Series Forecasting
[arXiv] 2026-07-16 | Randomized routing strategies of fleets of CAVs may prove market efficient
[arXiv] 2026-07-16 | CAMB v2: cosmological power spectra for high-precision surveys
[arXiv] 2026-07-16 | LIVE-RIS: Real-Time In-Flight Actuation of UAV-Mounted RIS
[arXiv] 2026-07-16 | Thoughtseeds as Latent Causes: A Dual-Process Computational Phenomenology of Focused-Attention Meditation
[arXiv] 2026-07-16 | Spoofer or Spoofers? Estimating a Lower Bound on the Number of DRDoS Sources Using Anycast Honeypots
[arXiv] 2026-07-16 | A Unified Conceptual Framework for Gravitational Instabilities: From Latent System State to Failure
[arXiv] 2026-07-16 | AI Prototyper: A Figma Plugin for Decomposition-Based GUI Prototyping with LLMs
[arXiv] 2026-07-16 | SPH methods in the modelling of compact objects
[arXiv] 2026-07-16 | SevenNet-Polar for MultiTask Prediction of Energy, Forces, Stress, and Born Effective Charges: Development and Application to ZrO$_2$, Li$_3$PO$_4$, and Perovskites
[arXiv] 2026-07-16 | Fuelling the central region of galaxies with misaligned gas accretion
[arXiv] 2026-07-16 | Can LLMs Build a MaxSAT Solver from Papers? The CoreForge Experience
[arXiv] 2026-07-16 | No Universal Multiplicative FDR Bound for the Benjamini-Hochberg Procedure with Correlated Two-Sided Gaussian Tests
[arXiv] 2026-07-16 | RACiMo: Red Ambiental Ciudadana de Monitoreo: A Student-Centred Citizen Science Network for Environmental Monitoring, Data Literacy, and Climate Awareness in Colombia
[arXiv] 2026-07-16 | CrimeNER Demo: Named-Entity Recognition in the Crime Domain
[arXiv] 2026-07-16 | Ground-Side Mission Plan Compilation with Policy-as-Code Guardrails for Cloud-Native Satellite Platforms
[arXiv] 2026-07-16 | Robustness of periodicity in Grover walks under a magnetic vector potential
[arXiv] 2026-07-16 | Transcoders for Investigating Deception in Language Models
[arXiv] 2026-07-16 | Structure-preserving Lagrange-multiplier methods for mean curvature flow and their error bounds
[arXiv] 2026-07-16 | Ultraviolet direct absorption microscopy for single particle protein/nucleic acid quantification
[arXiv] 2026-07-16 | Aperiodicity and subword complexity in the binary expansion of powers of three
[arXiv] 2026-07-16 | ChronoQG: Towards a Temporally Expressive and Hop-Bounded Benchmark for Temporal Knowledge Graph Question Generation
[arXiv] 2026-07-16 | Rare Concept Generation via Counterfactual Inference in Diffusion Models
[arXiv] 2026-07-16 | Riesz potential estimates for non-linear elliptic obstacle problems
[arXiv] 2026-07-16 | FlowGuard: From Signals to Evidence for MCP Security Detection
[arXiv] 2026-07-16 | Orbital Dynamics and Gravitational-Wave Signatures of EMRIs in Self-Dual Loop Quantum Gravity Black Holes
[arXiv] 2026-07-16 | Enumerating Length-Bounded Simple Paths and Cycles in Directed Graphs with $O(k(n+m))$ Delay Using Edge-Consistent Node Barriers
[arXiv] 2026-07-16 | GeoDetect: Geometric Adversarial Detection for VLPs
[arXiv] 2026-07-16 | Hybrid Rigid-Soft Robotic Gripper with Shape Adaptation, Uniform Force Distribution, and Self-Locking Capabilities
[arXiv] 2026-07-16 | Counterfactuals for Feature-Weighted Clustering
[arXiv] 2026-07-16 | Different Singular Limits in a Gene Regulatory Network with Multiple Small Parameters
[arXiv] 2026-07-16 | VideoSEMA: a scalable and efficient Mamba-like attention for video understanding
[arXiv] 2026-07-16 | Team RAS in 11th ABAW Competition: Multimodal Ambivalence Recognition Approach
[arXiv] 2026-07-16 | Effect of Antenna Deployment on Achievable Rate in Cooperative Magnetic Induction Communication
[arXiv] 2026-07-16 | Twisted Yangians of types BI, CI, DI and Drinfeld type current relations
[arXiv] 2026-07-16 | Electrons Hopping across a Molecular Network: Spectra and Symmetries
[arXiv] 2026-07-16 | An Intelligent-Cloud Edge Multimodal Interaction System for Robots
[arXiv] 2026-07-16 | Identification Codes and Post-Shannon Communication: Theory, Architectures, and Emerging Applications
[arXiv] 2026-07-16 | Semi-Streaming Matching in a Single Pass I: A New Framework for Lower Bounds via Blueprints
[arXiv] 2026-07-16 | TIDE: Trustworthy and Interpretable Battery Degradation Estimation with Contextual Learning and Symbolic Distillation
[arXiv] 2026-07-16 | On the CME productivity of solar active region 13664/8
[arXiv] 2026-07-16 | PolyQ: Codesigning End-to-End Quantization Framework for Scalable Edge CPU LLM Inference
[arXiv] 2026-07-16 | Investigating first-language bias in LLM-based automated essay scoring: A cross-prompt evaluation of an open-weight AI-model on TOEFL essays
[arXiv] 2026-07-16 | A Deterministic Binary Fingerprinting Framework with Zero-Trained Feature Extraction for Sparse Count Matrices
[arXiv] 2026-07-16 | Exact No Signaling in Time without Temporal Classicality
[arXiv] 2026-07-16 | Alipay-PIBench: A Realistic Payment Integration Benchmark for Coding Agents
[arXiv] 2026-07-16 | Ultrafast programmable Bragg reflection in photonic integrated circuits
[arXiv] 2026-07-16 | Almost Navigable Graphs
[arXiv] 2026-07-16 | Toponium Spectrum in the Complex-Energy Plane
[arXiv] 2026-07-16 | Towards an Intention Abstraction Layer for Autonomous Industrial Systems
[arXiv] 2026-07-16 | SafeRelBench: A Spatial-Relation-Aware Benchmark for Process-Level Safety in VLM-Driven Embodied Agents
[arXiv] 2026-07-16 | On the Bohr-Sommerfeld quantization condition and assault frequency in a semiclassical model for α decay
[arXiv] 2026-07-16 | Bifurcation of periodic and antiperiodic solutions in non-autonomous potential-type delay systems
[arXiv] 2026-07-16 | Muse: Representation Geometry of Muon Beyond Normalized Momentum
[arXiv] 2026-07-16 | Pushing the Primordial Frontier: Cosmological Collider Signatures at Strong Mixing
[arXiv] 2026-07-16 | WrAFT: a Modularized Automated Writing Evaluation System for Argumentative Essays
[arXiv] 2026-07-16 | Formality for rigid-analytic spaces satisfying the weight-monodromy conjecture
[arXiv] 2026-07-16 | Adaptive Runge-Kutta Step Control Buys Training Loss, Not Generalization: An Honest Compute-Matched Study of RK-Adam Optimizers
[arXiv] 2026-07-16 | A Distributed PI+Reset Scheme for Discrete-Time Economic Dispatch of A Grid-connected BESS Network
[arXiv] 2026-07-16 | Geometric Mode Steering of the Quantum Mpemba Effect
[arXiv] 2026-07-16 | Contextualized Evaluation of Vision Language Models through Dynamic, Multi-turn Interactions
[arXiv] 2026-07-16 | Neural Very Weak Formulations enabling Hardware-Oriented deep PDE solvers
[arXiv] 2026-07-16 | The Symbolic Partition of Chaotic Flows Based on Ordinal Patterns
[arXiv] 2026-07-16 | Safe Execution of RL Policies Via Acceleration-Based CBF-QP Constraint Enforcement for Real-World Robotic Deployments
[arXiv] 2026-07-16 | Using a MIP Solver as a PDHG-Based MIP Heuristic
[arXiv] 2026-07-16 | A Census of New Snake-in-the-Box Records
[arXiv] 2026-07-16 | Pretraining Data Can Be Poisoned through Computational Propaganda
[arXiv] 2026-07-16 | HoloGeo: Mitigating Landmark Bias in Geo-localization via Evidence-Driven Reasoning
[arXiv] 2026-07-16 | Coulomb blockade in microscopic material defects as a source of decoherence and noise in solid-state quantum circuits
[arXiv] 2026-07-16 | Fermiology of the kagome compound LuNb6Sn6 probed by de Haas-van Alphen oscillations
[arXiv] 2026-07-16 | On the Darboux Integrability of the Constant Mean Curvature One Equation for Surfaces in Hyperbolic 3 space
[arXiv] 2026-07-16 | Mutable Low-Rank Sketches for Retrain-Free Recommendation
[arXiv] 2026-07-16 | Flow in a porous non-axisymmetric annular conduit: Coupling wall compliance and peristalsis
[arXiv] 2026-07-16 | Divergent Gaze Patterns in Artistic Viewing: Spatial and Temporal Signatures of Attention Across Autistic Individuals, Artists, and Neurotypical Observers
[arXiv] 2026-07-16 | When Words Are Safe But Actions Kill: Probing Physical Danger Beyond Text Safety in Hidden-State Risk Space
[arXiv] 2026-07-16 | Several families of incommensurable noncompact hyperbolic Coxeter polytopes
[arXiv] 2026-07-16 | MagicPrompt: Ultra-Lightweight Prompt Tuning for Video Generation
[arXiv] 2026-07-16 | Dispersive Readout of a SiMOS Quantum Dot Using a Flip-Chip Integrated Microwave Resonator
[arXiv] 2026-07-16 | MIDAS Hand: Modular low-Impedance Direct-drive Anthropomorphic Sensing Hand
[arXiv] 2026-07-16 | Analytic descriptions of soft-edge quadrupoles for beamline design in multi-particle simulations
[arXiv] 2026-07-16 | Limits on Broadcasting Genuine Multipartite Entanglement in Quantum Networks
[arXiv] 2026-07-16 | Graph Weldings Associated with Functions in Zygmund, $\mathrm{BMO}$, $\mathrm{VMO}$, and $H^{1/2}$
[arXiv] 2026-07-16 | Pareto-optimal work extraction and the thermodynamic cost of precision in quantum information engines
[arXiv] 2026-07-16 | What's in a Smoothness Constant? Tighter Rates for Local SGD with Bounded Second-order Heterogeneity
[arXiv] 2026-07-16 | Periodic orbits and quantum many-body scars in integrable spin chains
[arXiv] 2026-07-16 | Towards logical entanglement creation in trivalent planar architectures
[arXiv] 2026-07-16 | On the origin of finite entanglement scaling
[arXiv] 2026-07-16 | Sharp phase transition for percolation with short-range dependencies
[arXiv] 2026-07-16 | MAGiSt3R: Multi-Agent Feed-forward 3D Reconstruction from Monocular RGB Videos
[arXiv] 2026-07-16 | MM-IssueLoc: A Controlled Benchmark for Evaluating Visual Evidence in Multimodal Repository-Level Issue Localization
[arXiv] 2026-07-16 | Entanglement Detection for Two-Qubit and Three-Qubit Pure States via Unitary Transformations and Ancilla State Measurements
[arXiv] 2026-07-16 | SciPhy Reinforcement Learning for Portfolio Optimization
[arXiv] 2026-07-16 | Gyrotropy from Extrinsic Geometry in Twisted Materials
[arXiv] 2026-07-16 | Integrated Discovery and State-Aware Servicing for Mobile AUVs With UOWC: Modeling and Performance Analysis
[arXiv] 2026-07-16 | RTS Smoother-Guided Learning of Physics-Based Neural Differential Models
[arXiv] 2026-07-16 | A Complete-Data Likelihood for Epidemic Processes on Partially Observed Dynamic Networks
[arXiv] 2026-07-16 | MedFailBench: A Clinician-Built Open-Source Benchmark for Medical AI Safety Boundary Inspection
[arXiv] 2026-07-16 | The Industrialization of Research ; On AI-Driven Science and Its Consequences
[arXiv] 2026-07-16 | On-Policy Delta Distillation
[arXiv] 2026-07-16 | LDGM-Based Quantum Codes for Fault-Tolerant Quantum Computation
[arXiv] 2026-07-16 | Cluster characteristics of Galactic open clusters
[arXiv] 2026-07-16 | Intriguing Electronic Structures of C8 and C12 Carbon Rings
[arXiv] 2026-07-16 | Setup Complete, Now You Are Compromised: Weaponizing Setup Instructions Against AI Coding Agents
[arXiv] 2026-07-16 | Concept-Guided Spatial Regularization for World Models in Atari Pong
[arXiv] 2026-07-16 | Perfectly equidistributed Quasi-Monte Carlo sequences from Artin-Schreier polynomials
[arXiv] 2026-07-16 | On Lagrangians of Oakley-Usher type
[arXiv] 2026-07-16 | Berkeley 32: A Metal-poor and Dynamically Evolved Open Cluster with Evidence of Radial Migration
[arXiv] 2026-07-16 | Don't Predict, Prioritize: Rethinking GPU Reliability Assessment
