[2026-06-12 12:20:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[arXiv] 2026-06-11 | Excited-state Properties Beyond the Excitation Energy from Orbital-Optimized Density Functional Calculations II: Absorption Spectra
[arXiv] 2026-06-11 | Thickness-Independent Quantum Geometric Responses Driven by Interlayer Antiferroic Coupling
[arXiv] 2026-06-11 | Switching Hamiltonian Monte Carlo for sampling from mixture distributions
[arXiv] 2026-06-11 | ReSET: Accurate Latency-Critical NVFP4 Reasoning via Step-Aware Temperature Scaling
[arXiv] 2026-06-11 | Historical Seismic Monitoring of EGS and Conventional Geothermal Fields: LBNL Efforts and Lessons Learned
[arXiv] 2026-06-11 | Absorption cross section of a Schwarzschild black hole for a massive vector field
[arXiv] 2026-06-11 | Polar Decoding Tree Pruning Based on Soft Output Extraction
[arXiv] 2026-06-11 | Calibrating simplified vine copulas with a noise contrastive estimation approach
[arXiv] 2026-06-11 | Twist deformations for Hopf coquasigroups
[arXiv] 2026-06-11 | Duty-cycle modulation of the self-sustaining process by spanwise wall oscillation
[arXiv] 2026-06-11 | A Dual-Mode Faust-to-CLAP Compilation System
[arXiv] 2026-06-11 | A Context-Aware Dataset for Stance Detection in Bioethical Controversies on Reddit
[arXiv] 2026-06-11 | Ultrashort Pulse Train Generation on a 100TW Laser Beamline Using a Delay Mask After the Final Focusing Optics
[arXiv] 2026-06-11 | Loss-Shift Transfer via Bayes Quotients
[arXiv] 2026-06-11 | Mental-R1: Aligning LLM Reasoning for Mental Health Assessment
[arXiv] 2026-06-11 | Detecting Explanatory Insufficiency in Learned Representations: A Framework for Representational Vigilance
[arXiv] 2026-06-11 | Redesigning Regularization for Effective Policy Smoothing
[arXiv] 2026-06-11 | Thermodynamics of polymerized vacuum regular black holes in anti-de Sitter spacetime
[arXiv] 2026-06-11 | Entropic Generation of Binary Words
[arXiv] 2026-06-11 | Iterative Visual Thinking: Teaching Vision-Language Models Spatial Self-Correction through Visual Feedback
[arXiv] 2026-06-11 | Computing Joins in the Weak Order of Type B Coxeter Groups: an Algorithmic Approach
[arXiv] 2026-06-11 | Scaling limits of the single-curve interface and outermost loops in the planar random field Ising model
[arXiv] 2026-06-11 | A first-principles approach for predicting infrared optical properties of solids
[arXiv] 2026-06-11 | HyPE: Category-Aware Hypergraph Encoding with Persistent Edge Embeddings for Persona-Grounded Dialogue
[arXiv] 2026-06-11 | Cascade Classification of Dermoscopic Images of Skin Neoplasms with Controllable Sensitivity and External Clinical Validation
[arXiv] 2026-06-11 | Including the Cost of Irreducible Uncertainty in the Policy Compression Framework
[arXiv] 2026-06-11 | NaturalFlow: Reducing Disruptive Pauses for Natural Speech Flow in Simultaneous Speech-to-Speech Translation
[arXiv] 2026-06-11 | Model structures and electron transfer properties of conductive nickel-organic nanoribbons in cable bacteria
[arXiv] 2026-06-11 | Invariance of the Initial Coefficient Differences of Ma-Minda Convex Functions
[arXiv] 2026-06-11 | PP-OCRv6: From 1.5M to 34.5M Parameters, Surpassing Billion-Scale VLMs on OCR Tasks
[arXiv] 2026-06-11 | The Invisible Ink of the Android Malware World: A Longitudinal Study on the Usage of Covert Communication Channels
[arXiv] 2026-06-11 | LEDGER: A Long-Context Benchmark of Corporate Annual Reports for Grounded Financial Retrieval and Extraction
[arXiv] 2026-06-11 | The Graviton Propagator in Asymptotically Safe Gravity with Non-Local Form Factors
[arXiv] 2026-06-11 | Equilibrium Computation in Extensive-Form Games with Stochastic Action Sets
[arXiv] 2026-06-11 | Scale Buys Interpolation, Structure Buys a Horizon: Certified Predictability for Equivariant World Models
[arXiv] 2026-06-11 | Inverse Learning assisted V2I Communication for Intent Based 6G ISAC Vehicular Networks
[arXiv] 2026-06-11 | The Emergence of Autonomous Penetration Capabilities in Large Language Model-Powered AI Systems
[arXiv] 2026-06-11 | A generalised-$k_t$ jet algorithm for Deep Inelastic Scattering
[arXiv] 2026-06-11 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[arXiv] 2026-06-11 | Ricci solitons as critical points of quadratic curvature functionals
[arXiv] 2026-06-11 | TWLA: Achieving Ternary Weights and Low-Bit Activations for LLMs via Post-Training Quantization
[arXiv] 2026-06-11 | EA-WM: Event-Aware World Models with Task-Specification Grounding for Long-Horizon Manipulation
[arXiv] 2026-06-11 | SeamEdit: A Black-Box VLM-Agnostic Pipeline for Large-Image Semantic Editing
[arXiv] 2026-06-11 | DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities
[arXiv] 2026-06-11 | GeoCFNet: Geometry-Aware Confidence Field Network for Robot-Assisted Endoscopic Submucosal Dissection
[arXiv] 2026-06-11 | Comparing Commercial Depth Sensor Accuracy for Medical Applications
[arXiv] 2026-06-11 | Exploring fair access to quantum computing
[arXiv] 2026-06-11 | Democracy in the Era of Artificial Intelligence
[arXiv] 2026-06-11 | Diagnostics-guided variance-inflated Fay-Herriot estimation from non-probability samples
[arXiv] 2026-06-11 | Enhanced Target Interaction Area of Helical Plasma Plumes in a Pulsed RF Atmospheric Plasma Jet
[arXiv] 2026-06-11 | Insitu X Ray Photoemission Study of Nb Surface Under Plasma Cleaning During MID T BAKING For SRF Cavities
[arXiv] 2026-06-11 | Reliability of Probabilistic Emulation of Physical Systems
[arXiv] 2026-06-11 | Structured Testbench Generation for LLM-Driven HDL Design and Verification-Oriented Data Curation
[arXiv] 2026-06-11 | From Prompts to Preferences: An Open-Source Platform for Generative AI-Enhanced Conjoint Analysis
[arXiv] 2026-06-11 | Predicting Cognitive Load from Speech and Interaction Dynamics in Dyadic Conversations
[arXiv] 2026-06-11 | Design and optimization of an AZO-based plasmonic metasurface-driven optical solar reflector for thermal management
[arXiv] 2026-06-11 | Data-Driven Frequency-Selective Output Regulation of Nonlinear Systems under Almost Periodic Exosignals
[arXiv] 2026-06-11 | Testing Theory of Truly Concurrent Processes
[arXiv] 2026-06-11 | Multi-Turn Reasoning When Context Arrives in Pieces: Scalable Sharding and Memory-Augmented RL
[arXiv] 2026-06-11 | Self-Guidance: Enhancing Neural Codecs via Decoder Manifold Alignment
[arXiv] 2026-06-11 | On perfect flag-rank metric codes
[arXiv] 2026-06-11 | Conditional spinodal decomposition in Li-Mg anodes for lithium metal batteries
[arXiv] 2026-06-11 | MAStrike: Shapley-Guided Collusive Red-Teaming on Multi-Agent Systems
[arXiv] 2026-06-11 | Where Computation Lives Inside TabPFN: Causal Localisation of Attention Head Function
[arXiv] 2026-06-11 | Global Control with the Tavis-Cummings Interaction
[arXiv] 2026-06-11 | Trait, Not State: The Durability of Reading Identity in Social Highlighting
[arXiv] 2026-06-11 | Prediction-Powered Causal Inference by Automatic Debiased Machine Learning and Semi-Supervised Riesz Regression
[arXiv] 2026-06-11 | Bridging Modal Isolation in Interleaved Thinking: Supervising Modality Transitions via Stepwise Reinforcement
[arXiv] 2026-06-11 | The Hidden Power of Scaling Factor in LoRA Optimization
[arXiv] 2026-06-11 | Rotatable Antenna-Enabled Near-Field Integrated Sensing and Communication
[arXiv] 2026-06-11 | Beyond Problem Solving: UOJ-Bench for Evaluating Code Generation, Hacking, and Repair in Competitive Programming
[arXiv] 2026-06-11 | A Privacy-Preserving Framework Using Remote Data Science for Inter-Institutional Student Retention Prediction
[arXiv] 2026-06-11 | Interpretable Factor Decomposition for Decision Intelligence in Large-Scale Financial Markets: Evidence from China's A-Share Market
[arXiv] 2026-06-11 | Sub-array Selection Optimization for Joint Self-Interference and Multi-User Interference Suppression in FD mMIMO
