[2026-07-01 12:09:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Contrastive Regularization of Machine Learning Potentials
[arXiv] 2026-06-30 | Think in English, Answer in Korean: Efficient Adaptation of Multilingual Tool-Using Agents
[arXiv] 2026-06-30 | Diophantine rank stability and non-vanishing of $L$-functions
[arXiv] 2026-06-30 | Effects of confinement in a Brownian gas with simultaneous stochastic resetting and dynamically emergent correlations
[arXiv] 2026-06-30 | PrISM-IQA: Image Quality Assessment Made Practical for Smartphone Photography
[arXiv] 2026-06-30 | An Additive Reference Correction Scheme for the Transcorrelated Method
[arXiv] 2026-06-30 | Stability of the Hydrogen Molecule and Related Issues
[arXiv] 2026-06-30 | What Memory Do GUI Agents Really Need? From Passive Records to Active Task-Driving States
[arXiv] 2026-06-30 | CLExEval: A Human-in-the-Loop Framework for Qualitative Evaluation of LLM Clinical Reasoning
[arXiv] 2026-06-30 | Uncertainty Quantification via Invariant-Measure Conformal Prediction
[arXiv] 2026-06-30 | Memory-Scalable and Hardware-Adaptive Matrix-Free Quantum Simulation
[arXiv] 2026-06-30 | The Invariant Measure of Multiscale Markov Chains via Fast Arborescence Factorization
[arXiv] 2026-06-30 | High-Confidence Minimax Testing with Prescribed Errors
[arXiv] 2026-06-30 | Optimization of perturbation series in QCD for physical quantities using the renormalization group: necessary conditions and partial results
[arXiv] 2026-06-30 | DPPE: Rethinking Camera-Based Positional Encoding for Scaling Multi-View Transformers
[arXiv] 2026-06-30 | A Large-Scale Empirical Evaluation of MMAO Under Fair-Budget Continuous and Discrete Benchmarks
[arXiv] 2026-06-30 | A logarithmic phase singularity at the heart of Landau-Zener transitions
[arXiv] 2026-06-30 | Fast Risk Certification of Candidate Trajectories under Uncertain Time-Varying Constraints
[arXiv] 2026-06-30 | Stabilization Learning: A Paradigm Transition Bridging Control Theory and Machine Learning
[arXiv] 2026-06-30 | Directed Low Diameter Decomposition for Structured Digraphs
[arXiv] 2026-06-30 | Floquet Majorana flat bands and emergent Cooper pair symmetries in $p-$wave magnet$-$superconductor heterostructure
[arXiv] 2026-06-30 | Electron Densities of Typical Low-Mass Galaxies at z~2-7 from Stacked JWST/NIRSpec Spectra
[arXiv] 2026-06-30 | Geometrically necessary boundaries accommodate the residual elastic strain in cold-rolled Fe-3%Si
[arXiv] 2026-06-30 | PEERS: A Parallel and Exact Effective Resistance Solver via Implicit Inversion and Augmented Symbolic Analysis
[arXiv] 2026-06-30 | Graph Scheduling with Group Completion Times
[arXiv] 2026-06-30 | Tuning topological phase and Dirac point position via Pb and Sb substitution in Mn$_{1-x}$Pb$_{x}$(Bi$_{1-y}$Sb$_{y}$)$_{2}$Te$_{4}$
[arXiv] 2026-06-30 | FinPersona-Bench: A Benchmark for Longitudinal Psychometric Stability of Autonomous Financial Agents
[arXiv] 2026-06-30 | MINT: Dynamic-Precision CNN Inference with MSDF Digit-Serial Arithmetic on FPGA
[arXiv] 2026-06-30 | Energy-Optimal Spatial Iterative Learning within a Virtual Tube
[arXiv] 2026-06-30 | Maximizing Parallel Execution of Series-Parallel Task Graphs for Safety-Critical Embedded Control
[arXiv] 2026-06-30 | Constrained Online Convex Optimization without Slater's Condition
[arXiv] 2026-06-30 | One Reflection Is Not Enough: Self-Correcting Autonomous Research via Multi-Hypothesis Failure Attribution
[arXiv] 2026-06-30 | Antenna Orientation Optimization for Rotatable Antenna-Enabled ISAC Systems
[arXiv] 2026-06-30 | On homological properties of conic-line arrangements with simple singularities
[arXiv] 2026-06-30 | UniTac: A Unified Multimodal Model for Cross-Sensor Tactile Understanding and Generation
[arXiv] 2026-06-30 | Periodic Non-uniqueness Sets for Shift-invariant Spaces and Parity-Based Obstructions to the Frame Property for Gabor Systems
[arXiv] 2026-06-30 | Who Determines the Meaning of an Emotion? Affective Sovereignty as an Epistemic Consequence of Measurement Limits
[arXiv] 2026-06-30 | Estimation of black hole spins in low-mass AGNs and comparison with other types of AGNs
[arXiv] 2026-06-30 | CDR-Bench: Evaluating Faithful Execution of Compositional, Order-Sensitive Data Refinement Recipes
[arXiv] 2026-06-30 | Temporal Preservation over Processing: Diagnosing and Designing Spatiotemporal Single-Stage Video Detectors
[arXiv] 2026-06-30 | BP-TTA: Balanced and Prototype-Guided Test-Time Adaptation in Dynamic Scenarios
[arXiv] 2026-06-30 | Nonlinear diffusion and compressive rims in source-driven biopolymer condensates
[arXiv] 2026-06-30 | SpikeLogBERT: Energy-Efficient Log Parsing Using Spiking Transformer Networks
[arXiv] 2026-06-30 | A Cost-and-Place-Utility Model of the Move-versus-Commute Decision
[arXiv] 2026-06-30 | Setting requirements on out-of-band rejection for next-generation CMB experiments. Application to the LiteBIRD instrument
[arXiv] 2026-06-30 | Visualizing the Hidden Architecture of Molecular Films with Phase-Resolved Rotational SFG Microscopy
[arXiv] 2026-06-30 | Rhythm-Structured Predictive Learning for Remote Photoplethysmography
[arXiv] 2026-06-30 | Is Natural Always Appropriate? Investigating Naturalness and Appropriateness Across Different Domains for TTS Evaluation
[arXiv] 2026-06-30 | Focal Plate Prototyping for Modular Focal Planes of Stage-5 Instruments For Ground-Based Telescopes
[arXiv] 2026-06-30 | Seeing Is Not Sharing: Some Vision-Language Models Overestimate Common Ground in Asymmetric Dialogue
[arXiv] 2026-06-30 | Nonlinearity-Aware LoRA: Structured Gate Adaptation under Low-Rank Constraints
[arXiv] 2026-06-30 | Semantic-Aware Multiple Access via Spatial Redundancy Exploitation for Uplink-Dominant 6G Use Cases
[arXiv] 2026-06-30 | Monitoring a de Sitter universe through an anti-de Sitter window
[arXiv] 2026-06-30 | Hadronic exceptional points
[arXiv] 2026-06-30 | ShopX: A Foundation Model for Intent-to-Item Fulfillment in Agentic Shopping
[arXiv] 2026-06-30 | Supersingular elliptic curves and twisting endomorphisms
[arXiv] 2026-06-30 | Design-Based Inference for Time-Series GMM
[arXiv] 2026-06-30 | HABIT: Human-Aware Behavior and Interaction Training Dataset for Robot Manipulation
[arXiv] 2026-06-30 | REDI: Corpus Aware Patch Ranking for DINOv3 Token Reduction
[arXiv] 2026-06-30 | AGN Feedback: The impact of galactic-scale radio jets on the interstellar medium in starbursting obscured AGN
[arXiv] 2026-06-30 | SAMBA: A Scatter-Guided Masked Bidirectional Mamba Foundation Model for SAR Target Recognition
[arXiv] 2026-06-30 | Suppressing Parametric Instabilities in Driven Bosonic Lattices through Multi-tone Control
[arXiv] 2026-06-30 | ForecastAgentSearch: Towards a Multi-Expert Agent Search System for Geopolitical Event Forecasting
[arXiv] 2026-06-30 | Activated dynamics in the quantum random field Ising model
[arXiv] 2026-06-30 | Finite-range EFT for the $E1$ strength distribution of ${}^6$He
[arXiv] 2026-06-30 | Intersection theorems over DG-rings revisited
[arXiv] 2026-06-30 | Generative Skill Composition for LLM Agents
[arXiv] 2026-06-30 | Cesium Based Laser-Atomic Oscillator
[arXiv] 2026-06-30 | FedLAB: Traceable Semantic Codebooks for Federated Multimodal Graph Foundation Learning
[arXiv] 2026-06-30 | Competition and Anomalies Redux: Evidence from U.S. Auto Dealers
[arXiv] 2026-06-30 | Dual-Regime Absorbing Markov Chain Theory in Remote Estimation: Age-Minimizing Push Policies
[arXiv] 2026-06-30 | Human-as-Humanoid: Enabling Zero-Shot Humanoid Learning from Ego-Exo Human Videos with Human-Aligned Embodiments
[arXiv] 2026-06-30 | Surrogate Fidelity: When Can Open LLMs Explain Closed Ones?
[arXiv] 2026-06-30 | On the Comparison of Reinforcement Learning and Adaptive Control for Linear Systems under Packet Loss and Uncertainty
[arXiv] 2026-06-30 | Self-Study Reconsidered: The Hidden Fragility of Learning from Self-Generated QA
[arXiv] 2026-06-30 | Radial Suppression Accelerates Algorithmic Generalization: A Geometric Analysis of Delayed Generalization
[arXiv] 2026-06-30 | TreeAgent: A Generalizable Multi-Agent Framework for Automated Bias Labeling in Forestry via Compiled Expert Rules and Vision-Language Models
[arXiv] 2026-06-30 | Semantic Leakage and Privacy Preservation in Relay-Assisted Semantic Communications
[arXiv] 2026-06-30 | CoCoMUT: A Tool for Code-Context Mining and Automated Dataset Generation
[arXiv] 2026-06-30 | The contact temperature of arbitrary quantum states
[arXiv] 2026-06-30 | MECoBench: A Systematic Study of Multimodal Agent Collaboration in Embodied Environments
[arXiv] 2026-06-30 | Scalable Joint Modeling of Dependent Multi-Type Survey Data for Small Area Estimation
[arXiv] 2026-06-30 | Convergence of Nekrasov instanton sum for unitary quivers
[arXiv] 2026-06-30 | An efficient Pauli decomposition algorithm for structured matrices
[arXiv] 2026-06-30 | LEO Satellite Network Orchestration with Heterogeneous Graph Neural Networks
[arXiv] 2026-06-30 | RRT-Rope: A deterministic shortening approach for fast near-optimal path planning in large-scale uncluttered 3D environments
[arXiv] 2026-06-30 | FlexViT: A Flexible FPGA-based Accelerator for Edge Vision Transformers
[arXiv] 2026-06-30 | Coupling and Maximal Inequalities for Graph-Dependent Empirical Processes
[arXiv] 2026-06-30 | Untangling 3D atomic reconstruction in twisted bilayer 2D crystals via dark field transmission electron microscopy
[arXiv] 2026-06-30 | Quasi-Bayesian Hierarchical Models
[arXiv] 2026-06-30 | Fate of "Space-like singularities" in $c=1$ Matrix Model
[arXiv] 2026-06-30 | Solvability in the sense of sequences for certain non-Fredholm operators with a drift and Laplace and bi-Laplace operators
[arXiv] 2026-06-30 | MVP-Nav: Multi-layer Value Map Planner Navigator
[arXiv] 2026-06-30 | Trade-Offs in Decentralized Gigantic MIMO with Hard-Boundary Constraints
[arXiv] 2026-06-30 | Electrons on Helium and Entangled Quantum Sensors for Particle Physics
[arXiv] 2026-06-30 | CoDex: Learning Compositional Dexterous Functional Manipulation without Demonstrations
[arXiv] 2026-06-30 | Sequential RC-TGAN: Generating Relational Time Series with Spectral Envelope Loss
[arXiv] 2026-06-30 | Attend, Transform, or Silence: Operator-Level Visual Skipping for Efficient Multimodal LLM Inference
[arXiv] 2026-06-30 | Exact Planar Black Hole in AdS-Einstein-Scalar Gravity with IR Emergent Nearly Conformal Fluid
[arXiv] 2026-06-30 | Galois Extensions via Finiteness of Orbits
[arXiv] 2026-06-30 | Nonlinear kinetic Fokker-Planck equations: existence and diffusion limits
[arXiv] 2026-06-30 | High Frequency Wideband Study of FRB 20240114A with the Allen Telescope Array
[arXiv] 2026-06-30 | Non-classical Topological Evidence Logic
[arXiv] 2026-06-30 | Halo Semantics for Modal Logic
[arXiv] 2026-06-30 | Intuitionistic Justification Logic, Semantically
[arXiv] 2026-06-30 | On Modal Logics of Connectedness in Metric Spaces
[arXiv] 2026-06-30 | Taming Complexity in Intuitionistic Modal Logic: The Case of FIK and Its Shallow Calculus
[arXiv] 2026-06-30 | Topological Logics of Path-Reachability
[arXiv] 2026-06-30 | The Logic of Data Access and Data Exchanges
[arXiv] 2026-06-30 | An Open-Source Tool for Reproducible Freeway Network Extraction from OpenStreetMap
[arXiv] 2026-06-30 | Resolving Asynchronous Distributed Knowledge
[arXiv] 2026-06-30 | Attention and Social Learning
[arXiv] 2026-06-30 | Towards Voxel Spacing Consistency for Medical Image Segmentation
[arXiv] 2026-06-30 | Automatic quantum function parallelization and memory management in Qrisp
[arXiv] 2026-06-30 | Real-Time Source-Free Object Detection
