[2025-12-04 09:14:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-03
正在获取论文...
[arXiv] 2025-12-03 | SkillFactory: Self-Distillation For Learning Cognitive Behaviors
[arXiv] 2025-12-03 | SpaceTools: Tool-Augmented Spatial Reasoning via Double Interactive RL
[arXiv] 2025-12-03 | Closing the problem of which causal structures of up to six total nodes have a classical-quantum gap
[arXiv] 2025-12-03 | TT Arietis: New approach to the analysis of quasi-periodic oscillations
[arXiv] 2025-12-03 | The Nature of Nitrogen Enhanced High Redshift Galaxies
[arXiv] 2025-12-03 | Modeling of Rayleigh Scattering and Interstellar Polarization for Evolved Late-Type Stars
[arXiv] 2025-12-03 | The Loss Landscape of Powder X-Ray Diffraction-Based Structure Optimization Is Too Rough for Gradient Descent
[arXiv] 2025-12-03 | Demonstration of KV-Class \b{eta}-Ga2O3 Trench Junction Barrier Schottky Diodes with SpaceModulated Junction Termination Extension
[arXiv] 2025-12-03 | Predicting parameters of a model cuprate superconductor using machine learning
[arXiv] 2025-12-03 | Monodromy and vanishing cycles for sufficiently ample linear systems on simply connected surfaces
[arXiv] 2025-12-03 | Learning to Comparison-Shop
[arXiv] 2025-12-03 | Mixed finite element approximation for non-divergence form elliptic equations with random input data
[arXiv] 2025-12-03 | Respiration Rate Sensor Based on Fiber Cavity Attenuated Phase Shift Spectroscopy
[arXiv] 2025-12-03 | Needle beams and structured space-time wavepackets
[arXiv] 2025-12-03 | Applied Neural Network-Based Active Control for Vortex-Induced Vibrations Suppression in a Two-Degree-of-Freedom Cylinder
[arXiv] 2025-12-03 | Adapting Large Language Models to Low-Resource Tibetan: A Two-Stage Continual and Supervised Fine-Tuning Study
[arXiv] 2025-12-03 | Technical Report on Text Dataset Distillation
[arXiv] 2025-12-03 | Classification of User Satisfaction in HRI with Social Signals in the Wild
[arXiv] 2025-12-03 | DSP: A Statistically-Principled Structural Polarization Measure
[arXiv] 2025-12-03 | Towards Quantum Stochastic Optimization for Energy Systems under Uncertainty: Joint Chance Constraints with Quantum Annealing
[arXiv] 2025-12-03 | Demonstration of a Raman Velocity Filter in Collinear Laser Spectroscopy: Towards Applications for sub-ppm High-Voltage Measurements
[arXiv] 2025-12-03 | Hierarchical Vision Language Action Model Using Success and Failure Demonstrations
[arXiv] 2025-12-03 | Parsimonious Clustering of Covariance Matrices
[arXiv] 2025-12-03 | Dual Cross-Attention Siamese Transformer for Rectal Tumor Regrowth Assessment in Watch-and-Wait Endoscopy
[arXiv] 2025-12-03 | Measurement of the hyperon weak radiative decay $Ξ^0\toγΣ^0$ at BESIII
[arXiv] 2025-12-03 | Stratification, turbulence organization, and pressure-strain effects on surface-layer turbulence anisotropy
[arXiv] 2025-12-03 | Reconstructing KV Caches with Cross-layer Fusion For Enhanced Transformers
[arXiv] 2025-12-03 | Scalable Decision Focused Learning via Online Trainable Surrogates
[arXiv] 2025-12-03 | DVPO: Distributional Value Modeling-based Policy Optimization for LLM Post-Training
[arXiv] 2025-12-03 | Robust Algorithms for Path and Cycle Problems in Geometric Intersection Graphs
[arXiv] 2025-12-03 | A 3D virtual geographic environment for flood representation towards risk communication
[arXiv] 2025-12-03 | Multi-Agent Deep Reinforcement Learning for UAV-Assisted 5G Network Slicing: A Comparative Study of MAPPO, MADDPG, and MADQN
[arXiv] 2025-12-03 | Some perspective of thermodynamical and optical properties of black holes in Maxwell-dilaton-dRGT-like massive gravity
[arXiv] 2025-12-03 | The impact of our peculiar motion on primordial non-Gaussianity measurements using the LIGER4GAL framework
[arXiv] 2025-12-03 | K-polystability of Asymptotically Conical Kähler-Ricci Shrinkers
[arXiv] 2025-12-03 | Optimizing ISAC MIMO Systems with Reconfigurable Pixel Antennas
[arXiv] 2025-12-03 | Approximations and modifications of celestial dynamics tested on the three-body system
[arXiv] 2025-12-03 | Terahertz emission from interdigitated photoconductive antennas based on Ge-on-Si
[arXiv] 2025-12-03 | Transmit Weights, Not Features: Orthogonal-Basis Aided Wireless Point-Cloud Transmission
[arXiv] 2025-12-03 | Log Probability Tracking of LLM APIs
[arXiv] 2025-12-03 | Hidden-charm and -bottom tetraquark states with $J^{PC}=1^{-+}$ via QCD sum rules
[arXiv] 2025-12-03 | Remembrance of Tasks Past in Tunable Physical Networks
[arXiv] 2025-12-03 | Gamma-ray astronomy from the ground - future perspectives
[arXiv] 2025-12-03 | LSRS: Latent Scale Rejection Sampling for Visual Autoregressive Modeling
[arXiv] 2025-12-03 | MPCFormer: A physics-informed data-driven approach for explainable socially-aware autonomous driving
[arXiv] 2025-12-03 | The enshittification of online search? Privacy and quality of Google, Bing and Apple in coding advice
[arXiv] 2025-12-03 | Quantum Algorithm for Searching for the Longest Segment and the Largest Empty Rectangle
[arXiv] 2025-12-03 | Counter-examples to the fractal Weyl law for semiclassical resonances
[arXiv] 2025-12-03 | Quantum Simulations of Opinion Dynamics
[arXiv] 2025-12-03 | Metrological Sensitivity beyond Gaussian Limits with Cubic Phase States
[arXiv] 2025-12-03 | Inaccessibility in Public Transit Networks
[arXiv] 2025-12-03 | Principled RL for Diffusion LLMs Emerges from a Sequence-Level Perspective
[arXiv] 2025-12-03 | Origin-Conditional Trajectory Encoding: Measuring Urban Configurational Asymmetries through Neural Decomposition
[arXiv] 2025-12-03 | Widefield Quantum Sensor for Vector Magnetic Field Imaging of Micromagnetic Structures
[arXiv] 2025-12-03 | Penalty-Free SDDP: Feasibility Cuts for Robust Multi-Stage Stochastic Optimization in Energy Planning
[arXiv] 2025-12-03 | Weighted Conformal Prediction for Survival Analysis under Covariate Shift
[arXiv] 2025-12-03 | Crossing the Sim2Real Gap Between Simulation and Ground Testing to Space Deployment of Autonomous Free-flyer Control
[arXiv] 2025-12-03 | Non-Gaussian Dissipative Quantum Thermometry Beyond Gaussian Bounds
[arXiv] 2025-12-03 | Variational Analysis in the Wasserstein Hierarchy
[arXiv] 2025-12-03 | Tutorial on Large Language Model-Enhanced Reinforcement Learning for Wireless Networks
[arXiv] 2025-12-03 | Tailoring the morphology of ultrathin bismuth films around percolation for thickness-optimized optical cavities
[arXiv] 2025-12-03 | ContactRL: Safe Reinforcement Learning based Motion Planning for Contact based Human Robot Collaboration
[arXiv] 2025-12-03 | Spin-flop driven interfacial tunneling magnetoresistance in an antiferromagnetic tunnel junction
[arXiv] 2025-12-03 | DZ-TDPO: Non-Destructive Temporal Alignment for Mutable State Tracking in Long-Context Dialogue
[arXiv] 2025-12-03 | Trapped fireshell (halo) of photons and pairs around black-hole horizon: source for ultra-high-energy particles
[arXiv] 2025-12-03 | DEM Simulations of Spheres Flowing Through a Hopper: Validation of Beverloo Law
[arXiv] 2025-12-03 | Quantum Topological Graph Neural Networks for Detecting Complex Fraud Patterns
[arXiv] 2025-12-03 | Estimation of Panel Data Models with Nonlinear Factor Structure
[arXiv] 2025-12-03 | Gravitational Decays of Secluded Scalars and Graviton Dark Radiation
[arXiv] 2025-12-03 | Cyclical Temporal Encoding and Hybrid Deep Ensembles for Multistep Energy Forecasting
[arXiv] 2025-12-03 | Convergence analysis of a Crank-Nicolson scheme for strongly magnetized plasmas
[arXiv] 2025-12-03 | Hyperbolicity properties of moduli spaces of marked hyperk{ä}hler manifolds
[arXiv] 2025-12-03 | Head, posture, and full-body gestures in interactive communication
[arXiv] 2025-12-03 | AlignCheck: a Semantic Open-Domain Metric for Factual Consistency Assessment
[arXiv] 2025-12-03 | Spectral properties of the deformed Laplacian matrix of trees and H-join graphs
[arXiv] 2025-12-03 | Drag reduction via separation control using plasma actuators on a truck cabin side
[arXiv] 2025-12-03 | Multi-peak vector soliton families in defocusing Kerr resonators
[arXiv] 2025-12-03 | High Pressure and Compositionally Directed Route to a Hexagonal GeSn Alloy Class
[arXiv] 2025-12-03 | Statistical and Temporal Analysis of Multi-component Burst-clusters from the Repeating FRB 20190520B
[arXiv] 2025-12-03 | Energy-Scaled Zero-Noise Extrapolation for Gottesman-Kitaev-Preskill Code
[arXiv] 2025-12-03 | Upside down and backwards
[arXiv] 2025-12-03 | Tuning of Vectorization Parameters for Molecular Dynamics Simulations in AutoPas
[arXiv] 2025-12-03 | State Space Models for Bioacoustics: A comparative Evaluation with Transformers
[arXiv] 2025-12-03 | CartoMapQA: A Fundamental Benchmark Dataset Evaluating Vision-Language Models on Cartographic Map Understanding
[arXiv] 2025-12-03 | PARC: An Autonomous Self-Reflective Coding Agent for Robust Execution of Long-Horizon Tasks
[arXiv] 2025-12-03 | Learning-Based Hierarchical Approach for Fast Mixed-Integer Optimization
[arXiv] 2025-12-03 | Static and dynamic properties of the frustrated spin-1/2 depleted-kagome antiferromagnet Cu$_7$(TeO$_3$)$_2$(SO$_4$)$_2$(OH)$_6$
[arXiv] 2025-12-03 | Mobility Induced Sensitivity of UAV based Nodes to Jamming in Private 5G Airfield Networks An Experimental Study
[arXiv] 2025-12-03 | Leader-Follower Mean Field LQG Games with Multiplicative Noise
[arXiv] 2025-12-03 | Multi-probe analysis of strong-field effects in $f(Q)$ gravity
[arXiv] 2025-12-03 | Market share maximizing strategies of CAV fleet operators may cause chaos in our cities
[arXiv] 2025-12-03 | A 7 Day Multiwavelength Flare Campaign on AU Mic. IV: Quiescent Gyrosynchrotron and Gyroresonance Radiation from 12 to 25 GHz
[arXiv] 2025-12-03 | MSG-Loc: Multi-Label Likelihood-based Semantic Graph Matching for Object-Level Global Localization
[arXiv] 2025-12-03 | From Reliability to Security: How RIS-Assisted Adaptive SM and SSK Enhances Wireless Systems
[arXiv] 2025-12-03 | Effective SPR property for surface diffeomorphisms and three-dimensional vector fields
[arXiv] 2025-12-03 | Complex Wigner entropy and Fisher control of negativity in an oval quantum billiard
[arXiv] 2025-12-03 | Towards Object-centric Understanding for Instructional Videos
[arXiv] 2025-12-03 | Joint Progression Modeling (JPM): A Probabilistic Framework for Mixed-Pathology Progression
[arXiv] 2025-12-03 | Quasi-linear theory of perpendicular ion heating by critically balanced turbulence
[arXiv] 2025-12-03 | SweetDeep: A Wearable AI Solution for Real-Time Non-Invasive Diabetes Screening
[arXiv] 2025-12-03 | Cyclotomic Congruences and Lucas Sequences
[arXiv] 2025-12-03 | Tuning for TraceTarnish: Techniques, Trends, and Testing Tangible Traits
[arXiv] 2025-12-03 | In-Situ Encryption of Single-Transistor Nonvolatile Memories without Density Loss
[arXiv] 2025-12-03 | Irreducible operators in von Neumann algebras
[arXiv] 2025-12-03 | A novel multiscale modelling for the hemodynamics in retinal microcirculation with an analytic solution for the capillary-tissue coupled system
[arXiv] 2025-12-03 | PerFACT: Motion Policy with LLM-Powered Dataset Synthesis and Fusion Action-Chunking Transformers
[arXiv] 2025-12-03 | PretrainZero: Reinforcement Active Pretraining
[arXiv] 2025-12-03 | LLM as Explainable Re-Ranker for Recommendation System
[arXiv] 2025-12-03 | Grokked Models are Better Unlearners
[arXiv] 2025-12-03 | Invariant fractocohesive length in thermally aged elastomers
[arXiv] 2025-12-03 | Generalization Evaluation of Deep Stereo Matching Methods for UAV-Based Forestry Applications
[arXiv] 2025-12-03 | DM3D: Deformable Mamba via Offset-Guided Gaussian Sequencing for Point Cloud Understanding
[arXiv] 2025-12-03 | Linear stability of nanofluid boundary-layer flow over a flat plate
[arXiv] 2025-12-03 | Optimal Griffiths Phase in Heterogeneous Human Brain Networks: Brain Criticality Embracing Stability and Flexibility across Individuals
[arXiv] 2025-12-03 | MOS: Mitigating Optical-SAR Modality Gap for Cross-Modal Ship Re-Identification
[arXiv] 2025-12-03 | Full-Stack Alignment: Co-Aligning AI and Institutions with Thick Models of Value
[arXiv] 2025-12-03 | On Bridging Analyticity and Sparseness in Hyperdissipative Navier-Stokes Systems
[arXiv] 2025-12-03 | LLM-Generated Ads: From Personalization Parity to Persuasion Superiority
[arXiv] 2025-12-03 | ShelfGaussian: Shelf-Supervised Open-Vocabulary Gaussian-based 3D Scene Understanding
[arXiv] 2025-12-03 | Rethinking Security in Semantic Communication: Latent Manipulation as a New Threat
[arXiv] 2025-12-03 | Immunity memory-based jailbreak detection: multi-agent adaptive guard for large language models
[arXiv] 2025-12-03 | Empirical assessment of the perception of graphical threat model acceptability
[arXiv] 2025-12-03 | SeeU: Seeing the Unseen World via 4D Dynamics-aware Generation
[arXiv] 2025-12-03 | Modeling Topics and Sociolinguistic Variation in Code-Switched Discourse: Insights from Spanish-English and Spanish-Guaraní
[arXiv] 2025-12-03 | Radio Detection of a Local Little Red Dot
[arXiv] 2025-12-03 | Simpson variational integrator for nonlinear systems: a tutorial on the Lagrange top
[arXiv] 2025-12-03 | Cache What Lasts: Token Retention for Memory-Bounded KV Cache in LLMs
[arXiv] 2025-12-03 | Unique Lives, Shared World: Learning from Single-Life Videos
[arXiv] 2025-12-03 | Additive relations in irrational powers
[arXiv] 2025-12-03 | The effect of baryons on the positions and velocities of satellite galaxies in the MTNG simulation
[arXiv] 2025-12-03 | AMSB in $Sp(N_c)$ Gauge Theories
[arXiv] 2025-12-03 | Primary gravitational waves at high frequencies I: Origin of suppression in the power spectrum
[arXiv] 2025-12-03 | Short-Range Modulated Electron Lattice and d-Wave Superconductivity in Cuprates: A Phenomenological Ginzburg-Landau Framework
[arXiv] 2025-12-03 | On the angular momentum and free energy of rotating gluon plasma
[arXiv] 2025-12-03 | Jet Production at NNLO: Exploring a New Scheme
[arXiv] 2025-12-03 | Numerical optimization for the compatibility constant of the lasso
[arXiv] 2025-12-03 | A relative trace formula identity for non-tempered spherical varieties
[arXiv] 2025-12-03 | NavMapFusion: Diffusion-based Fusion of Navigation Maps for Online Vectorized HD Map Construction
[arXiv] 2025-12-03 | On the Hypergraph Nash-Williams' Conjecture
[arXiv] 2025-12-03 | Learning Steerable Clarification Policies with Collaborative Self-play
[arXiv] 2025-12-03 | The Potency of Nilpotence
[arXiv] 2025-12-03 | Transport evidence of surface states in magnetic topological insulator MnBi2Te4
[arXiv] 2025-12-03 | Multimessenger Constraints on Supermassive Dark Stars and Their Black Hole Remnants
[arXiv] 2025-12-03 | Configurable antiferromagnetic domains and lateral exchange bias in atomically thin CrPS4
[arXiv] 2025-12-03 | Stable Signer: Hierarchical Sign Language Generative Model
[arXiv] 2025-12-03 | Quantum theory of nonlinear phononics
[arXiv] 2025-12-03 | RELIC: Interactive Video World Model with Long-Horizon Memory
[arXiv] 2025-12-03 | On asymptotic Lebesgue's universal covering problem
[arXiv] 2025-12-03 | Learning Group Actions In Disentangled Latent Image Representations
[arXiv] 2025-12-03 | Construction of irreducible integrity basis for anisotropic hyperelasticity via structural tensors
[arXiv] 2025-12-03 | Freeze-out and spectral running of primordial gravitational waves in viscous cosmology
[arXiv] 2025-12-03 | Hydrogen-Rich to Stripped-Envelope:Observational Continuity and Biases in CCSNe
[arXiv] 2025-12-03 | Diagonalizing the Softmax: Hadamard Initialization for Tractable Cross-Entropy Dynamics
[arXiv] 2025-12-03 | Physics-Embedded Gaussian Process for Traffic State Estimation
[arXiv] 2025-12-03 | Highly Efficient Test-Time Scaling for T2I Diffusion Models with Text Embedding Perturbation
[arXiv] 2025-12-03 | Artificial Microsaccade Compensation: Stable Vision for an Ornithopter
