[2026-09-24 23:37:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[arXiv] 2026-09-23 | Insight into ordering at nematic twist-bend interfaces
[arXiv] 2026-09-23 | Factorizable Lie conformal bialgebras, quadratic Rota-Baxter Lie conformal algebras and some induced structures
[arXiv] 2026-09-23 | Local well-posedness for the KdV equation on the half-line at the critical regularity $H^{-\frac34}$
[arXiv] 2026-09-23 | MIDIBack: Harmony-Aware Singing Pitch Correction via Joint Vocal-Accompaniment Symbolic Modeling
[arXiv] 2026-09-23 | Symmetric group actions on the coordinate ring of the lower unipotent group and the polynomial ring with quantum parameters
[arXiv] 2026-09-23 | ALMA's sharpest view of IRAS 08544-4431: Unveiling the dust distribution asymmetries in the circumbinary disk
[arXiv] 2026-09-23 | Your Model Is Leaking: Covert Information Transfer through LLM Residual Streams
[arXiv] 2026-09-23 | Anisotropy and energy distribution of leptons and photons in radiative relativistic Alfvénic turbulence
[arXiv] 2026-09-23 | Six Layers Less: Encoder Pruning for Whisper with Label-Free Recovery
[arXiv] 2026-09-23 | The Second MLC-SLM Challenge: Multilingual Conversational Speech Diarization, Recognition, and Understanding
[arXiv] 2026-09-23 | Landau singularities and convex geometry
[arXiv] 2026-09-23 | Optimal low-rank compression of quantum dynamics
[arXiv] 2026-09-23 | Origin of the high-energy spectral cutoff in gamma-ray pulsar halos
[arXiv] 2026-09-23 | Passing: An Endless Journey through Reconstructed Spacetime with AI-Generated Sound
[arXiv] 2026-09-23 | Collocated Shape Regulation for Soft Robots
[arXiv] 2026-09-23 | Pooling Sequential Evidence Across Hypotheses: Rate-Optimal Multiple Testing at a Fixed Horizon
[arXiv] 2026-09-23 | Safety-Filtered Distributed Koopman-MPC
[arXiv] 2026-09-23 | Beyond Balanced Accuracy: A Resolution and Parity-Controlled Benchmark for Vision-Language and Vision-Only Defect Assessment in UAV Power-Line Inspection
[arXiv] 2026-09-23 | Conserved charges and the first law of black holes for field dependent symmetry generators in the covariant phase space formalism
[arXiv] 2026-09-23 | Compressed delayed-information projection for six-degree-of-freedom underwater vehicle navigation under delayed acoustic positioning
[arXiv] 2026-09-23 | Energy-Oriented CGLA Mapping of a Memory-Polynomial Digital Predistortion Kernel
[arXiv] 2026-09-23 | Calibration of cross-field transport models in SOLPS-ITER on the TCV-X21 case
[arXiv] 2026-09-23 | The Sharp Rényi and Tsallis Threshold in the Shepp--Olkin Concavity Problem
[arXiv] 2026-09-23 | Distance Estimation using Globular Clusters and Ultra-Compact Dwarfs
[arXiv] 2026-09-23 | A Deformation Approach to Axially Symmetric Kernels on the Sphere: Harmonic Coupling and Regularity
[arXiv] 2026-09-23 | The Dynamical Environment of Kepler-223 Planetary System
[arXiv] 2026-09-23 | Fractionation as a Tool to Control Mn/Al Site Mixing and Magnetism in CaMn_{2+x}Al_{10-x}
[arXiv] 2026-09-23 | ASAP: Visual Analytics for Identifying and Analyzing Image Patterns in AI-generated Images
[arXiv] 2026-09-23 | Quantization-Robust Unlearning through the Lens of Retain-Forget Loss Landscapes Interaction
[arXiv] 2026-09-23 | Orbital and spin periods of the intermediate polar 2PBC J0800.5-4306
[arXiv] 2026-09-23 | Reflection-Aware Reasoning for Non-Line-of-Sight Pedestrian Localization
[arXiv] 2026-09-23 | CART: Closed-Loop Adaptive Red Teaming for Large Language Models
[arXiv] 2026-09-23 | Just-in-Time Memory: Learning to Curate Task-Adaptive Memory for LLM Agents
[arXiv] 2026-09-23 | JEV-Star: Fast, Low-Cost StarCraft II Control with Language-Model Planning
[arXiv] 2026-09-23 | A Sample-Based Approach for Hierarchical Information-Theoretic Compression of Probabilistic Occupancy Grids
[arXiv] 2026-09-23 | Learn How to Act from Your Own Interactions: On-Policy Self-Distillation for GUI Agents
[arXiv] 2026-09-23 | The Power of Recruiting the Smaller Side: Two Additional Traders Suffice in Two-Sided Markets
[arXiv] 2026-09-23 | KITE: KV-Invariant Transformer Expansion for Efficient Agentic LLM Scaling
[arXiv] 2026-09-23 | NGN: Learning Neural Network Size as a Differentiable Count
[arXiv] 2026-09-23 | Sparse-Observation Atmospheric Thermal Forecasting with Physics-Informed Neural Networks for Climate-Aware Digital Twins
[arXiv] 2026-09-23 | EnSIMem: Entity-Structured Indexing for Long-Term Agent Memory
