[2026-04-11 09:42:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | IMS2026 General Co-Chairs’ Welcome
[IEEE] 2026-4-10 | Identification and Analysis of Thermal-Magnetic Coupling Noise in SERF Comagnetometer
[IEEE] 2026-4-10 | Game-Theoretic Market Mechanism for Dynamic Wireless Resource Allocation
[IEEE] 2026-4-10 | Time-Variant Reliability Analysis of Satellite Solar Panel Deployment Mechanism under Multiple Failure Modes Using SILK Model
[IEEE] 2026-4-10 | The Contribution of Service-Learning to the Holistic Development of Engineering Students in Private Higher Education
[IEEE] 2026-4-10 | Discrete Prompt Tuning via Recursive Utilization of Black-box Multimodal Large Language Model for Personalized Visual Emotion Recognition
[IEEE] 2026-4-10 | Spray deposition for Board Level Shielding assessed through MSRC measurements
[IEEE] 2026-4-10 | MultiHuman: Leverage Multimodal Prompts for Controllable Multi-Person Image Synthesizing
[IEEE] 2026-4-10 | Harnessing LLMs for Cyber-Resilience A Systematic Survey in Threat Mitigation and Future Trajectories
[IEEE] 2026-4-10 | IEEE Feedback
[IEEE] 2026-4-10 | Design, Control, and Evaluation of a Modular Variable Configuration Rehabilitation Robot for Early Physical Therapy_supp1-3669328.mp4
[IEEE] 2026-4-10 | IT General
[IEEE] 2026-4-10 | SCGT: Towards Scalable and Comprehensive Graph Transformer
[IEEE] 2026-4-10 | High-Fidelity and Efficient Torque Estimation for Quasi-Direct Drive Actuators with an Incremental Recurrent Cascade Broad Learning System
[IEEE] 2026-4-10 | A Novel Electromagnetic Energy Harvester With Electrical Frequency up-Converter
[IEEE] 2026-4-10 | Dual-Branch CNN with Enhanced Bidirectional Multiscale Sparse Cross-Attention for Remote Sensing Scene Classification
[ACM] 2026-4-10 | From Raw Pointers to Memory Safety: A Modular Demand-Driven Typestate Analysis for Rust
[ACM] 2026-4-10 | LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer
[ACM] 2026-4-10 | An Analytical Approach to Punjabi Dialect Identification using Feature Selection and Ensemble Models
[ACM] 2026-4-10 | InspectCoder: Dynamic Analysis-Driven Self Repair through Interactive LLM-Debugger Collaboration
[ACM] 2026-4-10 | Hunting CUDA Bugs at Scale with cuFuzz
[IEEE] 2026-4-10 | A Compartment Model for Simulating the Dynamic Transmission of COVID-19 with a Case Study of Western Australia
[ACM] 2026-4-11 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
