[2025-11-21 09:10:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-20
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511200000+TO+202511202359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2025-11-20 | Section 3: Medical Decision Support Systems. Intelligent Systems in Healthcare
[IEEE] 2025-11-20 | Butterfly Residual Network: A Hybrid Approach With Spectral Transformers and Depth-Wise Convolutions for Hyperspectral Image Super-Resolution
[IEEE] 2025-11-20 | Approximate-Inverse Explainability of β–VAE Latents for Multichannel EEG Participant-generalised Topographical Representation Learning
[IEEE] 2025-11-20 | Prescribed-Time Distributed Integral Sliding-Mode-Based Least-Norm Nash Equilibrium Seeking in Monotone Games Under Disturbances
[IEEE] 2025-11-20 | State Estimation of Preceding Target Vehicle using Radar and V2X
[IEEE] 2025-11-20 | IEEE Tech Talk on “Unlocking the Potential of FPGA-Based Hardware Acceleration” by IEEE Solid-State Circuits Society Kalinga Institute of Industrial Technology Student Branch Chapter [Chapters]
[IEEE] 2025-11-20 | Superpixel Segmentation Method Based on Foreground-background Separation and Independent Multicycle Labeling
[IEEE] 2025-11-20 | A hybrid embedding method for identifying technology evolution paths of patents: The case on battery electric vehicle industry
[IEEE] 2025-11-20 | Toward Self-Sustainable Airborne Communication Networks: Comprehensive Modeling and Analysis of Energy Consumption and Harvesting
[IEEE] 2025-11-20 | A Soft–Rigid Coupled Gripper Driven by a Self-Sensing Origami Actuator for Compliant and Robust Grasping
[IEEE] 2025-11-20 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding
[ACM] 2025-11-20 | A Self-Supervised Learning Approach for Pairwise Matching of Ancient Dunhuang Fragments
[ACM] 2025-11-20 | Meta-Learning Enhanced Explainability of Large Language Models for Low-Sample Transaction Monitoring in AML Compliance
[IEEE] 2025-11-20 | LoRA-Composer: Leveraging Low-Rank Adaptation for Multi-Concept Customization in Training-Free Diffusion Models
[IEEE] 2025-11-20 | The Road Ahead: A Comprehensive Review of Recent Advances in Traffic Sign and Lane Line Recognition for Autonomous Systems
[IEEE] 2025-11-20 | A Novel Optimization DMPC Algorithm with Reduced-Order Computational Complexity: Applications in IIoT-Based BMS for the Optimal Heating/Cooling of Large-scale Buildings
[IEEE] 2025-11-20 | 3D-CNNs Using Magnetoencephalography Spectral Data for Diagnosis of Parkinson's Disease
[IEEE] 2025-11-20 | Improvement of Non-Invasive Electrocardiodiagnostics Screening System Based on Modern Information Technologies
[IEEE] 2025-11-20 | Modeling Human Breathing Patterns Using Electrical Impedance Tomography
[IEEE] 2025-11-20 | Harvesting Solar Energy and Storage for Low-Energy Data Transmission
[IEEE] 2025-11-20 | Hercules: Hardware accElerator foR stoChastic schedULing in hEterogeneous Systems
[IEEE] 2025-11-20 | Equivalent Lumped Element Model for Electromigration Considering Thermal Effects
[IEEE] 2025-11-20 | OptiRange: An Efficient ReRAM-Based PIM Accelerator with ADC Resolution Optimization
[IEEE] 2025-11-20 | Challenges to JavaScript obfuscation in the era of large language models
[IEEE] 2025-11-20 | COPA: A Congestion-Oriented Pin Assignment Framework for Intra-Block Physical Design Optimization
[IEEE] 2025-11-20 | A Parallel Analytical Legalization Algorithm via Alternating Direction Method of Multipliers
[IEEE] 2025-11-20 | NeuroPDE: A Neuromorphic PDE Solver Based on Spintronic and Ferroelectric Devices
[IEEE] 2025-11-20 | LLM4Verilog: Building Large-Scale, High-Quality Data Infrastructure for Verilog Code Generation via Community Efforts
[IEEE] 2025-11-20 | Alternative Open Source Ecosystem: Manufacturing Platform in Japan [Society News]
[IEEE] 2025-11-20 | CacheGuardian: A Timing Side-Channel Resilient LLC Design
[IEEE] 2025-11-20 | The Curious Case of Global Stable Loads
