[2026-05-29 12:16:05] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-28
正在获取论文...
[arXiv] 2026-05-28 | ACE: Anisotropy-Controllable Embedding for LLM-enhanced Sequential Recommendation
[arXiv] 2026-05-28 | FreeForm: Reduced-Order Deformable Simulation from Particle-Based Skinning Eigenmodes
[arXiv] 2026-05-28 | On the power of the discriminant of a univariate polynomial as a certain determinant in positive characteristic
[arXiv] 2026-05-28 | Rubric-Guided Process Reward for Stepwise Model Routing
[arXiv] 2026-05-28 | EvoGM: Learning to Merge LLMs via Evolutionary Generative Optimization
[arXiv] 2026-05-28 | Restarted Accelerated Primal-Dual Algorithms with Adaptive Stepsizes for Nonlinear Conic Constrained Convex Optimization
[arXiv] 2026-05-28 | SWORD: Spectral Wasserstein Online Regime Detection in Dynamic Networks
[arXiv] 2026-05-28 | Rapid Approximation Prediction for Kriging
[arXiv] 2026-05-28 | Prompt-Level Reward Specifications for Open-Ended Post-Training
[arXiv] 2026-05-28 | Indexing the Unreadable: LLM-Native Recursive Construction and Search of Service Taxonomies
[arXiv] 2026-05-28 | Complex-valued modified Zakharov Kuznetsov equation
[arXiv] 2026-05-28 | Robust Frequency-Calibrated Virtual EEG Channel Generation from Four Frontal Electrodes for Wearable EEG Augmentation
[arXiv] 2026-05-28 | Harmonizing Real-Time Constraints and Long-Horizon Reasoning: An Asynchronous Agentic Framework for Dynamic Scheduling
[arXiv] 2026-05-28 | ChildVox: A Speech, Audio, and Large Audio-Language Model Benchmark in Understanding and Characterizing Sound across Childhood
[arXiv] 2026-05-28 | DynSess: Dynamic Session-Level Evaluation and Optimization Framework for Role-Playing Agents
[arXiv] 2026-05-28 | OpenClawBench: Benchmarking Process-side Anomalies in Real-world Agent Execution Trajectories
[arXiv] 2026-05-28 | Prediction-Powered Inference Across Many Tasks for AI Evaluation & Social Science Research
[arXiv] 2026-05-28 | Connection Factorization in Constrained Quantum Mechanics
[arXiv] 2026-05-28 | Surfacing Isolated Learners with Outcome-Independent Mediation of Feedback between Teachers and Students Using AI
[arXiv] 2026-05-28 | Graph Neural Networks for Generalized Mundlak Estimator under Network Confounding
[arXiv] 2026-05-28 | Evolving Skill-Structured Attack Memory Enhances LLM Jailbreaking
[arXiv] 2026-05-28 | SigmaMedStat: Temporal Signal Modeling for ICU False Alarm Reduction
[arXiv] 2026-05-28 | Scalable All-Optical Fibre-Mode Data Transmission with Profiles-Preserved Decoding
[arXiv] 2026-05-28 | Channel Estimation for Flexible Intelligent Metasurface Aided MIMO Communications
[arXiv] 2026-05-28 | BenchTrace: A Benchmark for Testing Reflection Ability and Controlled Evolution in LLM Agents
[arXiv] 2026-05-28 | An Approach for Thyroid Nodule Analysis Using Thermographic Images
[arXiv] 2026-05-28 | SalsaAgent: A multimodal embodied language model for interactive dance generation
[arXiv] 2026-05-28 | Highly-sensitive mid-infrared upconversion detection based on external-cavity pump enhancement
[arXiv] 2026-05-28 | MetaRanker: Human-in-the-loop Active Ranking for Metalens Image Quality
[arXiv] 2026-05-28 | Tail observability and fourth-order closure recovery in physics-informed neural networks for Bhatnagar-Gross-Krook normal shocks
[arXiv] 2026-05-28 | Epidemic spreading on multigraphs
[arXiv] 2026-05-28 | Stochastic Lifting for Generating Trajectories of Stochastic Physical Systems
[arXiv] 2026-05-28 | When RL Suppresses Its Own Vocabulary: Recovering Reasoning Diversity in Puzzle-to-Math Transfer
[arXiv] 2026-05-28 | Harnessing non-adversarial robustness in large language models
[arXiv] 2026-05-28 | Modified Entropy from Action Principle
[arXiv] 2026-05-28 | Data filtering methods for training language models
[arXiv] 2026-05-28 | Gated Graph Attention Networks with Learnable Temperature
[arXiv] 2026-05-28 | AgentDoG 1.5: A Lightweight and Scalable Alignment Framework for AI Agent Safety and Security
[arXiv] 2026-05-28 | Magic Relations and Critical Varieties of Feynman Integrals
[arXiv] 2026-05-28 | Croissant Tasks: A Metadata Format for Reproducible Machine Learning Evaluations
[arXiv] 2026-05-28 | Hista and Numca: Estimate State Value Effectively for LLM Reinforcement Learning
[arXiv] 2026-05-28 | Search for $Ξ^0p$, $Ω^- p$, and $Ω^- n$ dibaryons in $Υ(1S)$ and $Υ(2S)$ decays at Belle
[arXiv] 2026-05-28 | From XXLTraffic to EvoXXLTraffic: Scaling Traffic Forecasting to Sensor-Evolving Networks
[arXiv] 2026-05-28 | Thin single-crystal perovskite detector for high-energy charged particles
[arXiv] 2026-05-28 | S2MDF: A Plug-And-Play Layer for Intersection-Free Multi-Object Signed Distance Fields
[arXiv] 2026-05-28 | Gyroscopic Precession in Axisymmetric Kerr Spacetime: Horizon Regularity and Coordinate Effects
[arXiv] 2026-05-28 | AfriScience-MT: Towards Decolonizing Science in Africa through Text Translation
[arXiv] 2026-05-28 | Uncertainty-Aware Transfer Learning for Cross-Building Energy Forecasting: Toward Robust and Scalable District-Level Energy Management
[arXiv] 2026-05-28 | Bastion: Budget-Aware Speculative Decoding with Tree-structured Block Diffusion Drafting
[arXiv] 2026-05-28 | Non-Perturbative Closed Form for the Typical Bipartite Mutual Information of Haar-Random States
[arXiv] 2026-05-28 | Treewidth-Aware Gate Cut Selection for Reducing Transpilation Overhead on Superconducting Quantum Devices
[arXiv] 2026-05-28 | A Systematic Evaluation of Molecular Mixture Behavior Prediction
[arXiv] 2026-05-28 | Frame constructions associated with operator orbits
[arXiv] 2026-05-28 | A Computational Study of Limited Augmented Zarankiewicz Numbers in the Incidence-Graph Family of Complete Graphs
[arXiv] 2026-05-28 | SuperVoxelGPT: Adaptive and Ordered 3D Tokenization for Autoregressive Shape Generation
[arXiv] 2026-05-28 | PTCG-Bench: Can LLM Agents Master Pokémon Trading Card Game?
[arXiv] 2026-05-28 | LLM-Evolved Domain-Independent Heuristics for Symbolic AI Planning
[arXiv] 2026-05-28 | Enhanced All-Distance Equi-Zenith Angle Method for Cosmic-Ray Anisotropy Measurement
[arXiv] 2026-05-28 | AgentCVR: Active Multi-Agent Cross-Video Reasoning via Script-Simulated Reinforcement Learning
[arXiv] 2026-05-28 | VikingMem: A Memory Base Management System for Stateful LLM-based Applications
[arXiv] 2026-05-28 | RTP-LLM: High-Performance Alibaba LLM Inference Engine
[arXiv] 2026-05-28 | Decay criteria for asymptotic freedom in plane gravitational waves
[arXiv] 2026-05-28 | Beyond Attack Success Rate: Temporal Logit Observability for LLM Safety Failures
[arXiv] 2026-05-28 | DLM-SWAI: Steering Diffusion Language Models Before They Unmask
[arXiv] 2026-05-28 | Superspecial plane quintics with large automorphism groups
[arXiv] 2026-05-28 | Finite-temperature micromagnetic model bridging atomic- and macro-scale magnetism
[arXiv] 2026-05-28 | DiffSpot: Can VLMs Spot Fine-Grained Visual Differences in Web Interfaces?
[arXiv] 2026-05-28 | Hierarchical forecasting: The role of information
[arXiv] 2026-05-28 | Log-Sobolev Inequality for Wolff Dynamics and Application to the Condensation of Eigen Microstate in the 1D Ising Model
