[2025-12-09 09:13:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-08
正在获取论文...
[arXiv] 2025-12-08 | A quantitative dynamical Zhang fundamental inequality and Bogomolov-type problems
[arXiv] 2025-12-08 | Winning the Lottery by Preserving Network Training Dynamics with Concrete Ticket Search
[arXiv] 2025-12-08 | On the Poles of Real Archimedean Zeta Functions
[arXiv] 2025-12-08 | Machine Learning-based Unfolding for Cross Section Measurements in the Presence of Nuisance Parameters
[arXiv] 2025-12-08 | A new generalization of the McKay conjecture for $p$-solvable groups
[arXiv] 2025-12-08 | Modulation approximation for the non-isentropic Euler-Poisson system
[arXiv] 2025-12-08 | Blown-up singular Riemannian foliations
[arXiv] 2025-12-08 | Trends in gravitational wave emission in axisymmetric simulations of rotating core-collapse supernovae
[arXiv] 2025-12-08 | $\mathrm{D}^{\mathrm{3}}$-Predictor: Noise-Free Deterministic Diffusion for Dense Prediction
[arXiv] 2025-12-08 | Replicating TEMPEST at Scale: Multi-Turn Adversarial Attacks Against Trillion-Parameter Frontier Models
[arXiv] 2025-12-08 | Random Access for LEO Satellite Communication Systems via Deep Learning
[arXiv] 2025-12-08 | The Inductive Bottleneck: Data-Driven Emergence of Representational Sparsity in Vision Transformers
[arXiv] 2025-12-08 | Generating LSB-optimised synthetic images for simulated galaxies
[arXiv] 2025-12-08 | Learning-Augmented Ski Rental with Discrete Distributions: A Bayesian Approach
[arXiv] 2025-12-08 | DCO: Dynamic Cache Orchestration for LLM Accelerators through Predictive Management
[arXiv] 2025-12-08 | Towards a Relationship-Aware Transformer for Tabular Data
[arXiv] 2025-12-08 | Single-cell identification with quantum-enhanced nuclear magnetic resonance
[arXiv] 2025-12-08 | Reevaluating Automated Wildlife Species Detection: A Reproducibility Study on a Custom Image Dataset
[arXiv] 2025-12-08 | Investigation and Development of the Methodologies for Simulating Self-similar Processes
[arXiv] 2025-12-08 | Quantum coherent states of mass-imbalanced electron-hole system within optical microcavities
[arXiv] 2025-12-08 | The Human Need for Storytelling: Reflections on Qualitative Software Engineering Research With a Focus Group of Experts
[arXiv] 2025-12-08 | Revisiting PBH Accretion, Evaporation and Their Cosmological Consequences
[arXiv] 2025-12-08 | Verifiable Deep Quantitative Group Testing
[arXiv] 2025-12-08 | Preliminary Study of the Effects of Leading-Edge Serration on a Two-Section Planar Wing in ground-effect at Low Reynolds Number
[arXiv] 2025-12-08 | A graph generation pipeline for critical infrastructures based on heuristics, images and depth data
[arXiv] 2025-12-08 | Genesis of Axion Dark Matter via Black Hole and Cosmic String Dynamics
[arXiv] 2025-12-08 | Non-negative DAG Learning from Time-Series Data
[arXiv] 2025-12-08 | SINRL: Socially Integrated Navigation with Reinforcement Learning using Spiking Neural Networks
[arXiv] 2025-12-08 | See More, Change Less: Anatomy-Aware Diffusion for Contrast Enhancement
[arXiv] 2025-12-08 | IFFair: Influence Function-driven Sample Reweighting for Fair Classification
[arXiv] 2025-12-08 | AdLift: Lifting Adversarial Perturbations to Safeguard 3D Gaussian Splatting Assets Against Instruction-Driven Editing
[arXiv] 2025-12-08 | Squeezed-Eff-Net: Edge-Computed Boost of Tomography Based Brain Tumor Classification leveraging Hybrid Neural Network Architecture
[arXiv] 2025-12-08 | Dropout Prompt Learning: Towards Robust and Adaptive Vision-Language Models
[arXiv] 2025-12-08 | ReLKD: Inter-Class Relation Learning with Knowledge Distillation for Generalized Category Discovery
[arXiv] 2025-12-08 | Microscopic signatures of Chern number sign reversal in twisted bilayer WSe2
[arXiv] 2025-12-08 | Simulation Study of Binary Mergers of Galaxy Clusters I: Properties of Merger Shocks and Radio Emission
[arXiv] 2025-12-08 | Object Pose Distribution Estimation for Determining Revolution and Reflection Uncertainty in Point Clouds
[arXiv] 2025-12-08 | Automorphisms of Sedenions
[arXiv] 2025-12-08 | Metric diophantine approximation on fractals
[arXiv] 2025-12-08 | Synchrony-Gated Plasticity with Dopamine Modulation for Spiking Neural Networks
[arXiv] 2025-12-08 | Integrating Multi-scale and Multi-filtration Topological Features for Medical Image Classification
[arXiv] 2025-12-08 | Exact solution of the Einstein-scalar-Gauss-Bonnet model with Noether symmetry constraints
[arXiv] 2025-12-08 | TIDE: Two-Stage Inverse Degradation Estimation with Guided Prior Disentanglement for Underwater Image Restoration
[arXiv] 2025-12-08 | Bayesian Inference of Heavy-Quark Dissipation and Jet Transport Parameters from D-Meson observables in heavy-ion collisions at the LHC energies
[arXiv] 2025-12-08 | Shock trapping and inertial escape: Dust-particle clustering in compressible turbulence
[arXiv] 2025-12-08 | Phase Space Modeling of Extended Sources Based on Wigner Distribution and Hamiltonian Optics
[arXiv] 2025-12-08 | Beyond real: Investigating the role of complex numbers in self-testing
[arXiv] 2025-12-08 | Quantitative Characterization of Brain Tissue Alterations in Brain Cancer Using Fractal, Multifractal, and IPR Metrics
[arXiv] 2025-12-08 | Rational points in Cantor sets in the complex plane
[arXiv] 2025-12-08 | TrajMoE: Scene-Adaptive Trajectory Planning with Mixture of Experts and Reinforcement Learning
[arXiv] 2025-12-08 | Statistics of the projected angles between the black-hole spin and the host-galaxy rotation axes from NewHorizon
[arXiv] 2025-12-08 | MulCLIP: A Multi-level Alignment Framework for Enhancing Fine-grained Long-context CLIP
[arXiv] 2025-12-08 | Chromatic Feature Vectors for 2-Trees: Exact Formulas for Partition Enumeration with Network Applications
[arXiv] 2025-12-08 | PlantBiMoE: A Bidirectional Foundation Model with SparseMoE for Plant Genomes
