[2026-09-14 23:33:16] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-13
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609130000+TO+202609132359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-13 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[ACM] 2026-9-13 | FAST: A Holistic Framework for Optimizing Memory-I/O, Computation, and Sampling in Temporal GNN Training
[ACM] 2026-9-13 | TFS: Tile-Aware SpMM–GeMM Fusion for Accelerating GNN Inference on Intel AMX
[ACM] 2026-9-14 | Dimensions of Self-Disclosure and Visual Self-Presentation in WhatsApp Profile Pictures Among Young Adults
[IEEE] 2026-9-14 | AI-Assisted Symmetry and Invariant Analysis for Robotic Mechanical Parts with Asymmetry Localization
[IEEE] 2026-9-14 | Fixed-Point Simulation and Quantitative Validation of Hardware-Oriented FFT–IFFT Image Reconstruction
[IEEE] 2026-9-14 | Battery Health-Aware Service Optimization for Battery Swapping Stations via Multi-Agent Reinforcement Learning
[IEEE] 2026-9-14 | Voltage Control of Distribution Networks with Hybrid Power Transformers Based on Reinforcement Learning
[IEEE] 2026-9-14 | Transformer Fault Discrimination and Relay Protection Scheme in Renewable Energy Grid-Connected Systems Based on Deep Learning
[IEEE] 2026-9-14 | A Generative Artificial Intelligence-Based Framework for Automated Power Data Quality Rule Generation
[IEEE] 2026-9-14 | Infrared Smoldering Fire Detection in Complex Indoor Scenes Using an Improved YOLO11n Network
[IEEE] 2026-9-14 | Iterative Learning Control of the Cooling Rate in a Dual-Laser Powder Bed Fusion Process
[IEEE] 2026-9-14 | Lifting-based nonlinear model predictive control for high-performance mobile robot tracking
[IEEE] 2026-9-14 | Temporally Sequenced Sea-Land Coordinated Transmission Planning for Phased Offshore Wind Integration
[IEEE] 2026-9-14 | Rectangular Partitioning Optimization for Data-Driven Abstractions of Monotone Systems
[IEEE] 2026-9-14 | Evaluating Latency and Throughput Trade-offs in IoT Messaging With Kafka and MQTT
[IEEE] 2026-9-14 | AI-Enabled Deepfake Image Detection and Attack Resilience for Forensic Investigations
[IEEE] 2026-9-14 | Spectral-Spatial Group Attention Transformer for Palm Tree Mapping in Arid Environments: a Case Study on Al Ain Municipality Hyperspectral Data
[IEEE] 2026-9-14 | Learning to Spend: Model Predictive Control for Budgeting under Non-Stationary Returns
[IEEE] 2026-9-14 | Quantitative Evaluation of WideBand Oscillations for Renewable Power Plant Integration into Large Grids
[IEEE] 2026-9-14 | A Data-Sparse Physics-Informed Gaussian-Process Model for Rechargeable Lithium-Metal Battery Cells in High C-Rate Applications
[IEEE] 2026-9-14 | Research on Power-Computing-Carbon Coordinated Scheduling and Cooperative Game Mechanism for Low-Carbon Operation of Data Center Clusters
[IEEE] 2026-9-14 | A Study on the Architecture of an Intelligent Programming Visualization System Integrating Large-Scale Model Inference and Structured Diagnostics
[IEEE] 2026-9-14 | Research on Imaging Processing of Underwater Sediment Particles Based on Laser Light Curtain
[IEEE] 2026-9-14 | A Machine Learning-Based Classification of Seismic Effects on Steel Structural Frame
[IEEE] 2026-9-14 | Toward Causal-Explainable Model Security for 6G DISAC Systems
[ACM] 2026-9-13 | MAGSAT: Memory-Access-Guided Fusion and Shape-Adaptive Auto-Tuning for Dynamic Tensor Programs
[ACM] 2026-9-13 | Coflow Scheduling in Hybrid-Switched Data Center Networks under Not-All-Stop Reconfiguration
[IEEE] 2026-9-14 | AI Based Smart Surveillance System using Thermal Imaging
[ACM] 2026-9-14 | Towards eBPF Support in a Memory-Safe OS: A Case Study on Asterinas
[ACM] 2026-9-14 | Symptoms matters: commonality and variability of gaming disorder symptoms across 35 countries
[ACM] 2026-9-14 | Processing of Real and AI-Generated Human Faces: An Exploratory EEG Study
[IEEE] 2026-9-14 | Design and Performance Validation of a Single-Core Magnetically Modulated Residual Current Transformer
[IEEE] 2026-9-14 | An Edge-Aware Graph Neural Network for Joint Fast Prediction of Node- and Line-Level Carbon Indicators in Power Systems
[IEEE] 2026-9-14 | Enhanced YOLOv12 Architecture for Real-Time Small and Occluded Object Detection on Edge Devices
[IEEE] 2026-9-14 | Designfill: Markup-Native Completion for Studio Graphics
[IEEE] 2026-9-14 | A Method for Improving the Flexibility of Coal-Fired Power Unit: Boiler Temperature Grade Enhancement Technology with High-parameter Steam Cycle
[IEEE] 2026-9-14 | Analysis of Optical and Electrical Characteristics of Creepage on Polluted Insulator at Different Voltages
[IEEE] 2026-9-14 | Simulation-Based Performance Evaluation of a Smart Intersection Control System for Emergency Response Using an IoT-Enabled V2I Framework
[IEEE] 2026-9-14 | Impact of Transmission Line Length on the AC Fault Ride-Through Characteristics of VSC-UHVDC System
[IEEE] 2026-9-14 | Semantic-Communication-Driven End-to-End 3D SLAM Under Bandwidth Constraints
[IEEE] 2026-9-14 | Fuel Cell Vehicle Driving Condition Recognition and Fuzzy Control Energy Management Strategy
[IEEE] 2026-9-14 | Immersion &amp; Invariance Adaptive Force-Motion Control for Robot Manipulator Contact Task *
[IEEE] 2026-9-14 | Setpoint Command Following for Unmodeled, Sampled-Data, Wiener Systems
[IEEE] 2026-9-14 | Physics-Informed Adaptive Kalman Filtering for sEMG-Driven Rehabilitation Exoskeleton Robots
[IEEE] 2026-9-14 | Speed-Scheduled Predictive Yaw Stabilization for a Four-Axle Electric Wheel-Driven Vehicle
[IEEE] 2026-9-14 | Hyperspectral Imaging for Compositional Analysis of Stone Materials
[ACM] 2026-9-13 | RDPart: A reuse-based OS-level cache-partitioning policy for fairness optimization in cloud data centers
[ACM] 2026-9-13 | Asynchronous Dispersion with Optimal Time Complexity
[ACM] 2026-9-13 | RapidGEMM: An Efficient Tile-agnostic GEMM for Mixture-of-Experts Training
[ACM] 2026-9-13 | WAQ-LLM: Optimizing Multi-Instance LLM Deployment via Workload-Aware Queueing Model
[ACM] 2026-9-13 | CoTC-SpMM: A Cooperative Tensor–CUDA Cores Scheme for Efficient Sparse Matrix Multiplication
[ACM] 2026-9-14 | SleuthTalk: Supporting Historical Photo Identification with Private Workspaces for Collective Sensemaking and Deliberation
[ACM] 2026-9-14 | Externalization by Design: Cognitive Load, Bounded AI, and Process-Level Accountability in Expert Knowledge Systems
[ACM] 2026-9-14 | Analyzing the Interest in Digital Wellbeing Services: Are People More Willing to Pay for Them on Social Network Sites or Messaging Platforms?
[IEEE] 2026-9-14 | Study on the Correlation between Manufacturing Variability and Electrochemical Stability in Large-Scale Lithium-Ion Battery Production
[IEEE] 2026-9-14 | Design of a Smart Glove with AI Based Adaptive Behavioral Monitoring for Handicap Persons
[IEEE] 2026-9-14 | Tokenized Asset Management
[ACM] 2026-9-14 | To Tier, or Not? Evaluating Tiered Memory Systems on the Basis of Cost
[IEEE] 2026-9-14 | Research on Tooth Surface Modification of Bevel Gears in Nutation Reducers for Robotic Joints
[IEEE] 2026-9-14 | Development of a Mini Electric Hoist with Smartphone-Integrated Pendant Control
[IEEE] 2026-9-14 | IoT-Enabled Real-Time Adaptive Traffic Signal Control Using Deep Learning-Based Vehicle Density Estimation for Smart Cities
[IEEE] 2026-9-14 | IoT-Smart Wearable Sensors for Enhancing Worker Safety in Construction Environments
[IEEE] 2026-9-14 | Adaptive Explainable Framework for Early Prediction of At-Risk Learners using OULAD and Decision Tree Models
[IEEE] 2026-9-14 | Control-Aware Shapley-Value-Based Bandwidth Allocation for SATCOM Terminals under Heterogeneous Delays
[IEEE] 2026-9-14 | Thermal Energy Voltammetry: An Indirect Analysis Method for Battery State-of-Health Estimation Under Varying Thermal Boundary Conditions
[IEEE] 2026-9-14 | WSES 2026 Cover Page
[IEEE] 2026-9-14 | Machine-Learning Driven Load Shedding to Mitigate Feedback Instability Attacks in Power Grids
[IEEE] 2026-9-14 | Adaptive Local Prototypes for Cross-Domain Few-Shot Defect Segmentation in Intelligent Robotic Inspection
[ACM] 2026-9-14 | Beyond Zero-Cost: Understanding Rust Safety Overheads in Systems Code
[ACM] 2026-9-14 | SIHG-Rec: Unleashing the Power of Semantic and Interactive Homogeneous Graphs via Dual-Stage Fusion for Multimodal Recommendation
[ACM] 2026-9-14 | The Red Shoes 2
