[2026-05-23 10:27:05] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-22
正在获取论文...
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[ACM] 2026-5-22 | Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation
[ACM] 2026-5-22 | ARA-MAC: An Adaptive Receiver Alignment MAC Protocol for Buoy-Based Ocean Monitoring Networks
[IEEE] 2026-5-22 | Simpler is Better: Feature Guard and Interaction for Semantic Correspondence_supp1-3693144.mp4
[IEEE] 2026-5-22 | Few-Sample GNSS Signal LOS/NLOS Identification via Physical-Semantic Distillation from Large Language Models
[IEEE] 2026-5-22 | Preface: Conference Committees
[IEEE] 2026-5-22 | Dependence of optical refractive index of seawater on temperature, salinity, pressure, and wavelength in near-infrared waveband for warm and shallow sea_supp6-3693439.mp4
[IEEE] 2026-5-22 | A Thyristor-Switched Pulsed Power System With 78-ns Jitter for a Coaxial Plasma Gun
[IEEE] 2026-5-22 | Tackling Expressive Feature-Modeling Constructs with Pseudo-Boolean d-DNNF Compilation
[IEEE] 2026-5-22 | Table of Contents
[IEEE] 2026-5-22 | Optimal Output Synchronization of Heterogeneous MASs: A Computationally Efficient Data-Driven Learning Approach
[IEEE] 2026-5-22 | Event-Triggered Control for T-S Fuzzy of Multi-Area LFC Power Systems under Energy-Limited DoS Attacks
[IEEE] 2026-5-22 | A Vertically Stacked Dual-Junction SPAD for Wide Spectral Response
[IEEE] 2026-5-22 | Innovative Monitoring System Open Source Based: A Case Study of a Microgrid Lab with Digital Twin, PV and BESS Integration
[IEEE] 2026-5-22 | Switch-Multiplexed Quasi-Two-Stage Boost-DAB Converter Realizing Zero-Voltage Switching Across the Full Power Range
[IEEE] 2026-5-22 | Analysis of DCE Iterations Using ResNetDCE for Low-Light Enhancement
[IEEE] 2026-5-22 | MBSE in Space Mission Concept Development
[IEEE] 2026-5-22 | Scope-3 Intelligence: A Business Intelligence System for Carbon Accounting and Sustainable Supply Chains
